orth	charde	charad	cat	lem	pag	linea
Γαληνου	278	285	n	Γαλήδου	2.732	1
Περι	286	290	r	Πέλνα	2.732	1
Οστων	291	296	n	Οὐντός	2.732	1
τοις	297	301	n	-ὑπλός	2.732	1
Εισαγομενοις	311	323	n	Ἔλλιγος	2.732	1
.	323	324	u	.	2.732	1
Προοιμιον	345	354	n	Πλόος	2.732	1
.	354	355	u	.	2.732	1
τῶν	446	449	p	ὁ	2.732	1
ὀστῶν	450	455	n	ὀστός	2.732	1
ἕκαστον	456	463	a	ἕκαστος	2.732	1
οἷόν	464	468	p	οἷος	2.732	1
τέ	469	471	p	τε	2.732	1
ἐστιν	472	477	v	εἰμί	2.732	1
αὐτὸ	478	482	p	αὐτός	2.732	1
καθ	483	486	r	κατά	2.732	1
ἑαυτὸ	488	493	p	ἑαυτοῦ	2.732	1
καὶ	494	497	c	καί	2.732	1
ὡς	568	570	c	ὡς	2.732	2
ἔχει	571	575	v	ἔχω	2.732	2
τῆς	576	579	p	ὁ	2.732	2
πρὸς	580	584	r	πρός	2.732	2
ἄλληλα	585	591	p	ἀλλήλων	2.732	2
συντάξεως	592	601	v	σύνταξις	2.732	2
ἐπίστασθαί	603	613	v	ἐπίσταμαι	2.732	2
φημι	614	618	v	φημί	2.732	2
χρῆναι	619	625	v	χρή	2.732	2
τὸν	696	699	l	ὁ	2.732	3
ἰατρὸν	700	706	n	ἰατρός	2.732	3
εἴπερ	708	713	d	εἴπερ	2.732	3
γε	714	716	d	γε	2.732	3
ὀρθῶς	717	722	d	ὀρθός	2.732	3
μέλλει	723	729	v	μέλλω	2.732	3
τά	730	732	l	ὁ	2.732	3
τε	733	735	d	τε	2.732	3
κατάγματα	736	745	n	κάταγμα	2.732	3
αὐτῶν	816	821	p	αὐτός	2.732	4
καὶ	822	825	d	καί	2.732	4
τὰ	826	828	l	ὁ	2.732	4
ἐξαρθρήματα	829	840	a	ἐξαρθρήματος	2.732	4
ἰᾶσθαι	841	847	v	ἰάομαι	2.732	4
.	847	848	u	.	2.732	4
δῆλον	849	854	a	δῆλος	2.732	4
γὰρ	855	858	d	γάρ	2.732	4
δὴ	859	861	d	δή	2.732	4
ὡς	863	865	d	ὡς	2.732	4
ἐν	936	938	r	ἐν	2.732	5
ἅπασι	939	944	a	ἅπας	2.732	5
τοῖς	945	949	p	ὁ	2.732	5
ἐν	950	952	r	ἐν	2.732	5
ἰατρικῇ	953	960	a	ἰατρικός	2.732	5
σκοπὸν	961	967	n	σκοπός	2.732	5
ἔχειν	968	973	v	ἔχω	2.732	5
δεῖ	974	977	v	δεῖ	2.732	5
τὸ	978	980	l	ὁ	2.732	5
κατὰ	981	985	r	κατά	2.732	5
φύσιν	986	991	n	φύσις	2.732	5
.	991	992	u	.	2.732	5
ὅστις	1063	1068	p	ὅστις	2.732	6
δὲ	1069	1071	d	δέ	2.732	6
τοῦτο	1072	1077	p	οὗτος	2.732	6
ἀγνοεῖ	1078	1084	v	ἀγνοέω	2.732	6
οὔτε	1086	1090	d	οὔτε	2.732	6
ὅπη	1091	1094	d	ὅπη	2.732	6
