orth	charde	charad	cat	lem	pag	linea
ἡ	539	540	p	ὁ	9.244	6
οὐσία	541	546	n	οὐσία	9.244	6
τῆς	547	550	l	ὁ	9.244	6
δυνάμεως	551	559	n	δύναμις	9.244	6
ἑκάστου	560	567	a	ἕκαστος	9.244	6
τῶν	568	571	l	ὁ	9.244	6
μορίων	572	578	a	μόριον	9.244	6
ἐν	649	651	r	ἐν	9.244	7
τῇ	652	654	l	ὁ	9.244	7
καθ	655	658	r	κατά	9.244	7
ἕκαστον	660	667	a	ἕκαστος	9.244	7
αὐτῶν	668	673	p	αὐτός	9.244	7
εὐκρασίᾳ	674	682	a	εὐκρασία	9.244	7
τέτακται	683	691	a	τάσσω	9.244	7
.	691	692	u	.	9.244	7
τότε	693	697	d	τότε	9.244	7
γὰρ	698	701	d	γάρ	9.244	7
ἐπιτελεῖ	772	780	v	ἐπιτελέω	9.244	8
τὸ	781	783	d	ὁ	9.244	8
ἴδιον	784	789	a	ἴδιος	9.244	8
ἔργον	790	795	n	ἔργον	9.244	8
εὐρώστως	796	804	d	εὔρωστος	9.244	8
ὅταν	806	810	d	ὅταν	9.244	8
εὐκρατότατον	811	823	a	εὐκρατός	9.244	8
ᾖ	824	825	d	εἰμί	9.244	8
.	825	826	u	.	9.244	8
καὶ	827	830	d	καί	9.244	8
μέντοι	901	907	d	μέντοι	9.244	9
καὶ	908	911	d	καί	9.244	9
κακῶς	912	917	d	κακός	9.244	9
ἐργάζεται	918	927	v	ἐργάζομαι	9.244	9
δύσκρατον	928	937	a	δύσκρατος	9.244	9
γενόμενον	938	947	v	γίγνομαι	9.244	9
καὶ	949	952	d	καί	9.244	9
εἰς	953	956	r	εἰς	9.244	9
τοσοῦτόν	957	965	a	τοσοῦτος	9.244	9
γε	1038	1040	d	γέγας	9.244	10
κακῶς	1041	1046	d	κακός	9.244	10
εἰς	1047	1050	r	εἰς	9.244	10
ὅσον	1051	1055	a	ὅσος	9.244	10
δύσκρατον	1056	1065	a	δύσκρατος	9.244	10
.	1065	1066	u	.	9.244	10
οὕτως	1067	1072	d	οὕτως	9.244	10
οὖν	1073	1076	d	οὖν	9.244	10
καὶ	1077	1080	d	καί	9.244	10
αὐτὸ	1081	1085	p	αὐτός	9.244	10
τὸ	1158	1160	l	ὁ	9.244	11
τῆς	1161	1164	l	ὁ	9.244	11
καρδίας	1165	1172	n	καρδία	9.244	11
σῶμα	1173	1177	n	σῶμα	9.244	11
ψυχθὲν	1178	1184	v	ψυγχάνω	9.244	11
μὲν	1185	1188	d	μέν	9.244	11
ἢ	1189	1190	d	ἤ	9.244	11
θερμανθεν	1191	1200	v	θερμάνω	9.244	11
ἢ	1202	1203	d	ἤ	9.244	11
ὑγρανθὲν	1204	1212	v	ὑγραίνω	9.244	11
ἢ	1285	1286	d	ἤ	9.244	12
ξηρανθὲν	1287	1295	v	ξηραίνω	9.244	12
ἀμέτρως	1296	1303	d	ἄμετρος	9.244	12
εἰς	1304	1307	v	εἰς	9.244	12
ὅσον	1308	1312	a	ὅσος	9.244	12
δύσκρατον	1313	1322	a	δύσκρατος	9.244	12
ἐγένετο	1323	1330	v	γίγνομαι	9.244	12
καὶ	1332	1335	d	καί	9.244	12
τοὺς	1336	1340	a	ὁ	9.244	12
σφυγμοὺς	1413	1421	a	σφυγμός	9.244	13
εἰς	1422	1425	v	εἰς	9.244	13
τοσοῦτον	1426	1434	a	τοσοῦτος	9.244	13
ἀμυδροὺς	1435	1443	a	ἀμυδρός	9.244	13
ἀποτελεῖ	1444	1452	v	ἀποτελέω	9.244	13
.	1452	1453	u	.	9.244	13
καὶ	1454	1457	d	καί	9.244	13
τοῦτο	1458	1463	p	οὗτος	9.244	13
μέν	1464	1467	d	μέν	9.244	13
ἐστιν	1540	1545	v	εἰμί	9.244	14
αὐτῷ	1546	1550	p	αὐτός	9.244	14
βεφλάφθαι	1551	1560	v	βλάπτω	9.244	14
τὴν	1561	1564	l	ὁ	9.244	14
δύναμιν	1565	1572	n	δύναμις	9.244	14
τὸ	1574	1576	l	ὁ	9.244	14
δὲ	1577	1579	d	δέ	9.244	14
ὁμιλεῖν	1580	1587	v	ὁμιλέω	9.244	14
ἤτοι	1588	1592	v	ἤτοι	9.244	14
τῷ	1593	1595	p	ὁ	9.244	14
περιεχομένῳ	1668	1679	v	περιέχω	9.244	15
κατὰ	1680	1684	d	κατά	9.244	15
τὰς	1685	1688	l	ὁ	9.244	15
κοιλίας	1689	1696	n	κοιλία	9.244	15
ἑαυτῆς	1697	1703	p	ἑαυτοῦ	9.244	15
αἵματι	1704	1710	n	αἷμα	9.244	15
καὶ	1711	1714	d	καί	9.244	15
πνεύματι	1715	1723	n	πνεῦμα	9.244	15
θερμοτέρῳ	1796	1805	a	θερμός	9.244	16
πολὺ	1806	1810	a	πολύς	9.244	16
τοῦ	1811	1814	l	ὁ	9.244	16
κατὰ	1815	1819	d	κατά	9.244	16
φύσιν	1820	1825	n	φύσις	9.244	16
ἢ	1827	1828	d	ἤ1	9.244	16
τῷ	1829	1831	l	ὁ	9.244	16
κατὰ	1832	1836	d	κατά	9.244	16
τὸ	1837	1839	l	ὁ	9.244	16
περικάρδιον	1840	1851	n	περικάρδιος	9.244	16
σκέπασμα	1924	1932	n	σκέπασμα	9.244	17
ἢ	1934	1935	d	ἤ1	9.244	17
τὸν	1936	1939	l	ὁ	9.244	17
πνεύμονα	1940	1948	n	πνεύμων	9.244	17
ἢ	1950	1951	d	ἤ1	9.244	17
καὶ	1952	1955	d	καί	9.244	17
αὐτῷ	1956	1960	p	αὐτός	9.244	17
τῷ	1961	1963	l	ὁ	9.244	17
περικαρδίῳ	1964	1974	n	περικάρδιος	9.244	17
καὶ	1975	1978	d	καί	9.244	17
τῷ	2051	2053	l	ὁ	9.244	18
πνεύμονι	2054	2062	a	πνεύμων	9.244	18
τὴν	2064	2067	l	ὁ	9.244	18
χρείαν	2068	2074	n	χρεία	9.244	18
ἐστὶ	2075	2079	v	εἰμί	9.244	18
μόνον	2080	2085	a	μόνος	9.244	18
ὑπηλλάχθαι	2086	2096	v	ὑπαλλάσσω	9.244	18
χωρὶς	2097	2102	d	χωρίς	9.244	18
τοῦ	2103	2106	l	ὁ	9.244	18
βεβλάφθαι	2234	2243	v	βλάπτω	9.245	1
τὴν	2244	2247	l	ὁ	9.245	1
δύναμιν	2248	2255	n	δύναμις	9.245	1
.	2255	2256	u	.	9.245	1
ὡσαύτως	2257	2264	d	ὡσαύτως	9.245	1
δὲ	2265	2267	d	δέ	9.245	1
κᾀν	2268	2271	d	εἴν	9.245	1
τῷ	2272	2274	d	ὁ	9.245	1
κατεψῦχθαί	2275	2285	v	καταψεύχω	9.245	1
τε	2286	2288	d	τε	9.245	1
καὶ	2359	2362	d	καί	9.245	2
ψύχεσθαι	2363	2371	v	ψύχω	9.245	2
