orth	charde	charad	cat	lem	pag	linea
Περὶ	475	479	n	Περί	13.786	15
τῶν	480	483	l	ὁ	13.786	15
ὑπὸ	484	487	r	ὑπό	13.786	15
τοῦ	488	491	l	ὁ	13.786	15
Κρίτωνος	492	500	n	Κρίτων	13.786	15
γεγραμμένων	501	512	v	γράφω	13.786	15
.	512	513	u	.	13.786	15
ὁ	596	597	l	ὁ	13.786	16
μὲν	598	601	d	μέν	13.786	16
Ἥρας	602	606	n	Ἥρα	13.786	16
ἓν	607	609	n	εἷς	13.786	16
βιβλίον	610	617	n	βιβλίον	13.786	16
ἐποιήσατο	618	627	v	ποιέω	13.786	16
τῆς	628	631	l	ὁ	13.786	16
τῶν	632	635	l	ὁ	13.786	16
φαρμάκων	636	644	n	φάρμακον	13.786	16
συνθέσεως	645	654	n	σύνθεσις	13.786	16
ἐπιγεγραμμένον	730	744	v	ἐπιγράφω	13.786	17
νάρθηκα	745	752	v	νάρθηξ	13.786	17
.	752	753	u	.	13.786	17
πέντε	754	759	a	πέντε	13.786	17
δὲ	760	762	d	δέ	13.786	17
τοιαῦτα	763	770	p	τοιοῦτος	13.786	17
σώζεται	771	778	v	σώζω	13.786	17
τοῦ	853	856	p	ὁ	13.786	18
Κρίτωνος	857	865	a	Κρίτων	13.786	18
ἔξωθεν	866	872	d	ἔξωθεν	13.786	18
τῶν	873	876	l	ὁ	13.786	18
κοσμητικῶν	877	887	a	κοσμητικός	13.786	18
.	887	888	u	.	13.786	18
ἐν	889	891	d	ἐν	13.786	18
δὲ	892	894	d	δέ	13.786	18
τῷ	895	897	l	ὁ	13.786	18
τετάρτῳ	898	905	a	τέταρτος	13.786	18
τῶν	1035	1038	l	ὁ	13.787	1
πέντε	1039	1044	a	πέντε	13.787	1
τούτων	1045	1051	p	οὗτος	13.787	1
τὰς	1052	1055	l	ὁ	13.787	1
ὁμοειδεῖς	1056	1065	a	ὁμοειδής	13.787	1
ταῖς	1066	1070	p	ὁ	13.787	1
γεγραμμέναις	1071	1083	v	γράφω	13.787	1
ἐμπλάστροις	1084	1095	a	ἔμπλαστρον	13.787	1
διέρχεται	1168	1177	v	διέρχομαι	13.787	2
τινὰς	1179	1184	p	τις	13.787	2
μὲν	1185	1188	d	μέν	13.787	2
ὥσπερ	1190	1195	d	ὥσπερ	13.787	2
ὁ	1196	1197	p	ὁ	13.787	2
Ἥρας	1198	1202	a	Ἥρα	13.787	2
κατὰ	1204	1208	d	κατά	13.787	2
πᾶν	1209	1212	a	πᾶς	13.787	2
ὡσαύτως	1213	1220	d	ὡσαύτως	13.787	2
ἐχούσας	1293	1300	v	ἔχω	13.787	3
.	1300	1301	u	.	13.787	3
τινὰς	1302	1307	p	τις	13.787	3
δὲ	1308	1310	d	δέ	13.787	3
ἔξωθεν	1311	1317	d	ἔξωθεν	13.787	3
ὧν	1319	1321	p	ὅς	13.787	3
ὁ	1322	1323	p	ὁ	13.787	3
Ἥρας	1324	1328	n	Ἥρα	13.787	3
οὐκ	1329	1332	d	οὐ	13.787	3
ἐμνημόνευσεν	1333	1345	v	μνημονεύω	13.787	3
ἃς	1419	1421	p	ὅς	13.787	4
νῦν	1422	1425	d	νῦν	13.787	4
ἐφεξῆς	1426	1432	d	ἐφεξῆς	13.787	4
γράψω	1433	1438	v	γράφω	13.787	4
μετὰ	1440	1444	d	μετά	13.787	4
τοῦ	1445	1448	p	ὁ	13.787	4
καὶ	1449	1452	d	καί	13.787	4
εἴ	1453	1455	d	εἰ	13.787	4
τινος	1456	1461	p	τις	13.787	4
τῶν	1462	1465	l	ὁ	13.787	4
ὑφ	1466	1468	d	ὑπό	13.787	4
Ἥρα	1542	1545	v	Ἥρα	13.787	5
γεγραμμένων	1546	1557	v	γράφω	13.787	5
μνημονεύοι	1558	1568	v	μνημονεύω	13.787	5
διαφερόντως	1569	1580	d	διαφερόντως	13.787	5
μὴ	1581	1583	d	μή	13.787	5
παραλιπεῖν	1584	1594	v	παραλείπω	13.787	5
ὥσπερ	1668	1673	d	ὥσπερ	13.787	6
ἐπὶ	1674	1677	r	ἐπί	13.787	6
τῆς	1678	1681	d	ὁ	13.787	6
Ἱκεσίου	1682	1689	a	Ἱκέσιος	13.787	6
