orth	charde	charad	cat	lem	pag	linea
ἡ	568	569	p	ὁ	13.800	5
διὰ	570	573	r	διά	13.800	5
ἰτεῶν	574	579	n	ἰτέα	13.800	5
.	579	580	u	.	13.800	5
τὴν	589	592	l	ὁ	13.800	5
διὰ	593	596	d	διά	13.800	5
τῶν	597	600	l	ὁ	13.800	5
ἰτεῶν	601	606	n	ἰτέα	13.800	5
ἔνδοξόν	680	687	a	ἔνδοξος	13.800	6
τε	688	690	d	τε	13.800	6
καὶ	691	694	d	καί	13.800	6
πολύχρηστον	695	706	a	πολύχρηστος	13.800	6
οὖσαν	707	712	v	εἰμί	13.800	6
καὶ	713	716	d	καί	13.800	6
αὐτὴν	717	722	p	αὐτός	13.800	6
ὁμοίως	724	730	d	ὅμοιος	13.800	6
ταῖς	731	735	p	ὁ	13.800	6
προγεγραμμέναις	808	823	v	προγράφω	13.800	7
ὁ	824	825	l	ὁ	13.800	7
Κρίτων	826	832	n	Κρίτων	13.800	7
οὕτως	833	838	d	οὕτως	13.800	7
γράφει	839	845	v	γράφω	13.800	7
.	845	846	u	.	13.800	7
ἡ	847	848	l	ὁ	13.800	7
διὰ	849	852	r	διά	13.800	7
τῶν	853	856	l	ὁ	13.800	7
ἰτεῶν	857	862	n	ἰτέα	13.800	7
ἁρμόζουσα	935	944	v	ἁρμόζω	13.800	8
πρὸς	945	949	r	πρός	13.800	8
τὰ	950	952	l	ὁ	13.800	8
ἔναιμα	953	959	a	ἔναιμα	13.800	8
καὶ	960	963	d	καί	13.800	8
ἄρθρα	964	969	n	ἄρθρον	13.800	8
λελυμένα	970	978	v	λύω	13.800	8
καὶ	979	982	d	καί	13.800	8
πρὸς	983	987	r	πρός	13.800	8
σύριγγας	1060	1068	n	σῦριγξ	13.800	9
ἐντιθεμένη	1069	1079	v	ἐντίθημι	13.800	9
καὶ	1080	1083	d	καί	13.800	9
πρὸς	1084	1088	d	πρός	13.800	9
πλαδαρὰς	1089	1097	n	πλαδαρός	13.800	9
σάρκας	1098	1104	n	σάρξ	13.800	9
καὶ	1105	1108	d	καί	13.800	9
μάλιστα	1109	1116	d	μάλιστα	13.800	9
τὰς	1191	1194	d	ὁ	13.800	10
ἐπὶ	1195	1198	r	ἐπί	13.800	10
τοῖς	1199	1203	l	ὁ	13.800	10
ἀκρωτηρίοις	1204	1215	n	ἀκρωτήριον	13.800	10
.	1215	1216	u	.	13.800	10
ποιεῖ	1217	1222	v	ποιέω	13.800	10
καὶ	1223	1226	d	καί	13.800	10
πρὸς	1227	1231	r	πρός	13.800	10
ἐρυσιπέλατα	1232	1243	a	ἐρυσιπέλατος	13.800	10
καὶ	1244	1247	d	καί	13.800	10
πρὸς	1322	1326	r	πρός	13.800	11
ἄλλας	1327	1332	a	ἄλλος	13.800	11
πλείστας	1333	1341	a	πλεῖστος	13.800	11
διαθέσεις	1342	1351	n	διάθεσις	13.800	11
δίχα	1353	1357	d	δίχα	13.800	11
κατακαυμάτων	1358	1370	n	κατάκαυμα	13.800	11
.	1370	1371	u	.	13.800	11
μίσυος	1374	1380	n	μίσυς	13.800	11
