orth	charde	charad	cat	lem	pag	linea
ιπποκρατους	394	405	n		17a.1	1
Επιδημιων	406	415	n	Ἑδήριπ]	17a.1	1
Α	416	417	n	Ἀ	17a.1	1
.	417	418	u	.	17a.1	1
Και	428	431	r	Καῖς	17a.1	1
Γαληνου	432	439	n	Γαλήνιος	17a.1	1
Εις	440	443	r	Εὔλη	17a.1	1
αυτο	444	448	r	-ἁτὸ	17a.1	1
Υπομνημα	449	457	n	Πυδνή	17a.1	1
α	467	468	r	τε	17a.1	1
.	468	469	u	.	17a.1	1
Γαληνοῦ	562	569	n	Γαληνός	17a.1	1
Προοίμιον	570	579	n	Προοίμιον	17a.1	1
.	579	580	u	.	17a.1	1
οὐκ	581	584	d	οὐ	17a.1	1
ἐν	585	587	r	ἐν	17a.1	1
τούτῳ	588	593	a	οὗτος	17a.1	1
μὲν	594	597	d	μέν	17a.1	1
βιβλίῳ	598	604	n	βιβλίον	17a.1	1
Ἱπποκράτης	675	685	n	Ἱπποκράτης	17a.1	2
Κῶος	686	690	n	Κῶος	17a.1	2
περὶ	691	695	n	περί	17a.1	2
τῶν	696	699	n	ὁ	17a.1	2
νόσων	700	705	n	νόσος	17a.1	2
ἑκάστῃ	706	712	a	ἕκαστος	17a.1	2
τῇ	713	715	d	ὁ	17a.1	2
χώρᾳ	716	720	n	χώρα	17a.1	2
οἰκείων	791	798	a	οἰκεῖος	17a.1	3
ἄγειν	799	804	v	ἄγω	17a.1	3
καθέστηκε	805	814	v	καθίστημι	17a.1	3
καθάπερ	816	823	d	καθά	17a.1	3
δὴ	824	826	d	δή	17a.1	3
ἄλλοτέ	827	833	d	ἄλλοτε	17a.1	3
ποτε	834	838	d	ποτέω	17a.1	3
ὅτι	840	843	d	ὅτι	17a.1	3
ὁ	844	845	d	ὁ	17a.1	3
καθόλου	916	923	d	καθόλου	17a.1	4
αὐτοῦ	924	929	d	αὐτός	17a.1	4
λόγος	930	935	n	λόγος	17a.1	4
ᾖ	936	937	v	εἰμί	17a.1	4
περὶ	938	942	d	περί	17a.1	4
νόσων	943	948	n	νόσος	17a.1	4
τῶν	949	952	l	ὁ	17a.1	4
ἐπιδημιῶν	953	962	v	ἐπιδημία	17a.1	4
καλουμένων	963	973	v	καλέω	17a.1	4
τουτέστι	1045	1053	v	τουτέστι	17a.1	5
τῶν	1054	1057	l	ὁ	17a.1	5
κατὰ	1058	1062	d	κατά	17a.1	5
δήμους	1063	1069	n	δῆμος	17a.1	5
κατασκηπτόντων	1070	1084	v	κατασκήπτω	17a.1	5
αἱ	1086	1088	p	ὁ	17a.1	5
ἀπὸ	1248	1251	d	ἀπό	17a.1	6
τῶν	1252	1255	p	ὁ	17a.1	6
