orth	charde	charad	cat	lem	pag	linea
Ἄνθρωπος	665	673	n	Ἄνθρωπος	17a.295	11
θερμαινόμενος	674	687	v	θερμαίνω	17a.295	11
ἐδείπνησε	688	697	v	δειπνέω	17a.295	11
καὶ	698	701	d	καί	17a.295	11
ἔπιε	702	706	v	πίνω	17a.295	11
πλέον	707	712	a	πλείων	17a.295	11
ἤμεσε	790	795	v	ἠμέω	17a.295	12
πάντα	796	801	a	πᾶς	17a.295	12
νύκτα	803	808	n	νύξ	17a.295	12
πυρετὸς	809	816	a	πυρετός	17a.295	12
ὀξὺς	817	821	a	ὀξύς	17a.295	12
ὑποχονδρίου	823	834	a	ὑποχόνδριος	17a.295	12
δεξιοῦ	835	841	a	δεξιός	17a.295	12
πόνος	842	847	n	πόνος	17a.295	12
φλεγμονὴ	925	933	n	φλεγμονή	17a.295	13
ὑπολάπαρος	935	945	a	ὑπολάπαρος	17a.295	13
ἐκ	946	948	r	ἐκ	17a.295	13
τοῦ	949	952	n	ὁ	17a.295	13
ἔσω	953	956	d	ἔσω	17a.295	13
μέρους	957	963	n	μέρος	17a.295	13
νύκτα	965	970	n	νύξ	17a.295	13
δυσφόρως	1047	1055	d	δύσφορος	17a.295	14
.	1055	1056	u	.	17a.295	14
οὖρα	1057	1061	n	οὖρον	17a.295	14
δὲ	1062	1064	d	δέ	17a.295	14
κατ	1065	1068	d	κατά	17a.295	14
ἀρχὰς	1070	1075	n	ἀρχή	17a.295	14
ἐρυθρὰ	1076	1082	a	ἐρυθρός	17a.295	14
πάχος	1084	1089	n	πάχος	17a.295	14
ἔχοντα	1090	1096	v	ἔχω	17a.295	14
κείμενα	1174	1181	v	κεῖμαι	17a.295	15
οὐ	1182	1184	d	οὐ	17a.295	15
καθίστατο	1185	1194	v	καθίστημι	17a.295	15
γλῶσσα	1196	1202	n	γλῶσσα	17a.295	15
ἐπίξηρος	1203	1211	n	ἐπίξηρος	17a.295	15
οὐ	1213	1215	d	οὐ	17a.295	15
λίαν	1216	1220	d	λίαν	17a.295	15
διψώδης	1221	1228	a	διψώδης	17a.295	15
.	1228	1229	u	.	17a.295	15
τετάρτῃ	1306	1313	a	τέταρτος	17a.295	16
πυρετὸς	1314	1321	a	πυρετός	17a.295	16
ὀξὺς	1322	1326	a	ὀξύς	17a.295	16
πόνοι	1328	1333	n	πόνος	17a.295	16
πάντων	1334	1340	a	πᾶς	17a.295	16
.	1340	1341	u	.	17a.295	16
πέμπτῃ	1342	1348	a	πέμπτος	17a.295	16
οὔρησε	1349	1355	v	οὐρέω	17a.295	16
λεῖον	1356	1361	a	λεῖος	17a.295	16
ἐλαιῶδες	1439	1447	a	ἐλαιός	17a.295	17
πολὺ	1449	1453	a	πολύς	17a.295	17
πυρετὸς	1454	1461	a	πυρετός	17a.295	17
ὀξύς	1462	1466	a	ὀξύς	17a.295	17
.	1466	1467	u	.	17a.295	17
ἕκτῃ	1468	1472	a	ἕκτος	17a.295	17
δείλης	1473	1479	n	δείλη	17a.295	17
πολλὰ	1480	1485	a	πολύς	17a.295	17
παρέκρουσε	1486	1496	v	παρακρούω	17a.295	17
