orth	charde	charad	cat	lem	pag	linea
Περι	389	393	r	Πέλνα	18a.346	1
των	394	397	-	[κὼν	18a.346	1
ουχ	398	401	n	ὁ	18a.346	1
Εωραμενων	402	411	n	Ἑπρανίς	18a.346	1
ιπποκρατει	421	431	n		18a.346	1
Εκπτωσεων	432	441	n	Σπίσχις	18a.346	1
.	441	442	u	.	18a.346	1
ὁ	634	635	p	ὁ	18a.346	1
μὲν	636	639	d	μέν	18a.346	1
Ἱπποκράτης	640	650	n	Ἱπποκράτης	18a.346	1
εἰς	651	654	v	εἰς	18a.346	1
μασχάλην	655	663	n	μασχάλη	18a.346	1
μόνον	664	669	a	μόνος	18a.346	1
ἑωρακέναι	670	679	v	ὁράω	18a.346	1
φησὶν	754	759	v	φημί	18a.346	2
ὀλισθαίνοντα	760	772	v	ὀλισθάνω	18a.346	2
βραχίονα	773	781	v	βραχίων	18a.346	2
τῶν	783	786	p	ὁ	18a.346	2
δὲ	787	789	d	δέ	18a.346	2
μετ	790	793	p	μετά	18a.346	2
αὐτὸν	795	800	p	αὐτός	18a.346	2
ἰατρῶν	801	807	n	ἰατρός	18a.346	2
ἔνιοι	882	887	a	ἔνιοι	18a.346	3
καὶ	888	891	d	καί	18a.346	3
ἄλλας	892	897	p	ἄλλος	18a.346	3
ἐκπτώσεις	898	907	v	ἔκπτωσις	18a.346	3
ἔγραψαν	908	915	v	γράφω	18a.346	3
ὡς	917	919	d	ὡς	18a.346	3
οἷόν	920	924	a	οἷος	18a.346	3
τε	925	927	d	τε	18a.346	3
καὶ	928	931	d	καί	18a.346	3
αὐτοὶ	1006	1011	p	αὐτός	18a.346	4
καὶ	1012	1015	d	καί	18a.346	4
ἡμεῖς	1016	1021	p	ἐγώ	18a.346	4
δὲ	1022	1024	d	δέ	18a.346	4
αὐτοὶ	1025	1030	a	αὐτός	18a.346	4
πεντάκις	1031	1039	d	πεντάκις	18a.346	4
εἴδομεν	1040	1047	v	εἴδω	18a.346	4
ἄχρι	1048	1052	d	ἄχρι	18a.346	4
δεῦρο	1053	1058	d	δεῦρο	18a.346	4
κατὰ	1060	1064	d	κατά	18a.346	4
μὲν	1139	1142	d	μέν	18a.346	5
τὴν	1143	1146	d	ὁ	18a.346	5
Ἀσίαν	1147	1152	d	Ἀσία	18a.346	5
ἅπαξ	1153	1157	d	ἅπαξ	18a.346	5
ἐν	1159	1161	d	ἐν	18a.346	5
Ῥώμῃ	1162	1166	n	Ῥώμη	18a.346	5
δὲ	1167	1169	d	δέ	18a.346	5
τετράκις	1170	1178	d	τετράκις	18a.346	5
.	1178	1179	u	.	18a.346	5
ὁσάκις	1180	1186	d	ὁσάκις	18a.346	5
δὲ	1187	1189	d	δέ	18a.346	5
οἶμαι	1265	1270	v	οἴομαι	18a.346	6
καὶ	1272	1275	d	καί	18a.346	6
συνέβη	1276	1282	v	συμβαίνω	18a.346	6
τινὶ	1283	1287	a	τις	18a.346	6
γενέσθαι	1288	1296	v	γίγνομαι	18a.346	6
πάθημα	1297	1303	n	πάθημα	18a.346	6
τοιοῦτον	1304	1312	a	τοιοῦτος	18a.346	6
ἐν	1313	1315	d	ἐν	18a.346	6
τῇ	1316	1318	d	ὁ	18a.346	6
πόλει	1319	1324	n	πόλις	18a.346	6
διὰ	1399	1402	n	διά	18a.346	7
τὸ	1403	1405	p	ὁ	18a.346	7
πάντας	1406	1412	a	πᾶς	18a.346	7
ἰατροὺς	1413	1420	n	ἰατρός	18a.346	7
ἐοικέναι	1421	1429	v	ἔοικα	18a.346	7
ἐμοὶ	1430	1434	p	ἐγώ	18a.346	7
τὰ	1435	1437	n	ὁ	18a.346	7
παράδοξα	1438	1446	a	παράδοξος	18a.346	7
δεικνύναι	1447	1456	v	δείκνυμι	18a.346	7
συμβολῆς	1590	1598	n	συμβολή	18a.347	1
ἕνεκα	1599	1604	v	ἕνεκα	18a.347	1
ἐγένοντο	1606	1614	v	γίγνομαι	18a.347	1
μὲν	1615	1618	d	μέν	18a.347	1
τέτταρες	1619	1627	a	τέσσαρες	18a.347	1
ἐκπτώσεις	1628	1637	n	ἔκπτωσις	18a.347	1
ἅπασαι	1712	1718	a	ἅπας	18a.347	2
μὲν	1719	1722	d	μέν	18a.347	2
ἐν	1723	1725	d	ἐν	18a.347	2
τῇ	1726	1728	d	ὁ	18a.347	2
πρόσω	1729	1734	d	πρόσω	18a.347	2
χώρᾳ	1735	1739	n	χώρα	18a.347	2
διαφέρουσαι	1741	1752	v	διαφέρω	18a.347	2
δὲ	1753	1755	d	δέ	18a.347	2
ἀλλήλων	1756	1763	a	ἀλλήλων	18a.347	2
πλησιέστερον	1839	1851	a	πλησίος	18a.347	3
ἢ	1852	1853	d	ἤ1	18a.347	3
ποῤῥώτερον	1854	1864	a	πόρω	18a.347	3
εἶναι	1865	1870	v	εἰμί	18a.347	3
τῆς	1871	1874	l	ὁ	18a.347	3
διαρθρώσεως	1875	1886	n	διάρθρωσις	18a.347	3
κατὰ	1887	1891	d	κατά	18a.347	3
τὸ	1892	1894	l	ὁ	18a.347	3
μῆκος	1969	1974	n	μῆκος	18a.347	4
τοῦ	1975	1978	l	ὁ	18a.347	4
κώλου	1979	1984	n	κῶλος	18a.347	4
καὶ	1985	1988	d	καί	18a.347	4
πλάτος	1989	1995	n	πλάτος	18a.347	4
.	1995	1996	u	.	18a.347	4
ἐθαύμαζον	1997	2006	v	θαυμάζω	18a.347	4
δή	2007	2009	d	δή	18a.347	4
πως	2010	2013	d	πως	18a.347	4
τοῦ	2014	2017	l	ὁ	18a.347	4
μὲν	2018	2021	d	μέν	18a.347	4
οὐδ	2096	2099	d	οὐδέ	18a.347	5
ὅλως	2101	2105	d	ὅλος	18a.347	5
τῶν	2107	2110	l	ὁ	18a.347	5
δὲ	2111	2113	d	δέ	18a.347	5
μετ	2114	2117	d	μετά	18a.347	5
αὐτὸν	2119	2124	p	αὐτός	18a.347	5
ἑωρακέναι	2125	2134	d	ὁράω	18a.347	5
λεγόντων	2135	2143	d	λέγω	18a.347	5
ὁ	2144	2145	p	ὁ	18a.347	5
μέν	2146	2149	d	μέν	18a.347	5
