orth	charde	charad	cat	lem	pag	linea
Γαληνου	382	389	n	Γαλήνιος	19.62	1
των	390	393	n	[κὼ	19.62	1
ιπποκρατους	394	405	n		19.62	1
Γλωσσων	415	422	n	Γλῶσις	19.62	1
Εξηγησις	423	431	n	Ἕγη]	19.62	1
.	431	432	u	.	19.62	1
Προοίμιον	526	535	n	Προοίμιον	19.62	1
.	535	536	u	.	19.62	1
τὰς	537	540	l	ὁ	19.62	1
παρ	541	544	n	παρά	19.62	1
ἱπποκράτει	546	556	n	̔Ιπποκράτης	19.62	1
γλώσσας	557	564	n	γλῶσσα	19.62	1
ὦ	566	567	v	ὦ	19.62	1
Τεῦθρα	638	644	n	Τεῦθρος	19.62	2
βουληθέντι	646	656	v	βούλομαι	19.62	2
σοι	657	660	v	σύ	19.62	2
διὰ	661	664	n	διά	19.62	2
βραχυταιων	665	675	a	βραχύταιος	19.62	2
ἡμᾶς	676	680	p	ἐγώ	19.62	2
ἒξηγησασθαι	681	692	v	ἐξηγέομαι	19.62	2
προθύμως	764	772	a	πρόθυμος	19.62	3
ὑπήκουσα	773	781	v	ὑπακούω	19.62	3
τοῖς	782	786	p	ὁ	19.62	3
τοιούτοις	787	796	a	τοιοῦτος	19.62	3
ἐπιθυμήμασιν	797	809	v	ἐπίθυμος	19.62	3
ὑπηρετεῖσθαί	810	822	v	ὑπηρετέω	19.62	3
τε	893	895	a	τέτε	19.62	4
κάλλιστα	896	904	a	καλός	19.62	4
κάλλιστον	905	914	a	καλός	19.62	4
εἶναι	915	920	v	εἰμί	19.62	4
νομίζων	921	928	v	νομίζω	19.62	4
.	928	929	u	.	19.62	4
ἔσται	930	935	v	εἰμί	19.62	4
δὲ	936	938	c	δέ	19.62	4
ὡς	941	943	c	ὡς	19.62	4
αὐτὸς	1014	1019	p	αὐτός	19.62	5
ἐκέλευσας	1020	1029	v	κελεύω	19.62	5
ἡ	1031	1032	l	ὁ	19.62	5
τάξις	1033	1038	n	τάξις	19.62	5
τῷ	1039	1041	l	ὁ	19.62	5
λόγῳ	1042	1046	n	λόγος	19.62	5
κατὰ	1047	1051	n	κατά	19.62	5
τὴν	1052	1055	l	ὁ	19.62	5
τῶν	1056	1059	l	ὁ	19.62	5
γραμμάτων	1060	1069	n	γράμμα	19.62	5
ταξιν	1140	1145	p	ταξίς	19.62	6
ὰφ	1147	1149	p	ἀπό	19.62	6
ων	1151	1153	p	θύω	19.62	6
αἱ	1154	1156	l	ὁ	19.62	6
γλῶτται	1157	1164	n	γλῶσσα	19.62	6
την	1165	1168	p	ὁ	19.62	6
ἀρχὴν	1169	1174	n	ἀρχή	19.62	6
ἔχουσι	1175	1181	v	ἔχω	19.62	6
πρότερόν	1183	1191	a	πρότερος	19.62	6
γε	1262	1264	-	γε	19.62	7
διορισαμένοις	1265	1278	v	διορίζω	19.62	7
ημῖν	1279	1283	p	ἐγώ	19.62	7
ὅπη	1284	1287	d	ὅπη	19.62	7
διαφέρει	1288	1296	v	διαφέρω	19.62	7
τοῦ	1297	1300	l	ὁ	19.62	7
πᾶσαν	1301	1306	a	πᾶς	19.62	7
ἐξηγήσωσθαι	1307	1318	v	ἐξηγέομαι	19.62	7
τὴν	1389	1392	l	ὁ	19.62	8
Ἱπποκράτους	1393	1404	n	Ἱπποκράτης	19.62	8
λἒξιν	1405	1410	n	λέξις	19.62	8
τὸ	1411	1413	l	ὁ	19.62	8
τὰς	1414	1417	l	ὁ	19.62	8
γλώττας	1418	1425	n	γλῶσσα	19.62	8
μόνας	1426	1431	a	μόνος	19.62	8
.	1431	1432	u	.	19.62	8
ὅσα	1433	1436	a	ὅσος	19.62	8
τοίνυν	1563	1569	d	τοίνυν	19.63	1
τῶν	1570	1573	l	ὁ	19.63	1
ὀνομάτων	1574	1582	n	ὄνομα	19.63	1
ἐν	1583	1585	d	ἐν	19.63	1
μἐν	1586	1589	d	ἐν	19.63	1
τοῖς	1590	1594	p	ὁ	19.63	1
πάλαι	1595	1600	d	πάλαι	19.63	1
χρόνοις	1601	1608	n	χρόνος	19.63	1
ἦν	1609	1611	v	εἰμί	19.63	1
συνήθη	1612	1618	a	συνήθης	19.63	1
νυνὶ	1690	1694	d	νυνί	19.63	2
δ	1695	1696	d	δέ	19.63	2
οὐκέτι	1698	1704	d	οὐκέτι	19.63	2
ἐστὶ	1705	1709	v	εἰμί	19.63	2
τὰ	1711	1713	d	ὁ	19.63	2
μὲν	1714	1717	d	μέν	19.63	2
τοιαῦτα	1718	1725	p	τοιοῦτος	19.63	2
γλώττας	1726	1733	v	γλῶσσα	19.63	2
καλοῦσι	1734	1741	v	καλέω	19.63	2
καὶ	1742	1745	d	καί	19.63	2
ταύτας	1816	1822	a	οὗτος	19.63	3
ἐξηγησάμενος	1823	1835	v	ἐξηγέομαι	19.63	3
εὔχομαι	1836	1843	v	εὔχομαι	19.63	3
τὰ	1846	1848	p	ὁ	19.63	3
δὲ	1849	1851	d	δέ	19.63	3
ἄλλα	1852	1856	p	ἄλλος	19.63	3
πάντα	1857	1862	a	πᾶς	19.63	3
ὅσα	1863	1866	a	ὅσος	19.63	3
ζητίσεως	1867	1875	a	ζήτισις	19.63	3
μὲν	1946	1949	d	μέν	19.63	4
οὐχ	1950	1953	d	οὐ	19.63	4
ἥττονος	1954	1961	a	ἥσσων	19.63	4
προσδεῖται	1962	1972	v	προσδέομαι	19.63	4
συνήθη	1974	1980	a	συνήθης	19.63	4
δέ	1981	1983	p	δέ	19.63	4
ἐστιν	1984	1989	v	εἰμί	19.63	4
εἰς	1990	1993	v	εἰς	19.63	4
τάδε	2064	2068	p	ὅδε	19.63	5
κατὰ	2069	2073	a	κατά	19.63	5
τὰς	2074	2077	p	ὁ	19.63	5
τῶν	2078	2081	p	ὁ	19.63	5
συγγραμμάτων	2082	2094	n	σύγγραμμα	19.63	5
αὐτῶν	2095	2100	p	αὐτός	19.63	5
ἐξηγήσεις	2101	2110	v	ἐξήγησις	19.63	5
ἄμεινον	2111	2118	a	ἀμείνων	19.63	5
ἐπισκοπεῖσθαι	2189	2202	v	ἐπισκοπέω	19.63	6
.	2202	2203	u	.	19.63	6
τίς	2204	2207	p	τίς	19.63	6
γὰρ	2208	2211	d	γάρ	19.63	6
ἡ	2212	2213	l	ὁ	19.63	6
κρίσις	2214	2220	n	κρίσις	19.63	6
καὶ	2221	2224	d	καί	19.63	6
τί	2225	2227	p	τίς	19.63	6
τὸ	2228	2230	l	ὁ	19.63	6
θεῖον	2231	2236	a	θεῖος	19.63	6
καὶ	2237	2240	d	καί	19.63	6
τί	2241	2243	p	τίς	19.63	6
τό	2314	2316	p	ὁ	19.63	7
ἀρτίως	2317	2323	d	ἄρτιος	19.63	7
καὶ	2324	2327	d	καί	19.63	7
τίς	2328	2331	p	τίς	19.63	7
ἡ	2332	2333	p	ὁ	19.63	7
ἐπ	2334	2336	a	ἐπί	19.63	7
ἄκρον	2338	2343	a	ἄκρος	19.63	7
εὐεξία	2344	2350	a	εὐεξία	19.63	7
καὶ	2351	2354	d	καί	19.63	7
πάνθ	2355	2359	a	πᾶς	19.63	7
ὅσα	2361	2364	a	ὅσος	19.63	7
τοιαῦτα	2365	2372	a	τοιοῦτος	19.63	7
λόγου	2443	2448	n	λόγος	19.63	8
μὲν	2449	2452	d	μέν	19.63	8
παμμήκους	2453	2462	a	παμμήκης	19.63	8
εἰς	2463	2466	v	εἰς	19.63	8
ἐξήγησιν	2467	2475	n	ἐξήγησις	19.63	8
δεῖται	2476	2482	v	δέω	19.63	8
συνήθη	2484	2490	a	συνήθης	19.63	8
δέ	2491	2493	d	δέ	19.63	8
ἐστιν	2494	2499	v	εἰμί	19.63	8
οὐδὲν	2570	2575	a	οὐδείς	19.63	9
ἦττον	2576	2581	a	ἄττω	19.63	9
ἢ	2582	2583	d	ἤ	19.63	9
βίος	2584	2588	n	βίος	19.63	9
καὶ	2589	2592	c	καί	19.63	9
βραχὺς	2593	2599	a	βραχύς	19.63	9
καὶ	2600	2603	c	καί	19.63	9
τέχνη	2604	2609	n	τέχνη	19.63	9
καὶ	2610	2613	c	καί	19.63	9
μακρὰ	2614	2619	a	μακρός	19.63	9
καὶ	2620	2623	c	καί	19.63	9
καιρὸς	2696	2702	n	καιρός	19.63	10
καὶ	2703	2706	d	καί	19.63	10
ὀξὺς	2707	2711	a	ὀξύς	19.63	10
καίτοι	2712	2718	d	καίτοι	19.63	10
καὶ	2719	2722	d	καί	19.63	10
τούτων	2723	2729	a	οὗτος	19.63	10
ἔνια	2730	2734	a	ἔνιοι	19.63	10
δεῖταί	2735	2741	v	δέω	19.63	10
τινος	2742	2747	a	τις	19.63	10
ἐξηἵήσεως	2748	2757	a	ἐξηίήσις	19.63	10
ὅθεν	2831	2835	d	ὅθεν	19.63	11
ἔμοιγε	2836	2842	p	ἐγώ	19.63	11
καὶ	2843	2846	d	καί	19.63	11
θαυμάζειν	2847	2856	v	θαυμάζω	19.63	11
ἐπῆλθε	2857	2863	v	ἐπέρχομαι	19.63	11
τῶν	2864	2867	p	ὁ	19.63	11
ἅπασαν	2868	2874	a	ἅπας	19.63	11
ἐξηγεῖσθαι	2947	2957	v	ἐξηγέομαι	19.63	12
τὴν	2958	2961	p	ὁ	19.63	12
Ἱπποκράτους	2962	2973	n	Ἱπποκράτης	19.63	12
λἒξιν	2974	2979	n	λέξις	19.63	12
ἐπαγγειλαμένων	2980	2994	v	ἐπαγγέλλω	19.63	12
εἰ	2996	2998	v	εἰ	19.63	12
μὴ	2999	3001	d	μή	19.63	12
οννἄτσιν	3074	3082	a	ὀνάτνι	19.63	13
ὅτι	3083	3086	p	ὅτι	19.63	13
πλείω	3087	3092	v	πλείων	19.63	13
παραλείπουσιν	3093	3106	v	παραλείπω	19.63	13
ων	3107	3109	v	θυν	19.63	13
διδάσκουσι	3110	3120	v	διδάσκω	19.63	13
.	3120	3121	u	.	19.63	13
πολλὰ	3122	3127	a	πολύς	19.63	13
γοῦν	3200	3204	d	γοῦν	19.63	14
βιβλία	3205	3211	n	βιβλίον	19.63	14
Διοσκουρίδης	3212	3224	n	Διοσκουρίδης	19.63	14
γράψας	3225	3231	v	γράφω	19.63	14
