orth	charde	charad	cat	lem	pag	linea
Ἀγκυλίδωτοντ	445	457	n	Ἀγκυλίδωτος	19.69	4
ἀγκύλην	458	465	n	ἀγκύλη	19.69	4
ἔχον	466	470	v	ἔχω	19.69	4
εἴρηται	472	479	v	ἐρῶ	19.69	4
δὲ	480	482	d	δέ	19.69	4
ἐπὶ	483	486	r	ἐπί	19.69	4
ἅρματος	487	494	n	ἅρμα	19.69	4
ἢ	495	496	d	ἤ	19.69	4
κυρτώματος	567	577	n	κύρτωμα	19.69	5
.	577	578	u	.	19.69	5
ἀγκυρομήλη	671	681	a	ἀγκυρομήλης	19.69	6
.	682	683	u	.	19.69	6
ἄγκιστρον	685	694	n	ἄγκιστρον	19.69	6
.	694	695	u	.	19.69	6
ἄγλιθες	788	795	v	ἀγλιθέω	19.69	7
.	796	797	u	.	19.69	7
τὰ	799	801	l	ὁ	19.69	7
μόρια	802	807	n	μόριον	19.69	7
τοῦ	808	811	l	ὁ	19.69	7
σκορόδου	812	820	n	σκόροδος	19.69	7
τῆς	821	824	l	ὁ	19.69	7
κεφαλῆς	825	832	n	κεφαλή	19.69	7
.	832	833	u	.	19.69	7
ἀγλίη	926	931	a	ἀγλία	19.69	8
ἡ	933	934	l	ὁ	19.69	8
ἐν	935	937	r	ἐν	19.69	8
τοῖς	938	942	l	ὁ	19.69	8
ὀφθαλμοῖς	943	952	n	ὀφθαλμός	19.69	8
ὑπόλευκος	953	962	n	ὑπόλευκος	19.69	8
οὐλὴ	963	967	n	οὐλή	19.69	8
καθαπερ	969	976	a	καθά	19.69	8
ἐν	977	979	d	ἐν	19.69	8
τῷ	1050	1052	l	ὁ	19.69	9
μείζονι	1053	1060	a	μέγας	19.69	9
προρρητικῷ	1061	1071	a	προρρητικός	19.69	9
καὶ	1073	1076	d	καί	19.69	9
οἱ	1077	1079	p	ὁ	19.69	9
λευκανθίζοντες	1080	1094	v	λευκανθίζω	19.69	9
ἐπίπαγοι	1095	1103	a	ἐπίπαγος	19.69	9
ὡς	1177	1179	d	ὡς	19.69	10
ἐν	1180	1182	r	ἐν	19.69	10
Κωακαῖς	1183	1190	n	Κωακοί	19.69	10
προγνώσεσιν	1191	1202	n	πρόγνωσις	19.69	10
.	1202	1203	u	.	19.69	10
ἀγρίη	1298	1303	a	ἄγριος	19.69	11
κολοκύνθη	1304	1313	n	κολοκύνθη	19.69	11
ἡ	1316	1317	l	ὁ	19.69	11
κολοκυνθὶς	1318	1328	n	κολοκυνθίων	19.69	11
ὡς	1330	1332	c	ὡς	19.69	11
καὶ	1333	1336	c	καί	19.69	11
Κρατεύας	1337	1345	n	Κρατεύς	19.69	11
καὶ	1346	1349	c	καί	19.69	11
Διοσκσυρίδης	1350	1362	n	Διοσκνυρίδης	19.69	11
καὶ	1435	1438	c	καί	19.69	12
Πάμφιλος	1439	1447	n	Πάμφιλος	19.69	12
.	1447	1448	u	.	19.69	12
ἄγραφον	1543	1550	a	ἄγραφος	19.69	13
.	1551	1552	u	.	19.69	13
τάμνον	1554	1560	v	τέμνω	19.69	13
.	1560	1561	u	.	19.69	13
ἄγυια	1656	1661	a	ἄγυια	19.69	14
ασθενῆ	1663	1669	a	ἀσθενής	19.69	14
.	1669	1670	u	.	19.69	14
ἀγχόμενος	1765	1774	v	ἄγχω	19.69	15
.	1775	1776	u	.	19.69	15
πνιγόμενος	1778	1788	v	πνίγω	19.69	15
.	1788	1789	u	.	19.69	15
ἀδαξασθαι	1916	1925	v	ἀδάσσω	19.70	1
δάκνεσθαι	1928	1937	v	δάκνω	19.70	1
κνησμωδῶς	1938	1947	d	κνησμωδής	19.70	1
.	1947	1948	u	.	19.70	1
ιτδηνεως	2041	2049	n	ἱδηνέως	19.70	2
.	2050	2051	u	.	19.70	2
αφροντίστως	2053	2064	d	ἀφρόντιστος	19.70	2
.	2064	2065	u	.	19.70	2
ἀέτωμα	2158	2164	a	ἀέτωμα	19.70	3
.	2165	2166	u	.	19.70	3
τὸ	2168	2170	l	ὁ	19.70	3
είς	2171	2174	v	εἷς	19.70	3
ὕψος	2175	2179	n	ὕψος	19.70	3
ἀνατεταμένον	2180	2192	v	ἀνατείνω	19.70	3
τῆς	2193	2196	l	ὁ	19.70	3
ὀροφῆς	2197	2203	n	ὀροφή	19.70	3
ὥσπερ	2205	2210	d	ὥσπερ	19.70	3
τρίγωνον	2211	2219	a	τρίγωνος	19.70	3
.	2219	2220	u	.	19.70	3
ἀ	2395	2396	-		19.70	5
θέλγε	2397	2402	v	θέλγω	19.70	5
ται	2403	2406	v	φέρω	19.70	5
παρίεται	2409	2417	v	παρίημι	19.70	5
διεκλύεται	2419	2429	v	διακλύω	19.70	5
.	2429	2430	u	.	19.70	5
ἀθήρ	2523	2527	n	ἀθήρ	19.70	6
