orth	charde	charad	cat	lem	pag	linea
Βάχαρις	447	454	n	Βάχαρις	19.87	14
Λύδιόν	457	463	n	Λύδιος	19.87	14
τι	464	466	a	τις	19.87	14
μύρον	467	472	n	μύρον	19.87	14
.	472	473	u	.	19.87	14
βαλβίς	568	574	n	βαλβίς	19.87	15
κοιλότης	576	584	n	κοιλότης	19.87	15
παραμήκης	585	594	a	παραμήκης	19.87	15
.	594	595	u	.	19.87	15
Βαλοῖος	814	821	a	Βαλοῖος	19.88	1
ὁ	824	825	l	ὁ	19.88	1
ἀπὸ	826	829	r	ἀπό	19.88	1
Βαλοίας	830	837	n	Βαλοία	19.88	1
πόλεως	838	844	n	πόλις	19.88	1
Μακεδονικῆς	845	856	a	Μακεδονικός	19.88	1
.	856	857	u	.	19.88	1
βδέλλῳ	928	934	n	βδέλλω	19.88	2
ἐν	937	939	d	ἐν	19.88	2
τῷ	940	942	p	ὁ	19.88	2
μείζονι	943	950	a	μέγας	19.88	2
προρρητικῷ	951	961	a	προρρητικός	19.88	2
καὶ	962	965	d	καί	19.88	2
δευτέρῃ	966	973	a	δεύτερος	19.88	2
πρός	974	978	d	πρός	19.88	2
τινων	979	984	a	τις	19.88	2
ἐπιγραφομένων	1055	1068	v	ἐπιγράφω	19.88	3
τὴν	1069	1072	p	ὁ	19.88	3
κιρσώδη	1073	1080	a	κιρσώδης	19.88	3
φλέβα	1081	1086	a	φλέψ	19.88	3
φησὶν	1087	1092	v	φημί	19.88	3
οὕτως	1093	1098	d	οὕτως	19.88	3
ὠνομάσθαι	1099	1108	v	ὀνομάζω	19.88	3
Διοσκουρίδης	1179	1191	a	Διοσκουρίδης	19.88	4
ἐμοὶ	1194	1198	p	ἐγώ	19.88	4
δὲ	1199	1201	d	δέ	19.88	4
δοκεῖ	1202	1207	v	δοκέω	19.88	4
κυρίως	1208	1214	d	κυρίως	19.88	4
εἰρῆσθαι	1215	1223	v	ἐρῶ	19.88	4
τοῦτομα	1224	1231	p	οὗτος	19.88	4
κατ	1302	1305	d	κατά	19.88	5
αὐτοῦ	1307	1312	p	αὐτός	19.88	5
τοῦ	1313	1316	p	ὁ	19.88	5
ζώου	1317	1321	v	ζώω	19.88	5
καὶ	1324	1327	d	καί	19.88	5
γὰρ	1328	1331	d	γάρ	19.88	5
παρέτυχόν	1332	1341	v	παρατύχος	19.88	5
ποτε	1342	1346	d	ποτέ	19.88	5
τούτου	1347	1353	p	οὗτος	19.88	5
κατὰ	1424	1428	d	κατά	19.88	6
τὸ	1429	1431	p	ὁ	19.88	6
βιβλίον	1432	1439	a	βιβλίον	19.88	6
ἐκεῖνο	1440	1446	a	ἐκεῖνος	19.88	6
λεγομένου	1447	1456	v	λέγω	19.88	6
καὶ	1457	1460	d	καί	19.88	6
ἀπορουμένων	1461	1472	v	ἀπορέω	19.88	6
γε	1543	1545	d	γε	19.88	7
πολλῶν	1546	1552	a	πολύς	19.88	7
ἐπὶ	1553	1556	v	ἐπί	19.88	7
τῶν	1557	1560	p	ὁ	19.88	7
γινομένων	1561	1570	v	γίγνομαι	19.88	7
προέγνων	1572	1580	v	προγιγνώσκω	19.88	7
ἐγὼ	1581	1584	p	ἐγώ	19.88	7
μόνος	1585	1590	a	μόνος	19.88	7
ἐκ	1591	1593	r	ἐκ	19.88	7
τοῦ	1664	1667	p	ὁ	19.88	8
γράμματος	1668	1677	n	γράμμα	19.88	8
ὁρμηθεὶς	1678	1686	v	ὁρμάω	19.88	8
τἀληθές	1687	1694	a	ἀληθής	19.88	8
.	1694	1695	u	.	19.88	8
βηκείοις	1788	1796	a	βήκειος	19.88	9
προβατίοις	1799	1809	a	προβάτιος	19.88	9
.	1809	1810	u	.	19.88	9
βησσιακή	1905	1913	a	βησσιακός	19.88	10
τῇ	1916	1918	l	ὁ	19.88	10
ἀπὸ	1919	1922	r	ἀπό	19.88	10
βησσῶν	1923	1929	n	βησσός	19.88	10
ἐν	1930	1932	r	ἐν	19.88	10
Θράκῃ	1933	1938	n	Θράκη	19.88	10
.	1938	1939	u	.	19.88	10
βλακεύειν	2034	2043	v	βλακεύω	19.88	11
ὀλιγωρεῖν	2046	2055	v	ὀλιγωρέω	19.88	11
.	2055	2056	u	.	19.88	11
βλαβεραί	2151	2159	a	βλαβερός	19.88	12
ὑγραὶ	2161	2166	a	ὑγρός	19.88	12
μυξώδεις	2168	2176	a	μυξώδης	19.88	12
.	2176	2177	u	.	19.88	12
βληχρόν	2272	2279	a	βληχρός	19.88	13
ὄσπριόν	2281	2288	a	ὄσπριος	19.88	13
τι	2289	2291	p	τις	19.88	13
ὅ	2292	2293	p	ὅς	19.88	13
καὶ	2294	2297	c	καί	19.88	13
βλήχιον	2298	2305	a	βλήχιος	19.88	13
γράφεται	2306	2314	v	γράφω	19.88	13
.	2314	2315	u	.	19.88	13
βοάνθεμον	2410	2419	a	βοάνθεμος	19.88	14
τὸ	2422	2424	l	ὁ	19.88	14
βούφθαλμον	2425	2435	a	βούφθαλμος	19.88	14
τὸ	2438	2440	l	ὁ	19.88	14
δὲ	2441	2443	c	δέ	19.88	14
αὐτὸ	2444	2448	a	αὐτός	19.88	14
καὶ	2449	2452	c	καί	19.88	14
χρυσάνθεμον	2453	2464	a	χρυσάνθεμος	19.88	14
ὀνομάζεται	2537	2547	v	ὀνομάζω	19.88	15
.	2547	2548	u	.	19.88	15
βόλβιον	2643	2650	a	βόλβιος	19.88	16
οἶόν	2653	2657	a	οἶος	19.88	16
ἐστι	2658	2662	v	εἰμί	19.88	16
τὸ	2663	2665	p	ὁ	19.88	16
αὐτὸ	2666	2670	a	αὐτός	19.88	16
Ἱπποκράτης	2672	2682	a	Ἱπποκράτης	19.88	16
ἐν	2683	2685	a	ἐν	19.88	16
τῷ	2686	2688	p	ὁ	19.88	16
δευτέρῳ	2689	2696	a	δεύτερος	19.88	16
τῶν	2769	2772	l	ὁ	19.88	17
γυναικείων	2773	2783	a	γυναικεῖος	19.88	17
διδάσκει	2784	2792	v	διδάσκω	19.88	17
κακῶς	2795	2800	d	κακός	19.88	17
οὖν	2801	2804	d	οὖν	19.88	17
τινες	2805	2810	p	τις	19.88	17
τὸν	2811	2814	l	ὁ	19.88	17
νάρκισσον	2815	2824	v	νάρκισσος	19.88	17
