orth	charde	charad	cat	lem	pag	linea
Γαλιάγκωνες	445	456	n	Γαλιάγκων	19.90	5
οἱ	459	461	l	ὁ	19.90	5
σμικρὸν	462	469	a	μικρός	19.90	5
μὲν	470	473	d	μέν	19.90	5
καὶ	474	477	d	καί	19.90	5
ἄτροφον	478	485	a	ἄτροφος	19.90	5
ἔχοντες	486	493	v	ἔχω	19.90	5
τὸν	494	497	l	ὁ	19.90	5
βραχίονα	498	506	n	βραχίων	19.90	5
τὰ	578	580	l	ὁ	19.90	6
δὲ	581	583	d	δέ	19.90	6
κατὰ	584	588	d	κατά	19.90	6
τὸν	589	592	l	ὁ	19.90	6
ὰγκῶνα	593	599	n	ἄγκων	19.90	6
ὀγκωδέστερα	600	611	a	ὀγκώδης	19.90	6
ὥσπερ	613	618	d	ὥσπερ	19.90	6
καὶ	619	622	d	καί	19.90	6
αἱ	693	695	l	ὁ	19.90	7
γαλαῖ	696	701	n	γαλή	19.90	7
οἱ	703	705	l	ὁ	19.90	7
δὲ	706	708	d	δέ	19.90	7
φασκοντες	709	718	v	φάσκω	19.90	7
γαλλὸν	719	725	a	γαλλός	19.90	7
τὸ	726	728	l	ὁ	19.90	7
χολὸν	729	734	n	χολός	19.90	7
ὀνομάζεσθαι	735	746	v	ὀνομάζω	19.90	7
καὶ	817	820	d	καί	19.90	8
διὰ	821	824	n	διά	19.90	8
τοῦτο	825	830	a	οὗτος	19.90	8
συγκεῖσθαι	831	841	v	σύγκειμαι	19.90	8
τοὔνομα	842	849	v	ὄνομα	19.90	8
τάχα	852	856	v	τάχα	19.90	8
ἀν	857	859	d	ἐν	19.90	8
δόξειαν	860	867	v	δοκέω	19.90	8
παρακούειν	868	878	v	παρακούω	19.90	8
οὐ	950	952	d	οὐ	19.90	9
γάρ	953	956	d	γάρ	19.90	9
γαλιάγκωνας	957	968	v	γαλιάγκων	19.90	9
ἀλλὰ	970	974	d	ἀλλά	19.90	9
γαλλοβραχίονας	975	989	a	γαλλοβραχίων	19.90	9
ἐχρῆν	1062	1067	v	χρή	19.90	10
αὐτοὺς	1068	1074	a	αὐτός	19.90	10
ὀνομάζεσθαι	1075	1086	v	ὀνομάζω	19.90	10
.	1086	1087	u	.	19.90	10
γαμψούς	1182	1189	v	γαμψός	19.90	11
καμπὰς	1192	1198	n	καμπή	19.90	11
ἔχοντάς	1199	1206	v	ἔχω	19.90	11
τινας	1207	1212	p	τις	19.90	11
.	1212	1213	u	.	19.90	11
γαυσός	1308	1314	n	γαυσός	19.90	12
κυρτὸς	1316	1322	a	κυρτός	19.90	12
εἰς	1323	1326	r	εἰς	19.90	12
τὰ	1327	1329	l	ὁ	19.90	12
ἔξω	1330	1333	r	ἔξω	19.90	12
.	1333	1334	u	.	19.90	12
γιγγλύματα	1429	1439	n	γίγγλυμα	19.90	13
ἀντεμβαίνουσιν	1441	1455	v	ἀντεμβαίνω	19.90	13
εἰς	1456	1459	v	εἰς	19.90	13
ἀλλήλους	1460	1468	p	ἀλλήλων	19.90	13
ὥσπερ	1470	1475	d	ὥσπερ	19.90	13
καὶ	1476	1479	d	καί	19.90	13
ἐν	1480	1482	r	ἐν	19.90	13
ταῖς	1555	1559	l	ὁ	19.90	14
θύραις	1560	1566	n	θύρα	19.90	14
οἱ	1567	1569	p	ὁ	19.90	14
γιγγλυμοί	1570	1579	a	γιγγλυμός	19.90	14
.	1579	1580	u	.	19.90	14
γῇ	1675	1677	n	γῆ	19.90	15
σμηκτίδι	1678	1686	n	μμηκτίς	19.90	15
τῇ	1689	1691	l	ὁ	19.90	15
κιμωλία	1692	1699	n	κιμωλία	19.90	15
.	1699	1700	u	.	19.90	15
γῇ	1795	1797	n	γῆ	19.90	16
κεραμίτιδι	1798	1808	n	κεραμίτις	19.90	16
τῇ	1811	1813	l	ὁ	19.90	16
ἀργίλῃ	1814	1820	a	ἀργίλη	19.90	16
.	1820	1821	u	.	19.90	16
