orth	charde	charad	cat	lem	pag	linea
Δαιτίδες	445	453	n	Δαιτίς	19.92	1
μεγάλαι	456	463	a	μέγας	19.92	1
λαμπάδες	464	472	n	λαμπάς	19.92	1
καιόμεναί	473	482	v	καίω	19.92	1
τε	483	485	d	τέτε	19.92	1
καλοῦνται	486	495	v	καλέω	19.92	1
καταχρωμένοις	498	511	v	καταχράομαι	19.92	1
δέ	582	584	d	δέ	19.92	2
ποτε	585	589	d	ποτέω	19.92	2
σημαίνει	590	598	v	σημαίνω	19.92	2
καὶ	599	602	d	καί	19.92	2
τὴν	603	606	l	ὁ	19.92	2
τοῦ	607	610	l	ὁ	19.92	2
σκορόδου	611	619	n	σκόροδος	19.92	2
κεφαλὴν	620	627	n	κεφαλή	19.92	2
διὰ	698	701	n	διά	19.92	3
τὸ	702	704	l	ὁ	19.92	3
ἐκ	705	707	n	ἐκ	19.92	3
πολλῶν	708	714	a	πολύς	19.92	3
αγλίθων	715	722	n	ἄγλιθος	19.92	3
συγκειμένην	723	734	v	σύγκειμαι	19.92	3
παραπλησίοις	735	747	a	παραπλήσιος	19.92	3
συνδεδέσθαι	818	829	v	συνδέω	19.92	4
ταῖς	830	834	l	ὁ	19.92	4
λαμπάσι	835	842	n	λαμπάς	19.92	4
.	842	843	u	.	19.92	4
δακτύλιος	936	945	n	δακτύλιος	19.92	5
κύκλος	947	953	n	κύκλος	19.92	5
τροχίσκος	954	963	n	τροχίσκος	19.92	5
ἐν	964	966	r	ἐν	19.92	5
τῷ	967	969	d	ὁ	19.92	5
περὶ	970	974	r	περί	19.92	5
ἀφόρων	975	981	a	ἄφορος	19.92	5
.	981	982	u	.	19.92	5
δίεδρος	1075	1082	a	δίεδρος	19.92	6
διαφανὴς	1084	1092	a	διαφανής	19.92	6
ἐν	1094	1096	r	ἐν	19.92	6
τῷ	1097	1099	p	ὁ	19.92	6
δευτέρῳ	1100	1107	a	δεύτερος	19.92	6
περὶ	1108	1112	r	περί	19.92	6
νούσων	1113	1119	n	νοῦσος	19.92	6
τῷ	1120	1122	p	ὁ	19.92	6
μείζονι	1123	1130	a	μέγας	19.92	6
.	1130	1131	u	.	19.92	6
διακνεέι	1202	1210	a	διακνεής	19.92	7
ὅπερ	1212	1216	p	ὅσπερ	19.92	7
καὶ	1217	1220	d	καί	19.92	7
ἀποκναίει	1221	1230	v	ἀποκναίω	19.92	7
τὸ	1232	1234	l	ὁ	19.92	7
δὲ	1235	1237	c	δέ	19.92	7
αὐτὸ	1238	1242	p	αὐτός	19.92	7
καὶ	1243	1246	c	καί	19.92	7
διακναίει	1247	1256	v	διακναίω	19.92	7
λέγεται	1257	1264	v	λέγω	19.92	7
.	1264	1265	u	.	19.92	7
διαπεπληγμένα	1440	1453	v	διαπλήσσω	19.92	9
τὰ	1456	1458	l	ὁ	19.92	9
ἐπὶ	1459	1462	r	ἐπί	19.92	9
πολὺ	1463	1467	a	πολύς	19.92	9
κατὰ	1468	1472	r	κατά	19.92	9
τὴν	1473	1476	l	ὁ	19.92	9
πληγάδα	1477	1484	n	πληγάς	19.92	9
διεστῶτα	1485	1493	v	διίστημι	19.92	9
πληχας	1568	1574	n	πλήξ	19.92	10
δὲ	1575	1577	d	δέ	19.92	10
το	1578	1580	p	τοι	19.92	10
μεταξυ	1581	1587	n	μεταξύ	19.92	10
τῶν	1588	1591	l	ὁ	19.92	10
σκελῶν	1592	1598	n	σκέλος	19.92	10
τῆς	1599	1602	l	ὁ	19.92	10
ἐκφύσεως	1603	1611	n	ἔκφυσις	19.92	10
.	1611	1612	u	.	19.92	10
διάστημα	1707	1715	n	διάστημα	19.92	11
τὴν	1718	1721	l	ὁ	19.92	11
ὥσπερ	1722	1727	p	ὥσπερ	19.92	11
ἐρίοις	1728	1734	n	ἔριον	19.92	11
ἐοικυῖαν	1735	1743	v	ἔοικα	19.92	11
αὐτῶν	1744	1749	p	αὐτός	19.92	11
τῶν	1750	1753	l	ὁ	19.92	11
σωμάτων	1754	1761	n	σῶμα	19.92	11
σύνθεσιν	1834	1842	n	σύνθεσις	19.92	12
.	1842	1843	u	.	19.92	12
διαστομωτρίδα	1938	1951	n	διαστομωτρίς	19.92	13
μήλην	1954	1959	n	μήλη	19.92	13
τὴν	1960	1963	l	ὁ	19.92	13
διαστέλλουσαν	1964	1977	v	διαστέλλω	19.92	13
.	1977	1978	u	.	19.92	13
διαφλύξιες	2073	2083	n	διαφλύξιος	19.92	14
ὑπερβλύσεις	2086	2097	n	ὑπέρβλυσις	19.92	14
.	2097	2098	u	.	19.92	14
διαφλυχθεῖσα	2193	2205	v	διαφλύσσω	19.92	15
διαχυθεῖσα	2208	2218	v	διαχύω	19.92	15
ὑγρανθεῖσα	2221	2231	v	ὑγραίνω	19.92	15
.	2231	2232	u	.	19.92	15
διαφλυχθέν	2327	2337	v	διαφλύσσω	19.92	16
ὑγρανθέν	2340	2348	v	ὑγραίνω	19.92	16
.	2348	2349	u	.	19.92	16
διαφλύοντα	2444	2454	v	διαφλύω	19.92	17
ὑγραίνοντα	2457	2467	v	ὑγραίνω	19.92	17
.	2467	2468	u	.	19.92	17
δίαφρος	2595	2602	a	δίαφρος	19.93	1
αφριζων	2604	2611	v	ἀφρίζω	19.93	1
.	2611	2612	u	.	19.93	1
διαχωρίου	2705	2714	n	διαχώριος	19.93	2
ὡτὸ	2716	2719	a	ὡτός	19.93	2
διαστήματος	2720	2731	n	διάστημα	19.93	2
.	2731	2732	u	.	19.93	2
διδύμη	2919	2925	a	δίδυμος	19.93	3
ῥίζα	2927	2931	n	ῥίζα	19.93	3
τῆς	2932	2935	l	ὁ	19.93	3
βοτάνης	2937	2944	n	βοτάνη	19.93	3
ἥτις	2945	2949	p	ὅστις	19.93	3
καὶ	2950	2953	c	καί	19.93	3
ὄρχις	2954	2959	n	ὄρχις	19.93	3
ὄνομάζεται	2960	2970	v	ὄνομα	19.93	3
.	2970	2971	u	.	19.93	3
διεβλήθησαν	3146	3157	v	διαβάλλω	19.93	5
ἐξηπατήθησαν	3159	3171	v	ἐξαπατάω	19.93	5
.	3171	3172	u	.	19.93	5
διῆσαι	3265	3271	v	διίημι	19.93	6
διασεῖσαι	3274	3283	v	διασείω	19.93	6
ἐν	3285	3287	v	ἐν	19.93	6
δευτέρῳ	3288	3295	a	δεύτερος	19.93	6
τῶν	3296	3299	l	ὁ	19.93	6
γυναικείων	3300	3310	a	γυναικεῖος	19.93	6
δηλοῖ	3312	3317	v	δηλόω	19.93	6
καὶ	3318	3321	d	καί	19.93	6
τὸ	3322	3324	l	ὁ	19.93	6
διηθῆσαι	3395	3403	v	διηθέομαι	19.93	7
καὶ	3404	3407	c	καί	19.93	7
τὸ	3408	3410	l	ὁ	19.93	7
διελεῖν	3411	3418	v	διαιρέω	19.93	7
.	3418	3419	u	.	19.93	7
δαέρος	3512	3518	n	δαήρ	19.93	8
νοτηρὰ	3521	3527	n	νοτηρός	19.93	8
καὶ	3528	3531	d	καί	19.93	8
διὶ	3532	3535	d	δίς	19.93	8
δροῦσα	3536	3542	v	δρούω	19.93	8
.	3542	3543	u	.	19.93	8
δἰκλειδος	3636	3645	v	δίκλεις	19.93	9
διμερής	3647	3654	a	διμερός	19.93	9
ὡς	3656	3658	c	ὡς	19.93	9
δύνασθαι	3659	3667	v	δύναμαι	19.93	9
τοῦ	3668	3671	l	ὁ	19.93	9
κάτω	3672	3676	v	κάτω	19.93	9
μέρους	3677	3683	v	μέρος	19.93	9
κεκλεισμεέου	3684	3696	v	κλεισμέως	19.93	9
τὸ	3769	3771	l	ὁ	19.93	10
ὑπερκείμενον	3772	3784	v	ὑπέρκειμαι	19.93	10
ανοῖξαι	3785	3792	v	ἀνοίγνυμι	19.93	10
.	3792	3793	u	.	19.93	10
δίκρουν	3888	3895	a	δικρόος	19.93	11
τὸ	3897	3899	l	ὁ	19.93	11
οἶον	3900	3904	a	οἶος	19.93	11
δίκρανον	3905	3913	a	δίκρανος	19.93	11
ὅπερ	3915	3919	p	ὅσπερ	19.93	11
καὶ	3920	3923	d	καί	19.93	11
δισχιδὲς	3924	3932	a	δισχιδής	19.93	11
ονομαζουσι	3933	3943	v	ὀμομάζω	19.93	11
τὸ	4017	4019	l	ὁ	19.93	12
ῥὲ	4020	4022	d	αἴ	19.93	12
αὐτὸ	4023	4027	p	αὐτός	19.93	12
καὶ	4028	4031	c	καί	19.93	12
ἥδ	4032	4034	p	ὅδε	19.93	12
κρον	4035	4039	v	κρός	19.93	12
δηλοῖ	4040	4045	v	δηλόω	19.93	12
.	4045	4046	u	.	19.93	12
δίοπτος	4141	4148	n	δίοπτος	19.93	13
νεὼ	4151	4154	n	ναός	19.93	13
ἐπιμελητὴς	4155	4165	n	ἐπιμελητής	19.93	13
παρὰ	4166	4170	r	παρά	19.93	13
