orth	charde	charad	cat	lem	pag	linea
ἐβλημάσθη	445	454	v	βλημάω	19.94	8
ἐμαλάχθη	457	465	v	μαλάσσω	19.94	8
.	465	466	u	.	19.94	8
ἐγγαστρίμυθοι	559	572	a	ἐγγαστρίμυθος	19.94	9
οἱ	575	577	l	ὁ	19.94	9
κεκλεισμένου	578	590	v	κλείω	19.94	9
τοῦ	591	594	l	ὁ	19.94	9
στόματος	595	603	n	στόμα	19.94	9
φθεγγόμενοι	604	615	v	φθέγγομαι	19.94	9
διὰ	689	692	r	διά	19.94	10
τὸ	693	695	l	ὁ	19.94	10
δοκεῖν	696	702	v	δοκέω	19.94	10
ἐκ	703	705	r	ἐκ	19.94	10
τῆς	706	709	l	ὁ	19.94	10
γαστρὸς	710	717	n	γαστρός	19.94	10
φθέγγεσθαι	718	728	v	φθέγγομαι	19.94	10
.	728	729	u	.	19.94	10
ἐγκέλλῃ	916	923	v	ἔγκελλος	19.94	11
ἐνερείσῃ	925	933	v	ἐνέρομαι	19.94	11
.	933	934	u	.	19.94	11
ἐγκάμψει	1029	1037	v	ἐγκάμπτω	19.94	12
ἐνερείξει	1039	1048	v	ἐνερείκω	19.94	12
καὶ	1050	1053	d	καί	19.94	12
ἐγκεκαμμένοι	1054	1066	v	ἐγκάπτω	19.94	12
οἱ	1068	1070	l	ὁ	19.94	12
ἐνηρεικοτες	1071	1082	v	ἐνηρεικός	19.94	12
καὶ	1083	1086	d	καί	19.94	12
γρυποὶ	1159	1165	a	γρυπός	19.94	13
εἴρηται	1168	1175	v	ἐρῶ	19.94	13
δὲ	1176	1178	d	δέ	19.94	13
ἐπὶ	1179	1182	r	ἐπί	19.94	13
ὀνύχων	1183	1189	n	ὄνυξ	19.94	13
.	1189	1190	u	.	19.94	13
ἐγγενές	1285	1292	a	ἐγγενής	19.94	14
συγγεννημένον	1294	1307	v	συγγεννέω	19.94	14
οίκεῖον	1309	1316	a	οἰκεῖος	19.94	14
.	1316	1317	u	.	19.94	14
ἐγκάς	1412	1417	v	ἐγκάς	19.94	15
ἐν	1420	1422	r	ἐν	19.94	15
βάθει	1423	1428	n	βάθος	19.94	15
.	1428	1429	u	.	19.94	15
ἐγκεχαλίνωται	1556	1569	v	ἐγκεχαλίνω	19.95	1
χαλινοῖς	1571	1579	n	χαλινός	19.95	1
ἐμφερῶς	1580	1587	d	ἐμφερός	19.95	1
περίκειται	1588	1598	v	περίκειμαι	19.95	1
.	1598	1599	u	.	19.95	1
.	1600	1601	u	.	19.95	1
ϊκγεγλευκισμἒξος	1694	1710	a	ἰκγεγλευκισμέως	19.95	2
ὁ	1713	1714	l	ὁ	19.95	2
ὑπόγειος	1715	1723	a	ὑπόγειος	19.95	2
πεπαυμένος	1725	1735	v	παύω	19.95	2
τοῦ	1736	1739	l	ὁ	19.95	2
γλεῦκος	1740	1747	n	γλεῦκος	19.95	2
εἶναι	1748	1753	v	εἰμί	19.95	2
.	1753	1754	u	.	19.95	2
ἔγρησις	1825	1832	n	ἔγρησις	19.95	3
ἡ	1835	1836	l	ὁ	19.95	3
ἐγρήγορσις	1837	1847	n	ἐγρήγορσις	19.95	3
.	1847	1848	u	.	19.95	3
ἐέρχαται	1941	1949	v	ἔργνυμι	19.95	4
ἐναπολαμβάνονται	1952	1968	v	ἐναπολαμβάνω	19.95	4
.	1968	1969	u	.	19.95	4
ἔθρασσεν	2062	2070	v	θράσσω	19.95	5
ἔνυττεν	2073	2080	v	ἐνύω	19.95	5
ἐκέντει	2082	2089	v	κεντέω	19.95	5
.	2089	2090	u	.	19.95	5
ἐκβρήσσει	2183	2192	v	ἐκβρήσσω	19.95	6
ἐκβάλλει	2195	2203	v	ἐκβάλλω	19.95	6
ἐκβράσσει	2205	2214	v	ἐκβράσσω	19.95	6
.	2214	2215	u	.	19.95	6
εκδεξιν	2308	2315	n	ἐκδεξίς	19.95	7
διαδοχήν	2318	2326	n	διαδοχή	19.95	7
.	2326	2327	u	.	19.95	7
ὲκκολύψας	2420	2429	v	ἐκκολύπτω	19.95	8
ἀπολεπίσας	2432	2442	v	ἀπολεπίζω	19.95	8
.	2442	2443	u	.	19.95	8
ἐκλουέσθω	2536	2545	v	ἐκλούω	19.95	9
σημαίνει	2547	2555	v	σημαίνω	19.95	9
ποτὲ	2556	2560	d	ποτέ	19.95	9
καὶ	2561	2564	d	καί	19.95	9
το	2565	2567	d	τοσότος	19.95	9
προσκλυζέσθω	2568	2580	v	προσκλύζω	19.95	9
ὡς	2582	2584	d	ὡς	19.95	9
ἐν	2585	2587	r	ἐν	19.95	9
τῷ	2588	2590	d	ὁ	19.95	9
περὶ	2663	2667	r	περί	19.95	10
ἀφόρων	2668	2674	a	ἄφορος	19.95	10
καὶ	2675	2678	d	καί	19.95	10
τοῖς	2679	2683	l	ὁ	19.95	10
προσκειμένοις	2684	2697	v	πρόσκειμαι	19.95	10
τοῖς	2698	2702	l	ὁ	19.95	10
περὶ	2703	2707	r	περί	19.95	10
τῶν	2708	2711	l	ὁ	19.95	10
ἐν	2712	2714	r	ἐν	19.95	10
κεφαλῇ	2715	2721	n	κεφαλή	19.95	10
τρωμάτων	2794	2802	n	τραῦμα	19.95	11
.	2802	2803	u	.	19.95	11
ἔκμαγμα	2898	2905	n	ἔκμαγμα	19.95	12
τό	2908	2910	l	ὁ	19.95	12
τε	2911	2913	d	τε	19.95	12
συνεστραμμένον	2914	2928	v	συστρέφω	19.95	12
φυραμα	2929	2935	n	φυραμός	19.95	12
καὶ	2936	2939	d	καί	19.95	12
τὸ	2940	2942	l	ὁ	19.95	12
κροκόιιαγμα	2943	2954	n	κροκοιίαξ	19.95	12
ὠς	3029	3031	d	ὁ	19.95	13
ἐν	3032	3034	r	ἐν	19.95	13
τῷ	3035	3037	d	ὁ	19.95	13
περὶ	3038	3042	r	περί	19.95	13
ἀφόρων	3043	3049	a	ἄφορος	19.95	13
.	3049	3050	u	.	19.95	13
ἐκμάξαι	3145	3152	v	ἐκμάσσω	19.95	14
καὶ	3155	3158	c	καί	19.95	14
τὸ	3159	3161	l	ὁ	19.95	14
ἀναπλάσαι	3162	3171	v	ἀναπλάζω	19.95	14
.	3171	3172	u	.	19.95	14
ἔστιν	3173	3178	v	εἰμί	19.95	14
ὅτε	3179	3182	c	ὅτε	19.95	14
καὶ	3183	3186	c	καί	19.95	14
ἀλλοιῶσαι	3187	3196	v	ἀλλοιόω	19.95	14
ὡς	3197	3199	c	ὡς	19.95	14
ἒξ	3200	3202	v	ἐκ	19.95	14
τῷ	3275	3277	d	ὁ	19.95	15
περὶ	3278	3282	d	περί	19.95	15
ἀφόρων	3283	3289	a	ἄφορος	19.95	15
δακτύλῳ	3291	3298	n	δάκτυλος	19.95	15
ἐκμάξαι	3299	3306	v	ἐκμάσσω	19.95	15
τουτεστιν	3308	3317	v	τουτέστιν	19.95	15
ὠς	3318	3320	d	ὁ	19.95	15
τὸν	3321	3324	l	ὁ	19.95	15
κυκλίσκον	3325	3334	v	κυκλίσκος	19.95	15
ἀναπλάσαι	3407	3416	v	ἀναπλάζω	19.95	16
ἀλλὰ	3419	3423	d	ἀλλά	19.95	16
καὶ	3424	3427	d	καί	19.95	16
τὸ	3428	3430	l	ὁ	19.95	16
ἐκθλίψαι	3431	3439	v	ἐκθλίπω	19.95	16
ὡς	3441	3443	d	ὡς	19.95	16
ἐν	3444	3446	r	ἐν	19.95	16
τῷ	3447	3449	d	ὁ	19.95	16
περὶ	3576	3580	d	περί	19.96	1
νουσων	3581	3587	v	νοῦσος	19.96	1
τῷ	3588	3590	l	ὁ	19.96	1
πρωτῳ	3591	3596	a	πρῶτος	19.96	1
τῷ	3597	3599	l	ὁ	19.96	1
μείζονι	3600	3607	a	μέγας	19.96	1
ἐπί	3609	3612	d	ἐπί	19.96	1
τε	3613	3615	d	τε	19.96	1
σπόγγου	3616	3623	n	σπόγγος	19.96	1
καὶ	3624	3627	d	καί	19.96	1
τῆς	3698	3701	l	ὁ	19.96	2
λινοζώστιος	3702	3713	a	λινοζώστιος	19.96	2
καὶ	3714	3717	c	καί	19.96	2
ἀκτῆς	3718	3723	n	ἀκτή	19.96	2
τῶν	3724	3727	l	ὁ	19.96	2
φύλλων	3728	3734	n	φύλλον	19.96	2
.	3734	3735	u	.	19.96	2
ἐκματεῖσθαι	3828	3839	v	ἐκμανέω	19.96	3
ἀναζητεῖν	3842	3851	v	ἀναζητέω	19.96	3
.	3851	3852	u	.	19.96	3
ἐκμιαίνεται	3945	3956	v	ἐκμιαίνω	19.96	4
ἀποκρίνει	3958	3967	v	ἀποκρίνω	19.96	4
τὸ	3968	3970	l	ὁ	19.96	4
σπέρμα	3971	3977	n	σπέρμα	19.96	4
.	3977	3978	u	.	19.96	4
ιτ	3978	3980	p	τις	19.96	4
ἐκνεφίας	4073	4081	n	ἐκνεφία	19.96	5
ὄμβρος	4082	4088	n	ὄμβρος	19.96	5
ὁ	4090	4091	l	ὁ	19.96	5
μετα	4092	4096	-	μετά	19.96	5
ηλίου	4097	4102	n	ἤλιος	19.96	5
γινομενος	4103	4112	v	γίγνομαι	19.96	5
.	4112	4113	u	.	19.96	5
ἐκνεφίας	4206	4214	n	ἐκνεφία	19.96	6
πυρετός	4215	4222	n	πυρετός	19.96	6
ὸ	4224	4225	a	ὅς	19.96	6
ὑγρὸς	4226	4231	a	ὑγρός	19.96	6
ἅμα	4232	4235	d	ἅμα	19.96	6
καὶ	4236	4239	d	καί	19.96	6
πυρώδης	4240	4247	a	πυρώδης	19.96	6
ὥσπερ	4249	4254	d	ὥσπερ	19.96	6
καὶ	4255	4258	d	καί	19.96	6
ὁ	4259	4260	c	ὁ	19.96	6
ἥλιος	4331	4336	n	ἥλιος	19.96	7
ἐκνεφίας	4337	4345	n	ἐκνεφία	19.96	7
καλεῖται	4346	4354	v	καλέω	19.96	7
.	4354	4355	u	.	19.96	7
ἔκνυξεν	4448	4455	v	κνύζω	19.96	8
ἐψόφει	4457	4463	v	ψοφέω	19.96	8
.	4463	4464	u	.	19.96	8
ὠνοματοπεποίηται	4465	4481	v	ὀνοματοπεποιέω	19.96	8
δὲ	4482	4484	d	δέ	19.96	8
ἀπὸ	4485	4488	r	ἀπό	19.96	8
τοῦ	4489	4492	l	ὁ	19.96	8
ψόφου	4493	4498	n	ψόφος	19.96	8
.	4498	4499	u	.	19.96	8
ἐκνὑμη	4592	4598	a	ἐκνύω	19.96	9
ἐξηπλωμένη	4601	4611	v	ἐξαπλέω	19.96	9
.	4611	4612	u	.	19.96	9
ἐκπεπληγμένον	4707	4720	v	ἐκπλήσσω	19.96	10
ἐκτετραμμένον	4723	4736	v	ἐκτρέπω	19.96	10
.	4736	4737	u	.	19.96	10
ἐκρήγμασιν	4832	4842	n	ἔκρηγμα	19.96	11
ἀποσχίσμασι	4844	4855	n	ἀπόσχισμα	19.96	11
ῥακῶν	4856	4861	n	ῥάκος	19.96	11
.	4861	4862	u	.	19.96	11
ἐκσυριγγοῦνται	4957	4971	v	ἐκσυριγγόομαι	19.96	12
ἀναστομοῦνται	4974	4987	v	ἀναστομέω	19.96	12
.	4987	4988	u	.	19.96	12
ἐκτομου	5083	5090	a	ἔκτομος	19.96	13
ἐλλεβορου	5093	5102	n	ἐλλέβορος	19.96	13
μέλανος	5103	5110	a	μέλας	19.96	13
.	5110	5111	u	.	19.96	13
ἔκτριψιν	5206	5214	n	ἔκτριψις	19.96	14
τὴν	5216	5219	l	ὁ	19.96	14
εἰς	5220	5223	r	εἰς	19.96	14
τὰ	5224	5226	l	ὁ	19.96	14
σπλάγχνα	5227	5235	n	σπλάγχνον	19.96	14
οὖσαν	5236	5241	v	εἰμί	19.96	14
παράλλαξιν	5242	5252	n	παράλλαξις	19.96	14
.	5252	5253	u	.	19.96	14
ἐκφινδάνει	5348	5358	v	ἐκφινδάνομαι	19.96	15
ἐξορμῶ	5360	5366	v	ἐξορμέω	19.96	15
.	5366	5367	u	.	19.96	15
ἐκβρασσει	5462	5471	v	ἐκβράσσω	19.96	16
οὕτω	5474	5478	d	οὕτως	19.96	16
δὲ	5479	5481	d	δέ	19.96	16
καὶ	5482	5485	c	καί	19.96	16
τὸ	5486	5488	l	ὁ	19.96	16
ἐκφλυει	5489	5496	v	ἐκφλύω	19.96	16
.	5496	5497	u	.	19.96	16
ἐκχύμωσις	5592	5601	n	ἐκχύμωσις	19.96	17
χυμῶν	5603	5608	n	χυμός	19.96	17
ἔκχυσις	5609	5616	n	ἔκχυσις	19.96	17
.	5616	5617	u	.	19.96	17
ἔλαιον	5744	5750	n	ἔλαιον	19.97	1
ῥόδινον	5751	5758	a	ῥόδινος	19.97	1
τὸ	5760	5762	l	ὁ	19.97	1
μὴ	5763	5765	d	μή	19.97	1
ἠρωματισμένον	5766	5779	v	ἀραματίζω	19.97	1
.	5779	5780	u	.	19.97	1
ἐλατήριον	5873	5882	a	ἐλατήριος	19.97	2
οὐ	5885	5887	d	οὐ	19.97	2
μόνον	5888	5893	a	μόνος	19.97	2
τὸ	5894	5896	l	ὁ	19.97	2
απὸ	5897	5900	a	ἀπό	19.97	2
τοῦ	5901	5904	l	ὁ	19.97	2
ἀγρίου	5905	5911	a	ἄγριος	19.97	2
σικύου	5912	5918	a	σικύον	19.97	2
γιγνόμενον	5919	5929	v	γίγνομαι	19.97	2
ἀλλὰ	6001	6005	d	ἀλλά	19.97	3
καὶ	6006	6009	d	καί	19.97	3
