orth	charde	charad	cat	lem	pag	linea
Ἡγκαιτρευται	449	461	v	Ἡγκαιτρεύτης	19.102	4
ἐγκαταπέπλεκται	464	479	v	ἐγκαταπλέκω	19.102	4
.	479	480	u	.	19.102	4
ἠγκυροβόληται	575	588	v	ἀγκυροβόλος	19.102	5
ἐγκαταπέφυκεν	591	604	v	ἐγκαταφαφύω	19.102	5
ἀγκύρα	605	611	a	ἄγκυρα	19.102	5
ὁμοίως	612	618	d	ὅμοιος	19.102	5
.	618	619	u	.	19.102	5
ἡδέ	714	717	p	ὅδε	19.102	6
ἔτι	719	722	d	ἔτι	19.102	6
δε	723	725	d	δέ	19.102	6
.	726	727	u	.	19.102	6
ἠδέλφισται	822	832	v	ἐδελφίζω	19.102	7
οἰκειῶται	835	844	v	οἰκειόω	19.102	7
.	844	845	u	.	19.102	7
ἡδυντὴν	940	947	a	ἡδυντής	19.102	8
πίσσαν	948	954	a	πίσσα	19.102	8
τὴν	956	959	l	ὁ	19.102	8
ἠρωματισμένην	960	973	v	ἀραματίζω	19.102	8
.	973	974	u	.	19.102	8
ἕψεται	975	981	v	ἕπομαι	19.102	8
δὲ	982	984	c	δέ	19.102	8
ὕδατι	985	990	n	ὕδωρ	19.102	8
καὶ	991	994	c	καί	19.102	8
ἀρώματι	1067	1074	n	ἄρωμα	19.102	9
.	1074	1075	u	.	19.102	9
ἠδυντὸν	1172	1179	a	ἠδυντός	19.102	10
στέαρ	1180	1185	n	στέαρ	19.102	10
τὸ	1188	1190	l	ὁ	19.102	10
ἐν	1191	1193	d	ἐν	19.102	10
ὕδατι	1194	1199	n	ὕδωρ	19.102	10
καὶ	1200	1203	d	καί	19.102	10
ἀρώμασι	1204	1211	n	ἄρωμα	19.102	10
ἑψηθὲν	1212	1218	v	ἑψῆς	19.102	10
καὶ	1219	1222	d	καί	19.102	10
τὰ	1223	1225	d	ὁ	19.102	10
αρώματα	1300	1307	n	ἄραμα	19.102	11
καὶ	1308	1311	c	καί	19.102	11
ηδυσματα	1312	1320	a	ἦσμα	19.102	11
.	1320	1321	u	.	19.102	11
ἡμίοπον	1418	1425	n	ἡμίοπος	19.102	12
ἥμισυ	1427	1432	p	ἥμισυς	19.102	12
.	1432	1433	u	.	19.102	12
ἡμιτύβιον	1530	1539	a	ἡμιτύβιον	19.102	13
ὀθονίου	1541	1548	a	ὀθόνιον	19.102	13
παχέος	1549	1555	a	παχύς	19.102	13
μέρος	1556	1561	n	μέρος	19.102	13
.	1561	1562	u	.	19.102	13
ηναι	1693	1697	v	ἤ	19.103	1
κόψαι	1700	1705	v	κόπτω	19.103	1
καὶ	1708	1711	d	καί	19.103	1
ἠνίων	1712	1717	v	ἠνίον	19.103	1
τῶν	1718	1721	l	ὁ	19.103	1
κεκομμένων	1722	1732	v	κόπτω	19.103	1
.	1732	1733	u	.	19.103	1
ἠοίας	1828	1833	n	ἠοῖος	19.103	2
τὰς	1836	1839	l	ὁ	19.103	2
πρωίας	1840	1846	n	πρωία	19.103	2
.	1846	1847	u	.	19.103	2
ἠραχνίωκεν	1942	1952	v	ἀραχνίων	19.103	3
λεπτοῖς	1955	1962	a	λεπτός	19.103	3
ἅμα	1963	1966	d	ἅμα	19.103	3
καὶ	1967	1970	d	καί	19.103	3
πολλοῖς	1971	1978	a	πολύς	19.103	3
φλεβίοις	1979	1987	a	φλέβιος	19.103	3
ὡσπερ	1990	1995	a	ὥσπερ	19.103	3
ἀράχνης	1996	2003	n	ἀράχνη	19.103	3
ὑφάσματα	2076	2084	n	ὕφασμα	19.103	4
διαπέπλωκε	2085	2095	v	διαπίλομαι	19.103	4
.	2095	2096	u	.	19.103	4
ἡρμάσθαι	2191	2199	v	ἁρμάζω	19.103	5
ἐρηρεῖσθαι	2201	2211	v	ἐρέω	19.103	5
ἢ	2212	2213	c	ἤ	19.103	5
ἡρμόσθαι	2214	2222	v	ἁρμόζω	19.103	5
.	2222	2223	u	.	19.103	5
ἤσας	2296	2300	v	εἰμί	19.103	6
ἡ	2302	2303	l	ὁ	19.103	6
θύτας	2304	2309	n	θύτης	19.103	6
.	2309	2310	u	.	19.103	6
