orth	charde	charad	cat	lem	pag	linea
Θαλερὸν	449	456	a	Θαλερός	19.103	7
πνεῦμα	457	463	n	πνεῦμα	19.103	7
θερμὸν	466	472	a	θερμός	19.103	7
ὡς	473	475	d	ὡς	19.103	7
ἀπὸ	476	479	r	ἀπό	19.103	7
ἡλίου	480	485	n	ἥλιος	19.103	7
παρὰ	488	492	r	παρά	19.103	7
γὰρ	493	496	d	γάρ	19.103	7
τὸ	497	499	n	ὁ	19.103	7
θ ́έρεσθαι	500	509	v	θέρος	19.103	7
γέγονε	582	588	v	γίγνομαι	19.103	8
τοὔνομα	589	596	n	ὄνομα	19.103	8
.	596	597	u	.	19.103	8
θέρετρον	692	700	n	θέρετρον	19.103	9
τόπος	702	707	n	τόπος	19.103	9
ἐνδιατρίβειν	708	720	v	ἐνδιατρίβω	19.103	9
θέρους	721	727	n	θέρος	19.103	9
ἐπιτήδειος	728	738	a	ἐπιτήδειος	19.103	9
ἔνιοι	741	746	a	ἔνιοι	19.103	9
δὲ	747	749	d	δέ	19.103	9
θέντρον	824	831	n	θέντρον	19.103	10
γράφουσι	832	840	v	γράφω	19.103	10
.	840	841	u	.	19.103	10
θημὡν	938	943	n	θημός	19.103	11
.	944	945	u	.	19.103	11
ὁ	946	947	l	ὁ	19.103	11
σωρός	948	953	n	σωρός	19.103	11
.	953	954	u	.	19.103	11
θηρίον	1051	1057	n	θηρίον	19.103	12
τήν	1059	1062	l	ὁ	19.103	12
τε	1063	1065	d	τε	19.103	12
ἕλμινθα	1066	1073	n	ἕλμινος	19.103	12
καὶ	1074	1077	d	καί	19.103	12
τὸ	1078	1080	l	ὁ	19.103	12
ἄγριον	1081	1087	a	ἄγριος	19.103	12
ἕλκος	1088	1093	n	ἕλκος	19.103	12
οὶς	1095	1098	p	ὅς	19.103	12
ἐν	1099	1101	r	ἐν	19.103	12
τῷ	1102	1104	l	ὁ	19.103	12
περὶ	1179	1183	r	περί	19.103	13
τόπων	1184	1189	n	τόπος	19.103	13
τῶν	1190	1193	l	ὁ	19.103	13
κατὰ	1194	1198	r	κατά	19.103	13
ἄνθρωπον	1199	1207	n	ἄνθρωπος	19.103	13
θηρίον	1210	1216	n	θηρίον	19.103	13
ἐπὶ	1217	1220	r	ἐπί	19.103	13
το	1221	1223	d	τοσότος	19.103	13
σῶμα	1224	1228	n	σῶμα	19.103	13
ἐπέρχεται	1303	1312	v	ἐπέρχομαι	19.103	14
διὰ	1313	1316	r	διά	19.103	14
τόδε	1317	1321	p	ὅδε	19.103	14
καὶ	1324	1327	d	καί	19.103	14
ὁπόταν	1328	1334	d	ὁπόταν	19.103	14
ἀφίκηται	1335	1343	v	ἀφικνέομαι	19.103	14
