orth	charde	charad	cat	lem	pag	linea
ἰδνοῦται	449	457	v	ἰδνόομαι	19.105	3
λοξοῦται	459	467	v	λοξόω	19.105	3
συνιζάνει	469	478	v	συνιζάνω	19.105	3
.	478	479	u	.	19.105	3
ἰθαγενὲς	574	582	a	ἰθαγενής	19.105	4
τὸ	584	586	l	ὁ	19.105	4
γνήσιον	587	594	a	γνήσιος	19.105	4
καθάπερ	596	603	a	καθά	19.105	4
φησὶν	604	609	v	φημί	19.105	4
ὁ	610	611	p	ὁ	19.105	4
σοφὸς	612	617	a	σοφός	19.105	4
ἀλλά	619	623	a	ἀλλά	19.105	4
με	624	626	p	ἐγώ	19.105	4
ἶστν	627	631	a	οἶδα	19.105	4
ἰθαγενέσιν	704	714	a	ἰθαγενής	19.105	5
ἐτίμα	715	720	v	τιμάω	19.105	5
.	720	721	u	.	19.105	5
.	722	723	u	.	19.105	5
ἴκταρ	928	933	r	ἵκταρ	19.105	6
ἐγγὺς	935	940	d	ἐγγύς	19.105	6
παρὰ	942	946	d	παρά	19.105	6
γοῦν	947	951	d	γοῦς	19.105	6
τοῖς	952	956	d	ὁ	19.105	6
Ἀττικοῖς	957	965	a	Ἀττικός	19.105	6
παρὰ	968	972	d	παρά	19.105	6
δὲ	973	975	d	δέ	19.105	6
τῷ	976	978	l	ὁ	19.105	6
Ἰπποκραιει	1051	1061	a	Ἰπποκραίος	19.105	7
ἐν	1062	1064	d	ἐν	19.105	7
δευτέρῳ	1065	1072	a	δεύτερος	19.105	7
τῶν	1073	1076	l	ὁ	19.105	7
γυναικείων	1077	1087	a	γυναικεῖος	19.105	7
τὸ	1088	1090	l	ὁ	19.105	7
τῆς	1091	1094	l	ὁ	19.105	7
γυναικὸς	1095	1103	n	γυνή	19.105	7
αἰδοῖον	1176	1183	a	αἰδοῖος	19.105	8
καλεῖται	1184	1192	v	καλέω	19.105	8
.	1192	1193	u	.	19.105	8
ὶλλαίνειν	1288	1297	v	ἱλλαίνω	19.105	9
διαστρέφειν	1300	1311	v	διαστρέφω	19.105	9
τούς	1312	1316	l	ὁ	19.105	9
ὀφθαλμούς	1317	1326	n	ὀφθαλμός	19.105	9
.	1326	1327	u	.	19.105	9
ἱμερωθεῖσαι	1424	1435	v	ἱμερόω	19.105	10
ἀνδρὶ	1438	1443	n	ἀνήρ	19.105	10
μιγεῖσαι	1444	1452	v	μίγνυμι	19.105	10
ἀντὶ	1454	1458	v	ἀντί	19.105	10
τοῦ	1459	1462	l	ὁ	19.105	10
τῆς	1463	1466	l	ὁ	19.105	10
ἐπιθυμίας	1467	1476	n	ἐπιθυμία	19.105	10
