orth	charde	charad	cat	lem	pag	linea
Καθαπτόμενοι	449	461	v	Καθάπτω	19.107	5
αἰσθανόμενοι	463	475	v	αἰσθάνομαι	19.107	5
σφοδρῶς	476	483	d	σφοδρός	19.107	5
.	483	484	u	.	19.107	5
καθετῆρι	579	587	n	καθετήρ	19.107	6
τῷ	590	592	l	ὁ	19.107	6
στρεπτῷ	593	600	a	στρεπτός	19.107	6
μοταρίῳ	601	608	n	μοτάριον	19.107	6
ἀπὸ	609	612	r	ἀπό	19.107	6
τοῦ	613	616	a	ὁ	19.107	6
καθίεσθαι	617	626	v	καθίημι	19.107	6
ἐν	628	630	d	ἐν	19.107	6
δευτέρῳ	703	710	a	δεύτερος	19.107	7
γυναικείων	711	721	a	γυναικεῖος	19.107	7
μοτοῦν	723	729	a	μοτόω	19.107	7
ωμολίνων	730	738	n	ὠλίνω	19.107	7
καθετῆρι	739	747	n	καθετήρ	19.107	7
.	747	748	u	.	19.107	7
κακαγγελίη	843	853	n	κακαγγελία	19.107	8
κακορημοσύνη	856	868	n	κακορημοσύνη	19.107	8
κακολογία	871	880	n	κακολογία	19.107	8
.	880	881	u	.	19.107	8
κακοὴθεα	976	984	a	κακοήθεος	19.107	9
κακοήθη	987	994	a	κακοήθης	19.107	9
.	994	995	u	.	19.107	9
κακοσινώτατα	1092	1104	a	κακόσινος	19.107	10
ἐπιβλαβέστατα	1106	1119	a	ἐπιβλαβής	19.107	10
.	1119	1120	u	.	19.107	10
.	1123	1124	u	.	19.107	10
.	1124	1125	u	.	19.107	10
καλλίφυτον	1222	1232	a	καλλίφυτος	19.107	11
ὅπερ	1235	1239	p	ὅσπερ	19.107	11
καὶ	1240	1243	c	καί	19.107	11
καλλίτριχον	1244	1255	a	καλλίτριχος	19.107	11
καὶ	1256	1259	c	καί	19.107	11
ἀδίαντον	1260	1268	a	ἀδίαντος	19.107	11
ὀνομάζεται	1269	1279	v	ὀνομάζω	19.107	11
.	1279	1280	u	.	19.107	11
καλλιωνύμου	1355	1366	a	καλλιώνυμος	19.107	12
ἰχθύος	1368	1374	n	ἰχθύς	19.107	12
τινὸς	1375	1380	p	τις	19.107	12
οὕτως	1381	1386	d	οὕτως	19.107	12
ὀνομαζομένου	1387	1399	v	ὀνομάζω	19.107	12
.	1399	1400	u	.	19.107	12
κάμμορον	1497	1505	a	κάμμορος	19.107	13
το	1508	1510	p	τοστός	19.107	13
