orth	charde	charad	cat	lem	pag	linea
Λαβή	451	455	n	Λαβή	19.116	17
ἐπισημασία	458	468	n	ἐπισημασία	19.116	17
μάλιστα	471	478	d	μάλιστα	19.116	17
δἐ	479	481	r	δέ	19.116	17
ἡ	482	483	n	ὁ	19.116	17
ἐκ	484	486	r	ἐκ	19.116	17
περιόδου	487	495	n	περίοδος	19.116	17
.	495	496	u	.	19.116	17
λαγνείη	627	634	v	λάγνυμι	19.117	1
δηλοῖ	636	641	v	δηλόω	19.117	1
ποτε	642	646	d	ποτέ	19.117	1
καὶ	647	650	d	καί	19.117	1
αυτδ΄	651	656	d	NUM	19.117	1
το	657	659	d	τότε	19.117	1
σπέρμα	660	666	n	σπέρμα	19.117	1
ὡς	668	670	d	ὡς	19.117	1
ἐν	671	673	r	ἐν	19.117	1
τῷ	674	676	d	ὁ	19.117	1
περι	677	681	n	περί	19.117	1
παίδων	754	760	n	παῖς	19.117	2
φύσεως	761	767	n	φύσις	19.117	2
οὕτως	770	775	d	οὕτως	19.117	2
δἐ	776	778	d	δέ	19.117	2
καὶ	779	782	d	καί	19.117	2
τὸ	783	785	l	ὁ	19.117	2
λάγνευμα	786	794	n	λάγνευμα	19.117	2
.	794	795	u	.	19.117	2
λαγώπυρος	890	899	a	λαγώπυρος	19.117	3
ἡ	901	902	l	ὁ	19.117	3
λαγονάτη	903	911	n	λαγονάτης	19.117	3
καλουμένη	912	921	v	καλέω	19.117	3
βοτάνη	922	928	n	βοτάνη	19.117	3
.	928	929	u	.	19.117	3
λαμπτήρ	1024	1031	n	λαμπτήρ	19.117	4
ὅν	1033	1035	p	ὅς	19.117	4
οἱ	1036	1038	p	ὁ	19.117	4
πολλοὶ	1039	1045	a	πολύς	19.117	4
φανὸν	1046	1051	a	φανός	19.117	4
ὸνομάζουσιν	1052	1063	v	ὀνομάζω	19.117	4
ἐν	1065	1067	d	ἐν	19.117	4
τῷ	1068	1070	p	ὁ	19.117	4
δευτέρῳ	1071	1078	a	δεύτερος	19.117	4
περὶ	1151	1155	d	περί	19.117	5
νούσων	1156	1162	a	νοῦσος	19.117	5
τῷ	1163	1165	p	ὁ	19.117	5
μείζονι	1166	1173	a	μέγας	19.117	5
παρὰ	1176	1180	d	παρά	19.117	5
μέντοι	1181	1187	d	μέντοι	19.117	5
τοῖς	1188	1192	l	ὁ	19.117	5
ἄλλοις	1193	1199	p	ἄλλος	19.117	5
καὶ	1200	1203	d	καί	19.117	5
μαλισια	1204	1211	a	μαλισία	19.117	5
τοῖς	1284	1288	l	ὁ	19.117	6
Ἀττικοῖς	1289	1297	a	Ἀττικός	19.117	6
ἐν	1299	1301	d	ἐν	19.117	6
ῷ	1302	1303	p	ὁ	19.117	6
ξύλα	1304	1308	n	ξύλον	19.117	6
τε	1309	1311	d	τε	19.117	6
κατεκαίετο	1312	1322	v	κατακαίω	19.117	6
παρέξοντα	1323	1332	v	παρέχω	19.117	6
φῶς	1405	1408	n	φάος	19.117	7
ἀλλὰ	1410	1414	d	ἀλλά	19.117	7
καὶ	1415	1418	d	καί	19.117	7
ὁ	1419	1420	l	ὁ	19.117	7
δάδος	1421	1426	n	δάδος	19.117	7
καὶ	1427	1430	d	καί	19.117	7
ὁ	1431	1432	l	ὁ	19.117	7
λύχνος	1433	1439	n	λύχνος	19.117	7
ἐστὶν	1440	1445	v	εἰμί	19.117	7
ὅ	1446	1447	p	ὅς	19.117	7
τε	1448	1450	d	τε	19.117	7
λ	1451	1452	p	λ	19.117	7
.	1452	1453	u	.	19.117	7
αμπτὴρ	1453	1459	n	ἀμπτήρ	19.117	7
ὀνομάζεται	1532	1542	v	ὀνομάζω	19.117	8
.	1542	1543	u	.	19.117	8
λαπαχθῆναι	1638	1648	v	λαπάζω	19.117	9
κυρίως	1650	1656	d	κυρίως	19.117	9
μὲν	1657	1660	d	μέν	19.117	9
τὸ	1661	1663	l	ὁ	19.117	9
κενωθῆναι	1664	1673	v	κενόω	19.117	9
διὰ	1675	1678	d	διά	19.117	9
τοῦτο	1679	1684	p	οὗτος	19.117	9
δὲ	1685	1687	d	δέ	19.117	9
καὶ	1688	1691	d	καί	19.117	9
τὸ	1766	1768	l	ὁ	19.117	10
μαλαχθῆναι	1769	1779	v	μαλάσσω	19.117	10
.	1779	1780	u	.	19.117	10
λαμπηρά	1877	1884	a	λαμπηρός	19.117	11
τὰ	1887	1889	l	ὁ	19.117	11
ἀφρωδη	1890	1896	a	ἀφρωδή	19.117	11
λαμπει	1899	1905	n	λαμπάς	19.117	11
γὰρ	1906	1909	d	γάρ	19.117	11
ὁ	1910	1911	l	ὁ	19.117	11
ἀφρός	1912	1917	n	ἀφρός	19.117	11
.	1917	1918	u	.	19.117	11
λάσιον	2015	2021	a	λάσιος	19.117	12
σινδόνην	2024	2032	n	σινδόνη	19.117	12
.	2032	2033	u	.	19.117	12
λεβηρίδα	2130	2138	n	λεβηρίς	19.117	13
τὸ	2140	2142	l	ὁ	19.117	13
τοῦ	2143	2146	l	ὁ	19.117	13
ὄφεως	2147	2152	n	ὄφις	19.117	13
γῆρας	2153	2158	n	γῆρας	19.117	13
.	2158	2159	u	.	19.117	13
ἔνιοι	2160	2165	a	ἔνιοι	19.117	13
δὲ	2166	2168	c	δέ	19.117	13
κόγχην	2169	2175	n	κόγχη	19.117	13
κενήν	2176	2181	a	κενός	19.117	13
.	2181	2182	u	.	19.117	13
λέγνα	2279	2284	n	λέγνον	19.117	14
τὰ	2286	2288	l	ὁ	19.117	14
ἄκρεα	2289	2294	n	ἄκρος	19.117	14
τοῦ	2295	2298	l	ὁ	19.117	14
στομίου	2299	2306	n	στόμιον	19.117	14
τῆς	2307	2310	l	ὁ	19.117	14
ὑστέρας	2311	2318	a	ὕστερος	19.117	14
ἐκ	2319	2321	r	ἐκ	19.117	14
μεταφορᾶς	2322	2331	n	μεταφορά	19.117	14
οὕτως	2408	2413	d	οὕτως	19.117	15
γὰρ	2414	2417	d	γάρ	19.117	15
τὰ	2418	2420	l	ὁ	19.117	15
περὶ	2421	2425	r	περί	19.117	15
τὰς	2426	2429	l	ὁ	19.117	15
ὦας	2430	2433	n	ὦς	19.117	15
καλεῖται	2434	2442	v	καλέω	19.117	15
τῶν	2443	2446	l	ὁ	19.117	15
ἱματίων	2447	2454	n	ἱμάτιον	19.117	15
ὀνομάζει	2457	2465	v	ὀνομάζω	19.117	15
δἐ	2540	2542	v	δέος	19.117	16
ἀλλαχόθεν	2543	2552	v	ἀλλαχόθεν	19.117	16
τὰ	2553	2555	l	ὁ	19.117	16
ἄκρεα	2556	2561	a	ἄκρος	19.117	16
ταῦτα	2562	2567	p	οὗτος	19.117	16
καὶ	2568	2571	d	καί	19.117	16
ὰμφίδεα	2572	2579	a	ἄμφιδος	19.117	16
.	2579	2580	u	.	19.117	16
λέκιθον	2677	2684	v	λέκιθος	19.117	17
φακῶν	2687	2692	n	φακός	19.117	17
τὸ	2693	2695	l	ὁ	19.117	17
ἔνδον	2696	2701	d	ἔνδον	19.117	17
τοῦ	2702	2705	l	ὁ	19.117	17
λέπους	2706	2712	n	λέπος	19.117	17
.	2712	2713	u	.	19.117	17
λεπάδες	2844	2851	n	λεπάς	19.118	1
αἱ	2854	2856	l	ὁ	19.118	1
ταῖς	2857	2861	l	ὁ	19.118	1
πέτραις	2862	2869	n	πέτρα	19.118	1
προσεχόμεναι	2870	2882	v	προσέχω	19.118	1
κόγχαι	2883	2889	n	κόγχη	19.118	1
.	2889	2890	u	.	19.118	1
λεπτά	2985	2990	a	λεπτός	19.118	2
οὕτως	2992	2997	d	οὕτως	19.118	2
ἐνίοτε	2998	3004	d	ἐνίοτε	19.118	2
καλεῖ	3005	3010	v	καλέω	19.118	2
τὰ	3011	3013	l	ὁ	19.118	2
ἀραιὰ	3014	3019	a	ἀραιός	19.118	2
ὡς	3021	3023	d	ὡς	19.118	2
ἐν	3024	3026	r	ἐν	19.118	2
τῷ	3027	3029	d	ὁ	19.118	2
περὶ	3030	3034	r	περί	19.118	2
τόπων	3035	3040	n	τόπος	19.118	2
τῶν	3113	3116	l	ὁ	19.118	3
κατ	3117	3120	r	κατά	19.118	3
ἄνθρωπον	3123	3131	n	ἄνθρωπος	19.118	3
.	3131	3132	u	.	19.118	3
λευκὴν	3227	3233	a	λευκός	19.118	4
ῥίζαν	3234	3239	n	ῥίζα	19.118	4
.	3240	3241	u	.	19.118	4
τὴν	3243	3246	l	ὁ	19.118	4
τοῦ	3247	3250	l	ὁ	19.118	4
δρακοντίου	3251	3261	a	δρακόντιος	19.118	4
.	3261	3262	u	.	19.118	4
λευκοίου	3357	3365	n	λευκός	19.118	5
καρπόν	3366	3372	n	καρπός	19.118	5
.	3372	3373	u	.	19.118	5
τὸ	3375	3377	l	ὁ	19.118	5
τοῦ	3378	3381	l	ὁ	19.118	5
ἰοῦ	3382	3385	a	ἰός	19.118	5
λευκοῦ	3386	3392	a	λευκός	19.118	5
σπέρμα	3393	3399	n	σπέρμα	19.118	5
φησὶν	3400	3405	v	φημί	19.118	5
οὕτως	3406	3411	d	οὕτως	19.118	5
εἰρῆσθαι	3484	3492	v	ἐρῶ	19.118	6
ὁ	3493	3494	l	ὁ	19.118	6
Διοσκουρίδης	3495	3507	n	Διοσκουρίδης	19.118	6
.	3507	3508	u	.	19.118	6
λεώς	3603	3607	n	λαός	19.118	7
τ	3608	3609	d	τε	19.118	7
παντελῶς	3610	3618	d	παντελής	19.118	7
ἅπαν	3620	3624	a	ἅπας	19.118	7
.	3624	3625	u	.	19.118	7
λιβανωτοῦ	3720	3729	n	λιβανωτός	19.118	8
καρπόν	3730	3736	n	καρπός	19.118	8
.	3736	3737	u	.	19.118	8
αὐτὸν	3739	3744	p	αὐτός	19.118	8
ἴσως	3745	3749	d	ἴσως	19.118	8
τὸν	3750	3753	l	ὁ	19.118	8
ὀνομαζόμενον	3754	3766	v	ὀνομάζω	19.118	8
οὕτως	3767	3772	d	οὕτως	19.118	8
λιβανωτὸν	3773	3782	n	λιβανωτός	19.118	8
ἐπεὶ	3856	3860	d	ἐπεί	19.118	9
τό	3861	3863	l	ὁ	19.118	9
γε	3864	3866	d	γε	19.118	9
σπέρμα	3867	3873	n	σπέρμα	19.118	9
τοῦ	3874	3877	l	ὁ	19.118	9
φυτοῦ	3878	3883	n	φυτόν	19.118	9
οὐ	3884	3886	d	οὐ	19.118	9
γινὡσκομεν	3887	3897	v	γιγνώσκω	19.118	9
εἰς	3898	3901	v	εἰς	19.118	9
χρῆσιν	3976	3982	n	χρῆσις	19.118	10
αγόμενον	3983	3991	v	ἄγω	19.118	10
.	3991	3992	u	.	19.118	10
λιβηρῷ	4180	4186	a	λιβηρός	19.118	11
.	4187	4188	u	.	19.118	11
ὑγρῷ	4190	4194	a	ὑγρός	19.118	11
.	4194	4195	u	.	19.118	11
λίβος	4292	4297	n	λίβος	19.118	12
.	4298	4299	u	.	19.118	12
ἐπίσταγμά	4301	4310	n	ἐπίσταγμα	19.118	12
τι	4311	4313	p	τις	19.118	12
τῶν	4314	4317	l	ὁ	19.118	12
ὀμμάτων	4318	4325	n	ὄμμα	19.118	12
ἐγχυματιζόμενον	4326	4341	v	ἐγχυματίζω	19.118	12
γέγονε	4343	4349	v	γίγνομαι	19.118	12
δὲ	4424	4426	d	δέ	19.118	13
απὸ	4427	4430	p	ἀπό	19.118	13
τοῦ	4431	4434	l	ὁ	19.118	13
λίβειν	4435	4441	v	λίβος	19.118	13
ὅ	4443	4444	p	ὅς	19.118	13
κυρίως	4445	4451	v	κυρίως	19.118	13
δοκεῖ	4452	4457	v	δοκέω	19.118	13
τὸ	4458	4460	l	ὁ	19.118	13
στάζειν	4461	4468	v	στάζω	19.118	13
δηλοῦν	4469	4475	v	δηλόω	19.118	13
.	4475	4476	u	.	19.118	13
λιγνυωδης	4573	4582	a	λιγνυώδης	19.118	14
.	4582	4583	u	.	19.118	14
ἡ	4585	4586	l	ὁ	19.118	14
