orth	charde	charad	cat	lem	pag	linea
παγίδα	451	457	n	παγίς	19.119	11
.	458	459	u	.	19.119	11
τό	461	463	l	ὁ	19.119	11
τε	464	466	d	τε	19.119	11
οἶον	467	471	a	οἶος	19.119	11
μάγμα	472	477	n	μάγμα	19.119	11
καὶ	478	481	d	καί	19.119	11
φύραμα	482	488	n	φύραμα	19.119	11
καὶ	489	492	d	καί	19.119	11
τὴν	493	496	l	ὁ	19.119	11
χειροπληθῆ	497	507	a	χειροπληθής	19.119	11
μαγδαλιαν	582	591	a	μαγδαλία	19.119	12
.	591	592	u	.	19.119	12
μακρόπνους	689	699	a	μάκροπνος	19.119	13
.	700	701	u	.	19.119	13
ἤτοι	703	707	d	ἤτοι	19.119	13
μακρὸν	708	714	a	μακρός	19.119	13
ἀναπνέων	715	723	a	ἀναπνέω	19.119	13
ἢ	724	725	d	ἤ	19.119	13
διὰ	726	729	r	διά	19.119	13
μακροῦ	730	736	a	μακρός	19.119	13
.	736	737	u	.	19.119	13
μαλακίοισιν	834	845	a	μαλάκιον	19.119	14
τ	846	847	c	τέτνω	19.119	14
οὕτως	848	853	d	οὕτως	19.119	14
καλεῖται	854	862	v	καλέω	19.119	14
ὅσα	863	866	a	ὅσος	19.119	14
τῶν	867	870	p	ὁ	19.119	14
ἐνύδρων	871	878	a	ἔνυδρος	19.119	14
ἄκανθαν	879	886	a	ἄκανθα	19.119	14
ουκ	887	890	d	οὐ	19.119	14
ἔχει	965	969	v	ἔχω	19.119	15
καθάπερ	972	979	d	καθά	19.119	15
ὁ	980	981	d	ὁ	19.119	15
πολύπους	982	990	a	πόλυπος	19.119	15
καὶ	991	994	d	καί	19.119	15
τευθὶς	995	1001	a	τευθίς	19.119	15
καὶ	1002	1005	d	καί	19.119	15
σηπία	1006	1011	n	σηπίον	19.119	15
καὶ	1012	1015	c	καί	19.119	15
ἀκαλήφη	1090	1097	a	ἀκαλήφη	19.119	16
ταῦτα	1100	1105	a	οὗτος	19.119	16
δὲ	1106	1108	c	δέ	19.119	16
καὶ	1109	1112	c	καί	19.119	16
ἄναιμα	1113	1119	a	ἄναιμα	19.119	16
καὶ	1120	1123	c	καί	19.119	16
ἄσπλαγχνά	1124	1133	a	ἄσπλαγχνος	19.119	16
ἐστι	1134	1138	v	εἰμί	19.119	16
.	1138	1139	u	.	19.119	16
μαλθώδεα	1270	1278	a	μαλθώδης	19.120	1
.	1278	1279	u	.	19.120	1
μαλακτικὰ	1281	1290	a	μαλακτικός	19.120	1
ἢ	1291	1292	d	ἤ	19.120	1
κηρώδη	1293	1299	n	κηρώδης	19.120	1
μάλθη	1302	1307	n	μάλα	19.120	1
γὰρ	1308	1311	d	γάρ	19.120	1
ὀ	1312	1313	d	οὐ	19.120	1
κηρὸς	1314	1319	n	κηρός	19.120	1
κατ	1320	1323	d	κατά	19.120	1
μάλιστα	1396	1403	d	μάλιστα	19.120	2
ὁ	1404	1405	d	ὁ	19.120	2
μεμαλαγμένος	1406	1418	v	μαλάσσω	19.120	2
.	1418	1419	u	.	19.120	2
μαρίλης	1514	1521	n	μαρίλος	19.120	3
ἢν	1522	1524	c	ἐάν	19.120	3
οἰ	1525	1527	p	ὁ	19.120	3
πολλοὶ	1528	1534	a	πολύς	19.120	3
θερμοσποδιὰν	1535	1547	n	θερμοσποδιά	19.120	3
ὀνομάζουσιν	1548	1559	v	ὀνομάζω	19.120	3
.	1559	1560	u	.	19.120	3
μάσθλης	1655	1662	n	μάσθλη	19.120	4
.	1663	1664	u	.	19.120	4
θέρμης	1666	1672	n	θέρμη	19.120	4
.	1672	1673	u	.	19.120	4
μάσσειν	1768	1775	v	μάσσων	19.120	5
.	1776	1777	u	.	19.120	5
οὐ	1779	1781	d	οὐ	19.120	5
μόνον	1782	1787	a	μόνος	19.120	5
τὸ	1788	1790	l	ὁ	19.120	5
ὰναδεύειν	1791	1800	v	ἀναδεύω	19.120	5
ἢ	1801	1802	d	ἤ	19.120	5
φυρῆν	1803	1808	n	φυρή	19.120	5
ὰλλὰ	1810	1814	d	ἄλλος	19.120	5
καὶ	1815	1818	d	καί	19.120	5
τὸ	1819	1821	l	ὁ	19.120	5
ἐκθλίβειν	1822	1831	v	ἐκθλίβω	19.120	5
ὡς	1905	1907	d	ὡς	19.120	6
ἐν	1908	1910	r	ἐν	19.120	6
τῷ	1911	1913	d	ὁ	19.120	6
πρώτῳ	1914	1919	a	πρῶτος	19.120	6
περὶ	1920	1924	r	περί	19.120	6
νούσων	1925	1931	n	νοῦσος	19.120	6
τῶ	1932	1934	d	ὁ	19.120	6
μείζονι	1935	1942	a	μέγας	19.120	6
.	1942	1943	u	.	19.120	6
μᾶσσον	2038	2044	a	μάσσων	19.120	7
.	2045	2046	u	.	19.120	7
πλέον	2048	2053	a	πλείων	19.120	7
ὡς	2055	2057	d	ὡς	19.120	7
ἐν	2058	2060	r	ἐν	19.120	7
τῷ	2061	2063	d	ὁ	19.120	7
μείζονι	2064	2071	a	μέγας	19.120	7
προρρητικῷ	2072	2082	a	προρρητικός	19.120	7
.	2082	2083	u	.	19.120	7
μάτος	2178	2183	n	μάτος	19.120	8
ἡ	2185	2186	l	ὁ	19.120	8
ζήτησις	2187	2194	n	ζήτησις	19.120	8
καὶ	2195	2198	d	καί	19.120	8
τὸ	2199	2201	l	ὁ	19.120	8
ζητεῖν	2202	2208	v	ζητέω	19.120	8
ματιιται	2210	2218	a	ματίομαι	19.120	8
ἢ	2219	2220	c	ἤ	19.120	8
ματεῖσθαι	2221	2230	v	ματέομαι	19.120	8
.	2230	2231	u	.	19.120	8
μαχαιρίδι	2326	2335	n	μαχαιρίς	19.120	9
ὸξυβελεῖ	2336	2344	a	ὀξυβελής	19.120	9
τῷ	2346	2348	p	ὁ	19.120	9
φλεβοτόμῳ	2349	2358	a	φλεβότομος	19.120	9
.	2358	2359	u	.	19.120	9
μαχαιρίδι	2456	2465	n	μαχαιρίς	19.120	10
στηθοειδεῖ	2466	2476	a	στηθοειδής	19.120	10
τῷ	2478	2480	a	ὁ	19.120	10
σμιλίῳ	2481	2487	a	σμίλιος	19.120	10
ἰατρικῷ	2488	2495	a	ἰατρικός	19.120	10
γασιρωδει	2496	2505	a	γασιρωδέω	19.120	10
.	2505	2506	u	.	19.120	10
μέλαιναι	2603	2611	a	μέλας	19.120	11
λέγεταί	2612	2619	v	λέγω	19.120	11
τε	2620	2622	d	τε	19.120	11
καὶ	2623	2626	d	καί	19.120	11
ἠ	2627	2628	a	ἤ	19.120	11
νόσος	2629	2634	n	νόσος	19.120	11
οὕτως	2635	2640	d	οὕτως	19.120	11
ὰπὸ	2641	2644	d	ἀπό	19.120	11
μελαίνης	2645	2653	n	μέλας	19.120	11
χολῆς	2654	2659	n	χολή	19.120	11
συνισταμένη	2734	2745	v	συνίστημι	19.120	12
.	2745	2746	u	.	19.120	12
μέλαιναν	2843	2851	n	μέλας	19.120	13
ῥίζαν	2852	2857	n	ῥίζα	19.120	13
.	2858	2859	u	.	19.120	13
τὴν	2861	2864	l	ὁ	19.120	13
τοῦ	2865	2868	l	ὁ	19.120	13
ὰσπαλάθου	2869	2878	n	ἅσπαλος	19.120	13
τοῦ	2879	2882	l	ὁ	19.120	13
ἀρωματικοῦ	2883	2893	a	ἀρωματικός	19.120	13
καλουμένου	2894	2904	v	καλέω	19.120	13
.	2904	2905	u	.	19.120	13
μελαῖνις	3088	3096	a	μελαίνιον	19.120	15
.	3096	3097	u	.	19.120	15
περισπωμένως	3099	3111	d	περισπωμένως	19.120	15
ὁ	3112	3113	l	ὁ	19.120	15
Διοσκουρίδης	3114	3126	n	Διοσκουρίδαι	19.120	15
ἀναγινώσκειν	3127	3139	v	ἀναγιγνώσκω	19.120	15
ἀξιοῖ	3140	3145	v	ἀξιόω	19.120	15
μελαῖνις	3221	3229	n	μελαῖνις	19.120	16
αἶξ	3230	3233	n	αἶξις	19.120	16
καὶ	3234	3237	d	καί	19.120	16
βοῦς	3238	3242	n	βοῦς	19.120	16
μελαῖνις	3243	3251	n	μελαῖνις	19.120	16
καὶ	3254	3257	d	καί	19.120	16
δηλοῦσθαί	3258	3267	v	δηλόω	19.120	16
φησι	3268	3272	v	φημί	19.120	16
τὴν	3273	3276	n	ὁ	19.120	16
ἐκ	3351	3353	n	ἐκ	19.120	17
Μελαινῶν	3354	3362	n	Μελαινός	19.120	17
πόλις	3365	3370	n	πόλις	19.120	17
δὲ	3371	3373	d	δέ	19.120	17
αὕτη	3374	3378	a	οὗτος	19.120	17
κατὰ	3379	3383	n	κατά	19.120	17
τὸ	3384	3386	a	ὁ	19.120	17
Κρισαῖον	3387	3395	a	Κρισαῖος	19.120	17
πεδίον	3396	3402	n	πεδίον	19.120	17
προκειμενη	3533	3543	a	πρόκειμαι	19.121	1
τῳ	3544	3546	a	τις	19.121	1
Κριφιῳ	3547	3553	n	Κριφίος	19.121	1
νομας	3554	3559	n	νομάς	19.121	1
αγαθας	3560	3566	n	ἀγαθός	19.121	1
εχουσα	3567	3573	v	ἔχω	19.121	1
και	3574	3577	d	καί	19.121	1
ευγαλάκτους	3578	3589	a	εὐγάλακτος	19.121	1
ὥς	3663	3665	d	ὡς	19.121	2
φησιν	3666	3671	v	φημί	19.121	2
ὁ	3672	3673	n	ὁ	19.121	2
Διοσκουρίδης	3674	3686	a	Διοσκουρίδης	19.121	2
μελάνεον	3782	3790	a	μελάνεος	19.121	3
.	3791	3792	u	.	19.121	3
τὸ	3794	3796	l	ὁ	19.121	3
ἐν	3797	3799	r	ἐν	19.121	3
τῷ	3800	3802	l	ὁ	19.121	3
προγνωστικῷ	3803	3814	a	νρογνωστικός	19.121	3
τινἐς	3817	3822	p	τις	19.121	3
μὲν	3823	3826	d	μέν	19.121	3
ὑφ	3827	3829	p	ὑπό	19.121	3
ἕν	3831	3833	a	εἷς	19.121	3
ἀναγινώσκουσιν	3834	3848	v	ἀναγιγνώσκω	19.121	3
ιν	3922	3924	p	πάσχω	19.121	4
ἦ	3926	3927	d	ἦ	19.121	4
τὸ	3928	3930	l	ὁ	19.121	4
μελανοῦν	3931	3939	a	μελανόω	19.121	4
ἔνιοι	3941	3946	a	ἔνιοι	19.121	4
δὲ	3947	3949	d	δέ	19.121	4
διαιροῦσι	3950	3959	v	διαιρέω	19.121	4
χλωρὸν	3961	3967	a	χλωρός	19.121	4
ἡ	4040	4041	p	ὁ	19.121	5
μέλαν	4042	4047	a	μέλας	19.121	5
ἐὸν	4048	4051	v	εἰμί	19.121	5
ἀντὶ	4052	4056	r	ἀντί	19.121	5
τοῦ	4057	4060	p	ὁ	19.121	5
ὄν	4061	4063	v	εἰμί	19.121	5
.	4063	4064	u	.	19.121	5
μέλανι	4159	4165	a	μέλας	19.121	6
φαρμάκῳ	4166	4173	n	φάρμακον	19.121	6
.	4174	4175	u	.	19.121	6
τοῦτο	4177	4182	p	οὗτος	19.121	6
πῶς	4183	4186	d	πῶς	19.121	6
σκευάζεται	4187	4197	v	σκευάζω	19.121	6
