orth	charde	charad	cat	lem	pag	linea
Ναυσιώσιες	449	459	n	Ναυσίωσις	19.124	6
.	460	461	u	.	19.124	6
αἱ	463	465	l	ὁ	19.124	6
παρεκχύσεις	466	477	n	παρέκχυσις	19.124	6
τοῦ	478	481	l	ὁ	19.124	6
αῖματος	482	489	n	αἷμα	19.124	6
ἂς	491	493	d	ἄις	19.124	6
δὴ	494	496	d	δή	19.124	6
καὶ	497	500	d	καί	19.124	6
ἐκχυμώσεις	501	511	n	ἐκχύμωσις	19.124	6
ὀνομάζει	584	592	v	ὀνομάζω	19.124	7
.	592	593	u	.	19.124	7
μετενήνεγκται	594	607	v	μεταφέρω	19.124	7
δὲ	608	610	d	δέ	19.124	7
ἀπὸ	611	614	r	ἀπό	19.124	7
τῶν	615	618	l	ὁ	19.124	7
ἐπὶ	619	622	r	ἐπί	19.124	7
ταῖς	623	627	l	ὁ	19.124	7
ναυτίαις	700	708	n	ναυτία	19.124	8
ἐμούντων	709	717	v	ἐμέω	19.124	8
αἶμα	718	722	n	αἶμα	19.124	8
τοὔνομα	723	730	n	ὄνομα	19.124	8
.	730	731	u	.	19.124	8
νεῖον	826	831	v	νέιος	19.124	9
.	832	833	u	.	19.124	9
τὸ	835	837	l	ὁ	19.124	9
νεόν	838	842	a	νεός	19.124	9
.	842	843	u	.	19.124	9
νεόμενον	940	948	v	νέομαι	19.124	10
.	948	949	u	.	19.124	10
τὸ	951	953	l	ὁ	19.124	10
νηχόμενον	954	963	v	νήχω	19.124	10
παραγινόμενον	965	978	v	παραγίγνομαι	19.124	10
ἀπὸ	979	982	r	ἀπό	19.124	10
τοῦ	983	986	l	ὁ	19.124	10
νεῖσθαι	987	994	v	νέομαι	19.124	10
ἐν	996	998	d	ἐν	19.124	10
πρώτῳ	1073	1078	a	πρῶτος	19.124	11
τῶν	1079	1082	l	ὁ	19.124	11
γυναικείων	1083	1093	a	γυναικεῖος	19.124	11
ἄμφω	1094	1098	d	ἄμφω	19.124	11
τὸ	1100	1102	l	ὁ	19.124	11
μὲν	1103	1106	d	μέν	19.124	11
ἐπὶ	1107	1110	r	ἐπί	19.124	11
τοῦ	1111	1114	l	ὁ	19.124	11
χορίου	1115	1121	n	χορίον	19.124	11
τὸ	1123	1125	l	ὁ	19.124	11
δὲ	1200	1202	d	δέ	19.124	12
ἐπὶ	1203	1206	r	ἐπί	19.124	12
τοῦ	1207	1210	l	ὁ	19.124	12
ἐμβρυου	1211	1218	a	ἐμβρύς	19.124	12
.	1218	1219	u	.	19.124	12
νηπέλει	1316	1323	n	νηπέλη	19.124	13
.	1323	1324	u	.	19.124	13
ἀδυνατεῖ	1326	1334	v	ἀδυνατέω	19.124	13
.	1334	1335	u	.	19.124	13
νυκτάλωπες	1432	1442	n	νυκτάλωψ	19.124	14
.	1442	1443	u	.	19.124	14
οἱ	1445	1447	l	ὁ	19.124	14
τῆς	1448	1451	l	ὁ	19.124	14
νυκτὸς	1452	1458	n	νύξ	19.124	14
ἀλαοί	1459	1464	a	ἀλαός	19.124	14
.	1464	1465	u	.	19.124	14
