orth	charde	charad	cat	lem	pag	linea
Ξηρῇ	438	442	n	Ξηρέα	19.125	1
σηπεδονὡδει	443	454	v	σηπεδονώδης	19.125	1
.	455	456	u	.	19.125	1
ἤτοι	458	462	d	ἤτοι	19.125	1
τῇ	463	465	l	ὁ	19.125	1
γαγγραίνῃ	466	475	v	γαγγραίνω	19.125	1
ἤ	478	479	d	ἤ	19.125	1
τινι	480	484	p	τις	19.125	1
ταύτης	485	491	a	οὗτος	19.125	1
γενικωτέρῳ	492	502	a	γενικός	19.125	1
.	502	503	u	.	19.125	1
ξύμη	682	686	v	ξύμη	19.125	3
.	686	687	u	.	19.125	3
ὅ	689	690	p	ὅς	19.125	3
καλεῖται	691	699	v	καλέω	19.125	3
κνησμος	700	707	n	κνησμός	19.125	3
.	707	708	u	.	19.125	3
