orth	charde	charad	cat	lem	pag	linea
ὁα	540	542	p	ὁ	19.125	4
.	542	543	u	.	19.125	4
τὰ	545	547	l	ὁ	19.125	4
πρὸς	548	552	r	πρός	19.125	4
τῶν	553	556	l	ὁ	19.125	4
πολλῶν	557	563	a	πολύς	19.125	4
οὖα	564	567	p	οὖς	19.125	4
καλούμενα	568	577	v	καλέω	19.125	4
.	577	578	u	.	19.125	4
οίναριῳ	673	680	n	οἴναρις	19.125	5
.	680	681	u	.	19.125	5
αμπέλῳ	683	689	n	ἄμπελος	19.125	5
.	689	690	u	.	19.125	5
οἰναρίδων	785	794	n	οἰναρίς	19.125	6
.	794	795	u	.	19.125	6
αμπἑλου	797	804	a	ἄμπελος	19.125	6
κληματων	805	813	n	κλῆμα	19.125	6
.	813	814	u	.	19.125	6
οἴσπη	909	914	n	οἶσπη	19.125	7
αἰγός	915	920	n	αἴξ	19.125	7
τ	921	922	n	τε	19.125	7
ὁ	923	924	l	ὁ	19.125	7
παρὰ	925	929	n	παρά	19.125	7
ταῖς	930	934	l	ὁ	19.125	7
θριξὶ	935	940	n	θρίξ	19.125	7
τῆς	941	944	l	ὁ	19.125	7
αἰγὸς	945	950	n	αἴξ	19.125	7
ἐγγινόμενος	951	962	v	ἐγγίνομαι	19.125	7
ἐν	963	965	n	ἐν	19.125	7
τῇ	1038	1040	l	ὁ	19.125	8
ἕδρα	1041	1045	n	ἕδρα	19.125	8
ῥύπος	1046	1051	n	ῥύπος	19.125	8
καὶ	1052	1055	d	καί	19.125	8
μάλιστα	1056	1063	d	μάλιστα	19.125	8
ταῖς	1064	1068	l	ὁ	19.125	8
κατὰ	1069	1073	r	κατά	19.125	8
τὴν	1074	1077	l	ὁ	19.125	8
ἕδραν	1078	1083	n	ἕδρα	19.125	8
συνιστάμενος	1084	1096	v	συνίστημι	19.125	8
ῥύπος	1169	1174	n	ῥύπος	19.125	9
.	1174	1175	u	.	19.125	9
οἰσοφάγος	1272	1281	a	οἰσοφάγος	19.125	10
τ	1282	1283	a	τέ	19.125	10
ὁ	1284	1285	l	ὁ	19.125	10
τῆς	1286	1289	l	ὁ	19.125	10
γαστρὸς	1290	1297	n	γαστήρ	19.125	10
στόμαχος	1298	1306	a	στόμαχος	19.125	10
οἶον	1308	1312	a	οἶος	19.125	10
εἰσοφάγος	1313	1322	a	εἰσοφάγος	19.125	10
τις	1323	1326	p	τις	19.125	10
ῶν	1327	1329	p	ναῦς	19.125	10
.	1329	1330	u	.	19.125	10
οἰσυπίδας	1427	1436	n	οἰσυπίς	19.125	11
τ	1437	1438	n	τε	19.125	11
προβάτου	1439	1447	n	πρόβατον	19.125	11
ῥύπον	1448	1453	n	ῥύπος	19.125	11
ἤγουν	1455	1460	v	ἄγω	19.125	11
ἔριον	1461	1466	n	ἔριον	19.125	11
ῥυπαρόν	1467	1474	a	ῥυπαρός	19.125	11
.	1474	1475	u	.	19.125	11
οἰσυπίδες	1572	1581	n	οἰσυπίς	19.125	12
.	1582	1583	u	.	19.125	12
προβάτου	1585	1593	n	πρόβατον	19.125	12
ῥύποι	1594	1599	v	ῥύπος	19.125	12
συνεστραμμένοι	1600	1614	v	συστρέφω	19.125	12
δηλοῖ	1616	1621	v	δηλόω	19.125	12
δὲ	1622	1624	d	δέ	19.125	12
καὶ	1625	1628	c	καί	19.125	12
ἐρίου	1703	1708	n	ἔριον	19.125	13
ῥυπαροῦ	1709	1716	v	ῥυπαρός	19.125	13
μαλίον	1717	1723	n	μάλιον	19.125	13
.	1723	1724	u	.	19.125	13
ὄκρις	1821	1826	n	ὄκρις	19.125	14
ἐξοχὴ	1828	1833	n	ἐξοχή	19.125	14
προμήκης	1834	1842	a	προμήκης	19.125	14
ὀλερόν	1974	1980	a	ὀλερός	19.126	1
δυσῶδες	1983	1990	a	δυσώδης	19.126	1
.	1990	1991	u	.	19.126	1
ἢ	1992	1993	d	ἤ	19.126	1
μέλαν	1994	1999	a	μέλας	19.126	1
ἀπο	2001	2004	-	ἀπό	19.126	1
τοῦ	2005	2008	l	ὁ	19.126	1
τῶν	2009	2012	l	ὁ	19.126	1
σηπιῶν	2013	2019	v	σηπίον	19.126	1
ὅλου	2020	2024	a	ὅλος	19.126	1
.	2024	2025	u	.	19.126	1
ὀλισθράζοντα	2098	2110	v	ὀλισθράζω	19.126	2
.	2111	2112	u	.	19.126	2
ὀλισθαίνοντα	2114	2126	v	ὀλισθάνω	19.126	2
.	2126	2127	u	.	19.126	2
ὀλοκωνίιης	2222	2232	n	ὀλοκωνία	19.126	3
.	2232	2233	u	.	19.126	3
βοτάνη	2235	2241	n	βοτάνη	19.126	3
τις	2242	2245	p	τις	19.126	3
αγρἄτ	2246	2251	d	ἀγρότεα	19.126	3
λαχανωδης	2252	2261	n	λαχανώδης	19.126	3
.	2261	2262	u	.	19.126	3
ὅλον	2357	2361	a	ὅλος	19.126	4
τὸ	2363	2365	l	ὁ	19.126	4
μέλαν	2366	2371	a	μέλας	19.126	4
τῆς	2372	2375	l	ὁ	19.126	4
σηπίας	2376	2382	n	σηπίον	19.126	4
.	2382	2383	u	.	19.126	4
ὀλώδεα	2478	2484	a	ὀλώδης	19.126	5
θολερὰ	2487	2493	a	θολερός	19.126	5
ἢ	2494	2495	c	ἤ	19.126	5
μέλανα	2496	2502	a	μέλας	19.126	5
.	2502	2503	u	.	19.126	5
ὸλοφλυκτίδες	2598	2610	a	ὀλοφλυκτίς	19.126	6
.	2611	2612	u	.	19.126	6
φλύκταιναι	2614	2624	n	φλύκταινα	19.126	6
.	2624	2625	u	.	19.126	6
ὀνευεσθαι	2720	2729	v	ὀνεύω	19.126	7
.	2730	2731	u	.	19.126	7
ἤγουν	2733	2738	v	ἄγω	19.126	7
δι	2739	2741	n	διά	19.126	7
ὄνων	2743	2747	n	ὄνος	19.126	7
ἐπιστροφῆς	2748	2758	n	ἐπιστροφή	19.126	7
τείνειν	2759	2766	v	τείνω	19.126	7
.	2766	2767	u	.	19.126	7
ὄνοι	2768	2772	n	ὄνος	19.126	7
δὲ	2773	2775	c	δέ	19.126	7
καὶ	2776	2779	c	καί	19.126	7
ὀνίσκοι	2852	2859	n	ὀνίσκος	19.126	8
οἱ	2860	2862	l	ὁ	19.126	8
ἄξονες	2863	2869	a	ἄξων	19.126	8
.	2869	2870	u	.	19.126	8
γράφεται	2871	2879	v	γράφω	19.126	8
δὲ	2880	2882	d	δέ	19.126	8
κατονεύεσθαι	2883	2895	v	κατονεύω	19.126	8
.	2895	2896	u	.	19.126	8
ὅπλα	2991	2995	n	ὅπλον	19.126	9
ς	2996	2997	n	ἕ	19.126	9
καλοι	2998	3003	n	καλός	19.126	9
ἀπο	3004	3007	-	ἀπό	19.126	9
