orth	charde	charad	cat	lem	pag	linea
Παλίνοπτα	451	460	n	Παλίνοπτος	19.127	11
.	461	462	u	.	19.127	11
τὰ	464	466	l	ὁ	19.127	11
ἀπὸ	467	470	r	ἀπό	19.127	11
τοῦ	471	474	l	ὁ	19.127	11
ἡλίου	475	480	n	ἥλιος	19.127	11
ἀπεστραμμένα	481	493	v	ἀποστρέφω	19.127	11
.	493	494	u	.	19.127	11
παλῦναι	591	598	v	παλύνω	19.127	12
.	598	599	u	.	19.127	12
ἐπιπασαι	601	609	v	ἐπιπάζομαι	19.127	12
.	609	610	u	.	19.127	12
παράλαμψις	707	717	n	παράλαμπις	19.127	13
.	718	719	u	.	19.127	13
ἡ	721	722	l	ὁ	19.127	13
ἐν	723	725	r	ἐν	19.127	13
τῷ	726	728	l	ὁ	19.127	13
μέλανι	729	735	a	μέλας	19.127	13
τῶν	736	739	l	ὁ	19.127	13
ὸφθαλμῶν	740	748	n	ὀφθαλμός	19.127	13
ἐπιλάμπουσα	749	760	v	ἐπιλάμπω	19.127	13
οὐλὴ	835	839	a	οὐλή	19.127	14
διὰ	840	843	n	διά	19.127	14
το	844	846	a	τοι	19.127	14
ἡσυχῆ	847	852	a	ἡσυχῆ	19.127	14
παχυτέραν	853	862	a	παχύς	19.127	14
ειναι	863	868	v	εἰμί	19.127	14
τῆς	869	872	l	ὁ	19.127	14
αἰγίδος	873	880	n	αἰγίς	19.127	14
.	880	881	u	.	19.127	14
παράλιον	978	986	n	παράλιος	19.127	15
εἶδος	989	994	n	εἶδος	19.127	15
τιθυμάλου	995	1004	n	τιθύμαλος	19.127	15
καλεῖται	1006	1014	v	καλέω	19.127	15
δὲ	1015	1017	d	δέ	19.127	15
καί	1018	1021	d	καί	19.127	15
τι	1022	1024	a	τις	19.127	15
κράμβιον	1025	1033	n	κράμβιον	19.127	15
παράλιον	1108	1116	a	παράλιος	19.127	16
.	1116	1117	u	.	19.127	16
παραστάτας	1248	1258	n	παραστάτης	19.128	1
.	1259	1260	u	.	19.128	1
τὰς	1262	1265	l	ὁ	19.128	1
ἐπιδιδυμίδας	1266	1278	n	ἐπιδιδυμίς	19.128	1
ἐν	1280	1282	r	ἐν	19.128	1
τῷ	1283	1285	l	ὁ	19.128	1
περὶ	1286	1290	r	περί	19.128	1
φλεβῶν	1291	1297	a	φλέβη	19.128	1
ὅ	1298	1299	p	ὅς	19.128	1
πρὸκειιαι	1300	1309	a	πρόκειμαι	19.128	1
τῷ	1382	1384	l	ὁ	19.128	2
μοχλικῷ	1385	1392	a	μοχλικός	19.128	2
.	1392	1393	u	.	19.128	2
παραφᾶσαι	1488	1497	v	παραφάω	19.128	3
παραψασθαι	1499	1509	v	παραψίπτω	19.128	3
μετὰ	1510	1514	v	μετά	19.128	3
καθέσεως	1515	1523	v	κάθεσις	19.128	3
