orth	charde	charad	cat	lem	pag	linea
Ῥαγεῖσα	451	458	v	Ῥήγε	19.134	3
δηλοῖ	461	466	v	δηλόω	19.134	3
ποτε	467	471	d	ποτέ	19.134	3
καὶ	472	475	d	καί	19.134	3
τὸ	476	478	l	ὁ	19.134	3
ἀθρόως	479	485	d	ἀθρόος	19.134	3
ὁρμήσασα	486	494	v	ὁρμάω	19.134	3
ὡς	497	499	d	ὡς	19.134	3
ἐν	500	502	d	ἐν	19.134	3
τῷ	503	505	d	ὁ	19.134	3
δευτέρῳ	578	585	a	δεύτερος	19.134	4
περὶ	586	590	d	περί	19.134	4
νούσων	591	597	d	νοῦσος	19.134	4
τῷ	598	600	d	ὁ	19.134	4
μείζονι	601	608	a	μέγας	19.134	4
ἀλλὰ	611	615	d	ἀλλά	19.134	4
καὶ	616	619	d	καί	19.134	4
ἡ	620	621	p	ὁ	19.134	4
αἱμορραγία	622	632	a	αἱμορραγία	19.134	4
αὕτη	705	709	p	οὗτος	19.134	5
παρὰ	710	714	r	παρά	19.134	5
τοῦτο	715	720	p	οὗτος	19.134	5
συγκεῖται	721	730	v	σύγκειμαι	19.134	5
.	730	731	u	.	19.134	5
ῥαιβοειδέα	826	836	a	ῥᾳβοειδής	19.134	6
καμπύλον	839	847	a	καμπύλος	19.134	6
.	847	848	u	.	19.134	6
ῥῆον	943	947	a	ῥέω	19.134	7
ἑτοιμότερον	949	960	a	ἑτοῖμος	19.134	7
καὶ	961	964	d	καί	19.134	7
εὐχερέστερον	965	977	a	εὐχερής	19.134	7
ἔνιοι	979	984	a	ἔνιοι	19.134	7
μέντοι	985	991	d	μέντοι	19.134	7
τὸ	992	994	a	ὁ	19.134	7
εὑφορὡτερον	995	1006	a	εὕφορος	19.134	7
ἤκουσαν	1079	1086	v	ἀκούω	19.134	8
.	1086	1087	u	.	19.134	8
ῥαφίῳ	1182	1187	n	ῥάφιος	19.134	9
τῷ	1190	1192	l	ὁ	19.134	9
κεντηρίῳ	1193	1201	n	κεντήριος	19.134	9
ῷ	1203	1204	p	ὁ	19.134	9
διακεντοῦντες	1205	1218	v	διακεντέω	19.134	9
οἱ	1219	1221	l	ὁ	19.134	9
τεχνῖται	1222	1230	n	τεχνίτης	19.134	9
τῶν	1231	1234	l	ὁ	19.134	9
τοιούτων	1235	1243	p	τοιοῦτος	19.134	9
ἐπιτηδείους	1318	1329	a	ἐπιτήδειος	19.134	10
ὸπὰς	1330	1334	n	ὅπη	19.134	10
τῆ	1335	1337	l	τῆ	19.134	10
τοῦ	1338	1341	l	ὁ	19.134	10
λίνου	1342	1347	n	λίνος	19.134	10
διέρσει	1348	1355	v	διερέσσω	19.134	10
παρασκευάζουσι	1356	1370	v	παρασκευάζω	19.134	10
.	1370	1371	u	.	19.134	10
ῥέγξιν	1554	1560	n	ῥέγξιν	19.134	12
καὶ	1561	1564	c	καί	19.134	12
ῥέγκος	1565	1571	n	ῥέγκος	19.134	12
ὡνοματοπεποίηται	1573	1589	v	ὅσομαι	19.134	12
παρὰ	1590	1594	d	παρά	19.134	12
τὸν	1595	1598	l	ὁ	19.134	12
γινόμενον	1599	1608	v	γίγνομαι	19.134	12
ψόφον	1683	1688	n	ψόφος	19.134	13
ὥσπερ	1690	1695	d	ὥσπερ	19.134	13
καὶ	1696	1699	d	καί	19.134	13
τὸ	1700	1702	l	ὁ	19.134	13
ῥέγκειν	1703	1710	v	ῥέζω	19.134	13
.	1710	1711	u	.	19.134	13
ῥέμβει	1808	1814	v	ῥέμβος	19.134	14
πλανᾶται	1817	1825	v	πλανάω	19.134	14
.	1825	1826	u	.	19.134	14
ῥέμβην	1923	1929	n	ῥέμβη	19.134	15
πλάνην	1931	1937	n	πλάνη	19.134	15
.	1937	1938	u	.	19.134	15
καί	1939	1942	d	καί	19.134	15
τινα	1943	1947	p	τις	19.134	15
ἄλλα	1948	1952	p	ἄλλος	19.134	15
παρὰ	1953	1957	r	παρά	19.134	15
τὸ	1958	1960	l	ὁ	19.134	15
