orth	charde	charad	cat	lem	pag	linea
Σαράπσυς	451	459	n	Σαράπσυς	19.136	5
ἡ	461	462	l	ὁ	19.136	5
διασεσηρότας	463	475	v	διασείω	19.136	5
καὶ	476	479	d	καί	19.136	5
διεστῶτας	480	489	v	διίστημι	19.136	5
ἔχουσα	490	496	v	ἔχω	19.136	5
τοὺς	497	501	l	ὁ	19.136	5
δακτύλους	502	511	n	δάκτυλος	19.136	5
τῶν	584	587	l	ὁ	19.136	6
ποδῶν	588	593	n	πούς	19.136	6
.	593	594	u	.	19.136	6
σαρκάζειν	689	698	v	σαρκάζω	19.136	7
κυρία	701	706	n	κύριος	19.136	7
ς	707	708	n	εἰς	19.136	7
μὲν	709	712	d	μέν	19.136	7
τὸ	713	715	l	ὁ	19.136	7
διὰ	716	719	r	διά	19.136	7
τῆς	720	723	l	ὁ	19.136	7
τῶν	724	727	l	ὁ	19.136	7
χειλῶν	728	734	n	χειλός	19.136	7
δήξεως	735	741	n	δῆξις	19.136	7
χλευάζειν	742	751	v	χλευάζω	19.136	7
.	751	752	u	.	19.136	7
ὁ	825	826	l	ὁ	19.136	8
δὲ	827	829	d	δέ	19.136	8
Ἱπποκράτης	830	840	n	Ἱπποκράτης	19.136	8
καὶ	841	844	d	καί	19.136	8
τὸ	845	847	l	ὁ	19.136	8
ἄκροις	848	854	n	ἄκρος	19.136	8
τοῖς	855	859	l	ὁ	19.136	8
χείλεσι	860	867	n	χεῖλος	19.136	8
συναγομένοις	868	880	v	συνάγω	19.136	8
ἀποτίλλειν	953	963	v	ἀποτίλλω	19.136	9
τι	964	966	p	τις	19.136	9
.	966	967	u	.	19.136	9
σατυρισμοί	1064	1074	n	σατυρισμός	19.136	10
οἱ	1076	1078	p	ὁ	19.136	10
περὶ	1079	1083	r	περί	19.136	10
τα	1084	1086	p	ὁ	19.136	10
ωτα	1087	1090	p	οὗτος	19.136	10
προμήκεις	1091	1100	a	προμήκης	19.136	10
ὄγκοι	1101	1106	n	ὄγκος	19.136	10
τῶν	1107	1110	l	ὁ	19.136	10
ἀδένων	1111	1117	a	ἀνήνω	19.136	10
.	1117	1118	u	.	19.136	10
ἔνιοι	1193	1198	a	ἔνιοι	19.136	11
δὲ	1199	1201	d	δέ	19.136	11
τὰς	1202	1205	l	ὁ	19.136	11
τῶν	1206	1209	l	ὁ	19.136	11
αἰδοίων	1210	1217	n	αἰδοῖος	19.136	11
ἐντάσεις	1218	1226	n	ἔντασις	19.136	11
ἤκουσαν	1227	1234	v	ἀκούω	19.136	11
.	1234	1235	u	.	19.136	11
σαυρίδιον	1332	1341	n	σαυρίδιον	19.136	12
η	1343	1344	n	ᾗ	19.136	12
καρδαμὶς	1345	1353	n	καρδαμίς	19.136	12
βοτάνη	1354	1360	n	βοτάνη	19.136	12
ὰπο	1361	1364	n	ἀπό	19.136	12
τῆς	1365	1368	l	ὁ	19.136	12
κατὰ	1369	1373	r	κατά	19.136	12
τὸ	1374	1376	l	ὁ	19.136	12
σχῆμα	1377	1382	n	σχῆμα	19.136	12
ομοιοτητος	1457	1467	a	ὁμοιοτής	19.136	13
.	1467	1468	u	.	19.136	13
ἡ	1469	1470	l	ὁ	19.136	13
αὐτή	1471	1475	p	αὐτός	19.136	13
καὶ	1476	1479	c	καί	19.136	13
κάρδαμον	1480	1488	a	κάρδαμον	19.136	13
ὀνομάζεται	1489	1499	v	ὀνομάζω	19.136	13
.	1499	1500	u	.	19.136	13
σελαχεσιν	1597	1606	n	σέλαχος	19.136	14
οὕτως	1608	1613	d	οὕτως	19.136	14
καλεῖται	1614	1622	v	καλέω	19.136	14
ὅσα	1623	1626	a	ὅσος	19.136	14
ἰχθύων	1627	1633	n	ἰχθύς	19.136	14
λεπίδας	1634	1641	n	λεπίς	19.136	14
οὐκ	1642	1645	d	οὐ	19.136	14
ἔχει	1646	1650	v	ἔχω	19.136	14
