orth	charde	charad	cat	lem	pag	linea
Τάμισον	545	552	n	Τάμισος	19.145	6
πιτύαν	554	560	n	πιτύν	19.145	6
.	560	561	u	.	19.145	6
τεγγειν	656	663	v	τέγγω	19.145	7
διαβρεχειν	666	676	v	διαβρέχω	19.145	7
.	676	677	u	.	19.145	7
τελεῖν	772	778	v	τελέω	19.145	8
ὰναλἰσκειν	780	790	v	ἀναλίσκω	19.145	8
ὡς	792	794	d	ὡς	19.145	8
ἐν	795	797	r	ἐν	19.145	8
τῷ	798	800	d	ὁ	19.145	8
περὶ	801	805	r	περί	19.145	8
παθῶν	806	811	v	πάθος	19.145	8
λέγει	812	817	v	λέγω	19.145	8
.	817	818	u	.	19.145	8
τιλσον	913	919	a	τίλλω	19.145	9
τέλος	922	927	n	τέλος	19.145	9
καὶ	928	931	c	καί	19.145	9
ἔσχατον	932	939	a	ἔσχατος	19.145	9
.	939	940	u	.	19.145	9
τέρμινθοι	1037	1046	n	τέρμινθος	19.145	10
οἱ	1048	1050	l	ὁ	19.145	10
τῷ	1051	1053	l	ὁ	19.145	10
τοῦ	1054	1057	l	ὁ	19.145	10
τερμίνθου	1058	1067	a	τέρμινθος	19.145	10
καρπῷ	1068	1073	n	καρπός	19.145	10
παραπλήσιοι	1074	1085	a	παραπλήσιος	19.145	10
κατὰ	1087	1091	n	κατά	19.145	10
τὸ	1166	1168	l	ὁ	19.145	11
δέρμα	1169	1174	n	δέρμα	19.145	11
συνιστάμενοι	1175	1187	v	συνίστημι	19.145	11
παρὰ	1188	1192	n	παρά	19.145	11
φύσιν	1193	1198	n	φύσις	19.145	11
ὄγκοι	1199	1204	n	ὄγκος	19.145	11
.	1204	1205	u	.	19.145	11
τιρθρον	1302	1309	n	τίρθρον	19.145	12
κυρίως	1312	1318	d	κυρίως	19.145	12
μὲν	1319	1322	d	μέν	19.145	12
οὕτως	1323	1328	d	οὕτως	19.145	12
ὀνομαζεται	1329	1339	v	ὀνομάζω	19.145	12
το	1340	1342	d	τοι	19.145	12
ἄκρον	1343	1348	a	ἄκρον	19.145	12
τῆς	1349	1352	l	ὁ	19.145	12
κεραίας	1353	1360	a	κεραία	19.145	12
καὶ	1435	1438	d	καί	19.145	13
τέρθριοι	1439	1447	a	τέρθριος	19.145	13
οἱ	1448	1450	p	ὁ	19.145	13
κάλοι	1451	1456	v	κάλως	19.145	13
ἐντεῦθεν	1458	1466	d	ἐντεῦθεν	19.145	13
ἐπὶ	1467	1470	d	ἐπί	19.145	13
τὰ	1471	1473	l	ὁ	19.145	13
ἄκρα	1474	1478	n	ἄκρον	19.145	13
τοῦ	1479	1482	l	ὁ	19.145	13
ἱστίου	1557	1563	n	ἱστίον	19.145	14
παρείκοντες	1564	1575	v	παρείκω	19.145	14
.	1575	1576	u	.	19.145	14
ὁ	1577	1578	l	ὁ	19.145	14
δ	1579	1580	l	δέ	19.145	14
Ἱπποκρατης	1582	1592	n	Ἱπποκράτης	19.145	14
ἐν	1593	1595	r	ἐν	19.145	14
