orth	charde	charad	cat	lem	pag	linea
υβοί	452	456	n	-βοή	19.148	1
κυρτοὶ	458	464	a	κυρτός	19.148	1
καὶ	465	468	d	καί	19.148	1
ὕβωμα	469	474	n	ὕβωμα	19.148	1
τὸ	475	477	l	ὁ	19.148	1
κύρτωμα	478	485	n	κύρτωμα	19.148	1
.	485	486	u	.	19.148	1
ὑδαταινούσῃσιν	581	595	v	ὑδαταίνωυς	19.148	2
υδερώδεσιν	598	608	n	ὐδερώδης	19.148	2
ἢ	609	610	d	ἤ	19.148	2
ἐξυδατούσαις	611	623	v	ἐξυδάτουσα	19.148	2
τὸ	624	626	l	ὁ	19.148	2
αἶμα	627	631	n	αἶμα	19.148	2
καὶ	632	635	c	καί	19.148	2
ὑδατωδη	708	715	a	ὑδατωδής	19.148	3
καθαιρομέναις	716	729	v	καθαίρω	19.148	3
.	729	730	u	.	19.148	3
ὑδατόχλοα	827	836	a	ὑδατόχλοος	19.148	4
ὡσεὶ	838	842	d	ὡσεί	19.148	4
καὶ	843	846	c	καί	19.148	4
ὑδατοχλωρα	847	857	a	ὑδατόχλωρ	19.148	4
ἔλεγε	858	863	v	λέγω	19.148	4
.	863	864	u	.	19.148	4
ὑδατώδεας	959	968	a	ὑδατώδης	19.148	5
υδρωπικας	971	980	a	ὐδρωπικός	19.148	5
.	980	981	u	.	19.148	5
ὕδριον	1076	1082	a	ὕδριος	19.148	6
ἡ	1084	1085	l	ὁ	19.148	6
μικρὰ	1086	1091	a	μικρός	19.148	6
ὑδρία	1092	1097	a	ὑδρία	19.148	6
ὑποκοριστικῶς	1098	1111	d	ὑποκοριστικός	19.148	6
.	1111	1112	u	.	19.148	6
ὕδρωψ	1207	1212	v	ὕδρωψ	19.148	7
Διοσκουρίδης	1214	1226	n	Διοσκουρίδαι	19.148	7
ἐν	1227	1229	d	ἐν	19.148	7
δευτέρῳ	1230	1237	a	δεύτερος	19.148	7
τῶν	1238	1241	l	ὁ	19.148	7
ἐπιδημιῶν	1242	1251	v	ἐπιδημία	19.148	7
ὀξυτόνως	1252	1260	d	ὀξύτονος	19.148	7
αναγινωσκει	1427	1438	v	ἀναγιγνώσκω	19.148	8
καὶ	1439	1442	d	καί	19.148	8
δηλοῦσθαί	1443	1452	v	δηλόω	19.148	8
φησι	1453	1457	v	φημί	19.148	8
τόν	1458	1461	l	ὁ	19.148	8
ὐδροποειδῆ	1462	1472	a	ὐδροποειδής	19.148	8
.	1472	1473	u	.	19.148	8
ὑπάλειπτρον	1546	1557	a	ὑπάλειπτρος	19.148	9
ἐλασμάτιον	1559	1569	a	ἐλασμάτιον	19.148	9
ῷ	1570	1571	p	ὁ	19.148	9
ἄν	1572	1574	d	ἄν1	19.148	9
τις	1575	1578	p	τις	19.148	9
ὑπαλείψαιτο	1579	1590	v	ὑπαλείπω	19.148	9
τοὺς	1591	1595	l	ὁ	19.148	9
ὀφθαλμούς	1596	1605	n	ὀφθαλμός	19.148	9
.	1605	1606	u	.	19.148	9
ὑπάλειπτον	1789	1799	v	ὑπαλείπω	19.148	11
ἔγχριστον	1801	1810	a	ἔγχριστος	19.148	11
φάρμακον	1811	1819	n	φάρμακον	19.148	11
.	1819	1820	u	.	19.148	11
ὑπεζυγωται	1917	1927	v	ὑποζυγόω	19.148	12
υπέζευκται	1930	1940	v	ὑποζεύγνυμι	19.148	12
.	1940	1941	u	.	19.148	12
ὑπιλληθεὡσιν	2038	2050	v	ὑπιλληθέως	19.148	13
υποσυσιραφῶσιν	2053	2067	v	ὑποσυσιραφέω	19.148	13
.	2067	2068	u	.	19.148	13
ὑπέρινος	2165	2173	n	ὑπέρινος	19.148	14
ὁ	2175	2176	l	ὁ	19.148	14
ὺπερκεκαθαρμἒξος	2177	2193	n	ὑπερκεκαθαρμέγιγος	19.148	14
ἄνθρωπος	2194	2202	n	ἄνθρωπος	19.148	14
καὶ	2204	2207	d	καί	19.148	14
αὕτη	2208	2212	a	οὗτος	19.148	14
ὑπερίνησις	2213	2223	n	ὑπερίνησις	19.148	14
.	2223	2224	u	.	19.148	14
οὕτως	2299	2304	d	οὕτως	19.148	15
γοῦν	2305	2309	d	γοῦν	19.148	15
ε	2310	2311	d	προσβλώσκω	19.148	15
ξηγήσαντό	2312	2321	v	ξηγέω	19.148	15
τινες	2322	2327	p	τις	19.148	15
καὶ	2328	2331	d	καί	19.148	15
τὀ	2332	2334	d	τὀ	19.148	15
ὑπερίνος	2335	2343	v	ὑπερίνω	19.148	15
ἰσχναίνει	2474	2483	v	ἰσχναίνω	19.149	1
.	2483	2484	u	.	19.149	1
δοκεῖ	2485	2490	v	δοκέω	19.149	1
δὲ	2491	2493	d	δέ	19.149	1
καὶ	2494	2497	c	καί	19.149	1
τὸ	2498	2500	l	ὁ	19.149	1
μακρόπνους	2501	2511	a	μάκροπνος	19.149	1
καὶ	2512	2515	c	καί	19.149	1
τὸ	2516	2518	l	ὁ	19.149	1
βραχύπνους	2519	2529	a	βραχύπνους	19.149	1
διχῶς	2602	2607	d	διχῶς	19.149	2
ὡσαύτως	2608	2615	d	ὡσαύτως	19.149	2
λέγεσθαι	2616	2624	v	λέγω	19.149	2
.	2624	2625	u	.	19.149	2
ὑπερτονεῖ	2720	2729	v	ὑπερτονέω	19.149	3
ὑπερτείνεται	2732	2744	v	ὑπερτείνω	19.149	3
.	2744	2745	u	.	19.149	3
υπερυδρον	2840	2849	a	ὑπερύδροος	19.149	4
ἄγαν	2852	2856	d	ἄγαν	19.149	4
πλήρη	2857	2862	a	πλήρης	19.149	4
τοῦ	2863	2866	l	ὁ	19.149	4
παρακεχυμένου	2867	2880	v	παραχέω	19.149	4
ὕδατος	2881	2887	n	ὕδωρ	19.149	4
.	2887	2888	u	.	19.149	4
υπερχολήσει	2983	2994	v	ὑπερχόλησις	19.149	5
