orth	charde	charad	cat	lem	pag	linea
Φαγεδαίνῃ	451	460	n	Φαγεδαίνος	19.150	9
ἕλκει	463	468	v	ἕλκω	19.150	9
ὰναβιβρωσκομεέῳ	469	484	a	ἁναβιβρωσκομέω	19.150	9
.	484	485	u	.	19.150	9
φαίνηται	582	590	v	φαίνω	19.150	10
σημαίνει	593	601	v	σημαίνω	19.150	10
καὶ	602	605	d	καί	19.150	10
τὸ	606	608	l	ὁ	19.150	10
διαφανὲς	609	617	a	διαφανής	19.150	10
ἐν	618	620	r	ἐν	19.150	10
τῷ	621	623	l	ὁ	19.150	10
πυρὶ	624	628	n	πῦρ	19.150	10
γίνηται	629	636	v	γίγνομαι	19.150	10
ὡς	712	714	d	ὡς	19.150	11
ἐν	715	717	r	ἐν	19.150	11
τῷ	718	720	l	ὁ	19.150	11
δευτέρῳ	721	728	a	δεύτερος	19.150	11
τῶν	729	732	l	ὁ	19.150	11
γυναικείων	733	743	a	γυναικεῖος	19.150	11
.	743	744	u	.	19.150	11
φαλαρα	841	847	n	φάλαρος	19.150	12
τὰ	850	852	l	ὁ	19.150	12
στρογγύλα	853	862	a	στρογγύλος	19.150	12
μετα	863	867	r	μετά	19.150	12
λειότητος	868	877	n	λειότης	19.150	12
.	877	878	u	.	19.150	12
φαρκιδῶδες	975	985	a	φαρκιδώδης	19.150	13
ῥυτιδῶδες	987	996	a	ῥυτιδώδης	19.150	13
.	996	997	u	.	19.150	13
φαύσιγες	1094	1102	a	φαύσιγξ	19.150	14
κυρίως	1105	1111	d	κυρίως	19.150	14
μὲν	1112	1115	d	μέν	19.150	14
οἱ	1116	1118	l	ὁ	19.150	14
ἀπὸ	1119	1122	r	ἀπό	19.150	14
τοῦ	1123	1126	l	ὁ	19.150	14
πυρὸς	1127	1132	n	πῦρ	19.150	14
ἐν	1133	1135	d	ἐν	19.150	14
ταῖς	1136	1140	l	ὁ	19.150	14
κνήμαις	1141	1148	n	κνήμη	19.150	14
ἐπανιστάμενοι	1223	1236	v	ἐπανίστημι	19.150	15
κύκλοι	1237	1243	n	κύκλος	19.150	15
ἐρυθροί	1244	1251	a	ἐρυθρός	19.150	15
.	1251	1252	u	.	19.150	15
καταχρηστικῶς	1253	1266	d	καταχρηστικός	19.150	15
δὲ	1267	1269	d	δέ	19.150	15
καὶ	1270	1273	c	καί	19.150	15
οἱ	1274	1276	l	ὁ	19.150	15
λοιποί	1351	1357	a	λοιπός	19.150	16
.	1357	1358	u	.	19.150	16
φέρβεται	1455	1463	v	φέρβω	19.150	17
βιβρώσκει	1465	1474	v	βιβρώσκω	19.150	17
καταναλίσκει	1476	1488	v	καταναλίσκω	19.150	17
.	1488	1489	u	.	19.150	17
φήρεα	1620	1625	n	φῆρος	19.151	1
.	1626	1627	u	.	19.151	1
αἱ	1629	1631	l	ὁ	19.151	1
περιμήκεις	1632	1642	a	περιμήκης	19.151	1
ὑπὸ	1643	1646	r	ὑπό	19.151	1
τὰ	1647	1649	l	ὁ	19.151	1
ὦτα	1650	1653	n	οὖς	19.151	1
ἀδενώδεις	1654	1663	a	ἀδενώδης	19.151	1
ἐξοχαὶ	1664	1670	a	ἐξοχή	19.151	1
οἴας	1672	1676	a	οἶος	19.151	1
καὶ	1749	1752	d	καί	19.151	2
οἱ	1753	1755	p	ὁ	19.151	2
σάτυροι	1756	1763	n	σάτυρος	19.151	2
ἔχουσιν	1764	1771	v	ἔχω	19.151	2
.	1771	1772	u	.	19.151	2
ἔνιοι	1773	1778	a	ἔνιοι	19.151	2
δὲ	1779	1781	c	δέ	19.151	2
καὶ	1782	1785	c	καί	19.151	2
φῆρες	1786	1791	n	φήρ	19.151	2
καὶ	1792	1795	c	καί	19.151	2
θῆρες	1796	1801	n	θήρ	19.151	2
καλοῦνται	1874	1883	v	καλέω	19.151	3
ὶν	1886	1888	d	ἴς	19.151	3
ῃ	1890	1891	d	ὁ	19.151	3
οἶον	1892	1896	a	οἶος	19.151	3
φηρεακτικῶς	1897	1908	d	φηρεακτικός	19.151	3
εἰρημένον	1909	1918	v	ἐρῶ	19.151	3
.	1918	1919	u	.	19.151	3
φθίνει	2014	2020	v	φθίω	19.151	4
δηλοῖ	2022	2027	v	δηλόω	19.151	4
συντήκεται	2028	2038	v	συντήκω	19.151	4
ι	2040	2041	v	ἴ	19.151	4
χναίνεται	2042	2051	v	χναίνω	19.151	4
μειοῦται	2053	2061	v	μειόω	19.151	4
ἀτροψει	2063	2070	v	ἀτροψέω	19.151	4
.	2070	2071	u	.	19.151	4
φθόεις	2166	2172	v	φθόεις	19.151	5
τροχίσκους	2175	2185	n	τροχίσκος	19.151	5
.	2185	2186	u	.	19.151	5
φιάρην	2281	2287	n	φιάρα	19.151	6
λαμπρον	2290	2297	a	λαμπρός	19.151	6
ὕπο	2298	2301	r	ὑπό	19.151	6
ὑγροτητος	2302	2311	n	ὑγροτήτως	19.151	6
.	2311	2312	u	.	19.151	6
φιβάλιος	2407	2415	a	φιβάλιος	19.151	7
εἶδος	2418	2423	n	εἶδος	19.151	7
συκῆς	2424	2429	n	συκῆ	19.151	7
.	2429	2430	u	.	19.151	7
φιλεταίριος	2525	2536	a	φιλεταίριος	19.151	8
ἢν	2539	2541	c	ἐάν	19.151	8
καὶ	2542	2545	c	καί	19.151	8
ὰπαρίνην	2546	2554	n	ἅπαρινος	19.151	8
ὀνομάζουσι	2555	2565	v	ὀνομάζω	19.151	8
.	2565	2566	u	.	19.151	8
φιλίστιον	2661	2670	a	φιλίστιον	19.151	9
τὸ	2673	2675	l	ὁ	19.151	9
αὐτὸ	2676	2680	p	αὐτός	19.151	9
καὶ	2681	2684	c	καί	19.151	9
τοῦτο	2685	2690	p	οὗτος	19.151	9
ἔοικεν	2691	2697	v	ἔοικα	19.151	9
εἶναι	2698	2703	v	εἰμί	19.151	9
τῇ	2704	2706	l	ὁ	19.151	9
ἀπαρίνῃ	2707	2714	v	ἀπαρίνη	19.151	9
καὶ	2715	2718	c	καί	19.151	9
φιλεταιρίῳ	2793	2803	a	φιλεταίριος	19.151	10
.	2803	2804	u	.	19.151	10
φλάζουσιν	2901	2910	v	φλάζω	19.151	11
ἀσαφῶς	2913	2919	d	ἀσαφής	19.151	11
καὶ	2920	2923	d	καί	19.151	11
ἀδιαρθρώτως	2924	2935	d	ἀδιάρθρωτος	19.151	11
φθέγγονται	2936	2946	v	φθέγγομαι	19.151	11
πεποίηται	2948	2957	v	ποιέω	19.151	11
τοὔνομα	3032	3039	v	ὄνομα	19.151	12
.	3039	3040	u	.	19.151	12
φλεβοτομίαν	3231	3242	n	φλεβοτομία	19.151	13
οὐ	3244	3246	d	οὐ	19.151	13
μόνον	3247	3252	a	μόνος	19.151	13
τοῦ	3253	3256	p	ὁ	19.151	13
συνήθους	3257	3265	a	συνήθης	19.151	13
τοῦτο	3266	3271	p	οὗτος	19.151	13
αλλα	3273	3277	p	ἀλλά	19.151	13
καὶ	3352	3355	d	καί	19.151	14
την	3356	3359	p	ὁ	19.151	14
ἄλλην	3360	3365	p	ἄλλος	19.151	14
ὁπωσοῦν	3366	3373	p	ὁπωσοῦν	19.151	14
διηρημένην	3374	3384	v	διερέω	19.151	14
τῶν	3385	3388	p	ὁ	19.151	14
φλεβῶν	3389	3395	a	φλέβω	19.151	14
κενωσιν	3396	3403	v	κενόω	19.151	14
τοῦ	3478	3481	p	ὁ	19.151	15
αήαατος	3482	3489	a	ἀήνατος	19.151	15
καὶ	3490	3493	d	καί	19.151	15
τὸ	3494	3496	l	ὁ	19.151	15
φλεβοτομηθῆναι	3497	3511	v	φλεβοτομέω	19.151	15
ώσαυτως	3512	3519	d	ᾧτε	19.151	15
.	3519	3520	u	.	19.151	15
φλέγμα	3617	3623	n	φλέγμα	19.151	16
οὐ	3626	3628	d	οὐ	19.151	16
μὁνον	3629	3634	a	μόνος	19.151	16
τὸν	3635	3638	l	ὁ	19.151	16
χυμὸν	3639	3644	n	χυμός	19.151	16
τοῦτον	3645	3651	p	οὗτος	19.151	16
τὸν	3652	3655	l	ὁ	19.151	16
λευκὸν	3656	3662	a	λευκός	19.151	16
καὶ	3663	3666	c	καί	19.151	16
ψυχρον	3667	3673	a	ψυχρός	19.151	16
ἀλλὰ	3749	3753	d	ἀλλά	19.151	17
καὶ	3754	3757	c	καί	19.151	17
τὴν	3758	3761	l	ὁ	19.151	17
φλόγωσιν	3762	3770	n	φλόγωσις	19.151	17
δηλοῖ	3771	3776	v	δηλόω	19.151	17
.	3776	3777	u	.	19.151	17
φλεγυρόν	3908	3916	a	φλεγυρός	19.152	1
πυρῶδες	3918	3925	a	πυρώδης	19.152	1
τὸ	3927	3929	l	ὁ	19.152	1
οἶον	3930	3934	a	οἶος	19.152	1
φλέγον	3935	3941	v	φλέγω	19.152	1
.	3941	3942	u	.	19.152	1
φλεδονωδεα	4037	4047	a	φλεδονωδέω	19.152	2
φλυαρον	4049	4056	n	φλυάρουρος	19.152	2
φλιδόνες	4058	4066	n	φλιδών	19.152	2
γὰρ	4067	4070	d	γάρ	19.152	2
αἱ	4071	4073	l	ὁ	19.152	2
φλυαρίαι	4074	4082	n	φλυαρία	19.152	2
.	4082	4083	u	.	19.152	2
φλεου	4178	4183	n	φλέω	19.152	3
φλογμῶδἒξ	4185	4194	n	φλογμωδέγα	19.152	3
τί	4195	4197	p	τίς	19.152	3
ἐστι	4198	4202	v	εἰμί	19.152	3
τοῦτο	4203	4208	p	οὗτος	19.152	3
καὶ	4209	4212	d	καί	19.152	3
παπυρῶδες	4213	4222	a	παπυρώδης	19.152	3
φυτὸν	4223	4228	n	φυτόν	19.152	3
ὅπερ	4230	4234	p	ὅσπερ	19.152	3
καὶ	4307	4310	d	καί	19.152	4
πλεκόμενον	4311	4321	v	πλέκω	19.152	4
περιτίθεται	4322	4333	v	περιτίθημι	19.152	4
τοῖς	4334	4338	l	ὁ	19.152	4
ἐλαιηροῖς	4339	4348	n	ἐλαιός	19.152	4
κεραμίοις	4349	4358	a	κεράμιον	19.152	4
.	4358	4359	u	.	19.152	4
φληνὐουσα	4454	4463	v	φληνύω	19.152	5
φλυαροῦσα	4465	4474	v	φλυαρέω	19.152	5
.	4474	4475	u	.	19.152	5
φληναφὡδεις	4570	4581	a	φληναφώδης	19.152	6
φλύαροι	4584	4591	n	φλύαρος	19.152	6
.	4591	4592	u	.	19.152	6
φλιάς	4687	4692	n	φλιά	19.152	7
ξύλα	4694	4698	n	ξύλον	19.152	7
ὀρθὰ	4699	4703	a	ὀρθός	19.152	7
καταντικρὺ	4704	4714	d	καταντικρύ	19.152	7
πεπηγότα	4715	4723	v	πήγνυμι	19.152	7
καθάπερ	4725	4732	d	καθά	19.152	7
καὶ	4733	4736	d	καί	19.152	7
αἱ	4737	4739	l	ὁ	19.152	7
τῶν	4812	4815	l	ὁ	19.152	8
νεύρων	4816	4822	n	νεῦρον	19.152	8
φλιαί	4823	4828	a	φλιά	19.152	8
.	4828	4829	u	.	19.152	8
φλογεαί	4924	4931	a	φλογεή	19.152	9
ἐρυθραί	4934	4941	a	ἐρυθρός	19.152	9
.	4941	4942	u	.	19.152	9
φλογιεῖ	5039	5046	v	φλογίζω	19.152	10
ἢ	5047	5048	c	ἤ	19.152	10
φλογεῖται	5049	5058	v	φλογέω	19.152	10
πυροῦται	5060	5068	v	πυρόω	19.152	10
μετὰ	5069	5073	r	μετά	19.152	10
ἐρυθρήματος	5074	5085	n	ἐρύθρημα	19.152	10
.	5085	5086	u	.	19.152	10
φλυδἀ	5183	5188	n	φλυδός	19.152	11
ὑγραίνεται	5191	5201	v	ὑγραίνω	19.152	11
μυδἀ	5203	5207	n	μυδάω	19.152	11
.	5207	5208	u	.	19.152	11
φλυδαρήν	5305	5313	a	φλυδαρός	19.152	12
ὑγράν	5316	5321	a	ὑγρός	19.152	12
.	5321	5322	u	.	19.152	12
φλύεται	5419	5426	v	φλύω	19.152	13
ὑγραίνεται	5429	5439	v	ὑγραίνω	19.152	13
.	5439	5440	u	.	19.152	13
φλυζούσησι	5537	5547	v	φλύζω	19.152	14
βλυούσαις	5550	5559	v	βλύω	19.152	14
.	5559	5560	u	.	19.152	14
φλυζάκια	5657	5665	n	φλυζάκιον	19.152	15
ψυδράκια	5668	5676	a	ψυδράκιον	19.152	15
.	5676	5677	u	.	19.152	15
φλύσιος	5774	5781	n	φλύσις	19.152	16
ἐξανθήσεως	5784	5794	n	ἐξάνθησις	19.152	16
τῆς	5795	5798	l	ὁ	19.152	16
ἐπὶ	5799	5802	r	ἐπί	19.152	16
πλεονεξία	5803	5812	n	πλεονεξία	19.152	16
γινομεέης	5813	5822	n	γινομεής	19.152	16
τοῦ	5823	5826	l	ὁ	19.152	16
κατὰ	5827	5831	r	κατά	19.152	16
τὸ	5906	5908	l	ὁ	19.152	17
σῶμα	5909	5913	n	σῶμα	19.152	17
ὑγροῦ	5914	5919	a	ὑγρός	19.152	17
.	5919	5920	u	.	19.152	17
φοινίκινος	6051	6061	a	φοινίκινος	19.153	1
ἀπὸ	6063	6066	r	ἀπό	19.153	1
τοῦ	6067	6070	p	ὁ	19.153	1
χρωματος	6071	6079	n	χρῶμα	19.153	1
οὕτως	6080	6085	d	οὕτως	19.153	1
εἰρῆσθαι	6086	6094	v	ἐρῶ	19.153	1
τήν	6095	6098	p	ὁ	19.153	1
ἒξεφαντίασιν	6099	6111	v	ἐξεφαντίασις	19.153	1
ὑπονοήσειεν	6184	6195	v	ὑπονοέω	19.153	2
ἄν	6196	6198	d	ἄν1	19.153	2
τις	6199	6202	p	τις	19.153	2
.	6202	6203	u	.	19.153	2
φοινικίη	6298	6306	a	φοινικία	19.153	3
νόσος	6307	6312	n	νόσος	19.153	3
ἡ	6315	6316	n	ὁ	19.153	3
κατὰ	6317	6321	r	κατά	19.153	3
φοινίκην	6322	6330	n	φοινίκη	19.153	3
καὶ	6331	6334	d	καί	19.153	3
κατὰ	6335	6339	r	κατά	19.153	3
τὰ	6340	6342	a	ὁ	19.153	3
ἄλλα	6343	6347	a	ἄλλος	19.153	3
ἀνατολικά	6348	6357	a	ἀνατολικός	19.153	3
μέρη	6430	6434	n	μέρος	19.153	4
πλεονάζουσα	6435	6446	v	πλεονάζω	19.153	4
δηλοῦσθαι	6448	6457	v	δηλόω	19.153	4
δὲ	6458	6460	d	δέ	19.153	4
κἀνταῦθα	6461	6469	d	ἐνταῦθα	19.153	4
δοκεῖ	6470	6475	v	δοκέω	19.153	4
ἡ	6476	6477	p	ὁ	19.153	4
ἐλεφαντίασις	6550	6562	n	ἐλεφαντία	19.153	5
.	6562	6563	u	.	19.153	5
φολλικώδεα	6658	6668	a	φολλικώδης	19.153	6
τὰ	6671	6673	l	ὁ	19.153	6
οἱονεὶ	6674	6680	a	οἱονεί	19.153	6
θυλακώδεα	6681	6690	a	θυλακώδης	19.153	6
καὶ	6691	6694	c	καί	19.153	6
σομφά	6695	6700	a	σομφός	19.153	6
.	6700	6701	u	.	19.153	6
φονᾶ	6796	6800	v	φονάω	19.153	7
φονεῦσαι	6803	6811	v	φονάω	19.153	7
ἐπιθυμεῖ	6812	6820	v	ἐπιθυμέω	19.153	7
.	6820	6821	u	.	19.153	7
φορίνη	6916	6922	n	φορίνη	19.153	8
δέρμα	6925	6930	n	δέρμα	19.153	8
.	6930	6931	u	.	19.153	8
φόρος	7026	7031	n	φόρος	19.153	9
εὐσύλληπτος	7033	7044	a	εὐσύλληπτος	19.153	9
.	7044	7045	u	.	19.153	9
φορύξαντες	7142	7152	v	φορύσσω	19.153	10
φυράσαντες	7155	7165	v	φυράω	19.153	10
.	7165	7166	u	.	19.153	10
φύλλα	7263	7268	n	φύλλον	19.153	11
τὰ	7270	7272	l	ὁ	19.153	11
κηπαῖα	7273	7279	a	κηπαῖος	19.153	11
καὶ	7280	7283	c	καί	19.153	11
βοτανώδη	7284	7292	a	βοτανώδης	19.153	11
χλωρὰ	7293	7298	a	χλωρός	19.153	11
ἡδύσματα	7299	7307	n	ἥδυσμα	19.153	11
.	7307	7308	u	.	19.153	11
φύλλια	7405	7411	n	φύλλιον	19.153	12
ἡδύσματα	7413	7421	n	ἥδυσμα	19.153	12
κηπαῖα	7422	7428	a	κηπαῖος	19.153	12
ἅ	7430	7431	p	ὅς	19.153	12
τοῖς	7432	7436	l	ὁ	19.153	12
ὠνουμένοις	7437	7447	v	ὠνέομαι	19.153	12
τὰ	7448	7450	l	ὁ	19.153	12
λάχανα	7451	7457	n	λάχανον	19.153	12
προσεπιτιθέασιν	7532	7547	v	προσεπιτίθημι	19.153	13
οἶον	7549	7553	a	οἶος	19.153	13
κορίαννον	7554	7563	a	κορίαννος	19.153	13
ἡδύοσμον	7565	7573	a	ἡδύοσμος	19.153	13
πήγανον	7575	7582	a	πήγανος	19.153	13
σέλινον	7584	7591	a	σέλινον	19.153	13
.	7591	7592	u	.	19.153	13
φύλλον	7689	7695	n	φύλλον	19.153	14
τὸ	7697	7699	l	ὁ	19.153	14
τοῦ	7700	7703	l	ὁ	19.153	14
σιλφίου	7704	7711	a	σίλφιον	19.153	14
σπέρμα	7712	7718	n	σπέρμα	19.153	14
διὰ	7719	7722	n	διά	19.153	14
τὸ	7723	7725	l	ὁ	19.153	14
πλατὺ	7726	7731	a	πλατύς	19.153	14
εἶναι	7732	7737	v	εἰμί	19.153	14
ἐν	7739	7741	r	ἐν	19.153	14
τῷ	7742	7744	l	ὁ	19.153	14
δευτέρῳ	7819	7826	a	δεύτερος	19.153	15
τῶν	7827	7830	l	ὁ	19.153	15
γυναικείων	7831	7841	a	γυναικεῖος	19.153	15
.	7841	7842	u	.	19.153	15
προστίθησι	7843	7853	v	προστίθημι	19.153	15
δὲ	7854	7856	d	δέ	19.153	15
καὶ	7857	7860	d	καί	19.153	15
αὐτὸς	7861	7866	a	αὐτός	19.153	15
ἐν	7867	7869	d	ἐν	19.153	15
τῷ	7870	7872	d	ὁ	19.153	15
λόγῳ	7947	7951	n	λόγος	19.153	16
ποτὲ	7952	7956	d	ποτέ	19.153	16
μὲν	7957	7960	d	μέν	19.153	16
Λιβυκὸν	7961	7968	a	Λιβυκός	19.153	16
ποτὲ	7970	7974	d	ποτέ	19.153	16
δὲ	7975	7977	d	δέ	19.153	16
Αἰθιοπικόν	7978	7988	a	Αἰθιοπικός	19.153	16
.	7988	7989	u	.	19.153	16
