orth	charde	charad	cat	lem	pag	linea
Χαλκίτις	451	459	n	Χαλκίτις	19.154	5
στυπτηρίη	460	469	a	στυπτήριον	19.154	5
ἶσον	472	476	a	ἴσος	19.154	5
τῇ	477	479	p	ὁ	19.154	5
χαλκίτιδι	480	489	n	χαλκίτις	19.154	5
.	489	490	u	.	19.154	5
χαραδρωθέωσι	563	575	v	χαραδροθέω	19.154	6
διέκρουν	578	586	v	διακρόω	19.154	6
ἔχωσιν	587	593	v	ἔχω	19.154	6
.	593	594	u	.	19.154	6
χαράκτωρι	667	676	n	χαράκτωρ	19.154	7
ὠξυσμένῳ	679	687	v	ὀξύσσων	19.154	7
ὑπο	688	691	r	ὑπό	19.154	7
τοῦ	692	695	l	ὁ	19.154	7
χαρακτῆρος	696	706	n	χαρακτήρ	19.154	7
.	706	707	u	.	19.154	7
χασκῶν	802	808	v	χάσκω	19.154	8
περισπῶν	810	818	v	περισπάω	19.154	8
ὁ	819	820	l	ὁ	19.154	8
Διοσκουρίδης	821	833	n	Διοσκουρίδαι	19.154	8
ἀναγινώσκει	834	845	v	ἀναγιγνώσκω	19.154	8
καί	846	849	d	καί	19.154	8
φησιν	850	855	v	φημί	19.154	8
οὕτως	928	933	d	οὕτως	19.154	9
εἰρῆσθαι	934	942	v	ἐρῶ	19.154	9
τὰς	943	946	l	ὁ	19.154	9
μήτρας	947	953	n	μήτηρ	19.154	9
διὰ	954	957	r	διά	19.154	9
τὸ	958	960	l	ὁ	19.154	9
ὰνεστομῶσθαι	961	973	v	ἀνεστομόω	19.154	9
.	973	974	u	.	19.154	9
χειμίη	1071	1077	n	χειμία	19.154	10
ψῦχος	1079	1084	n	ψῦχος	19.154	10
ῥίγος	1086	1091	n	ῥίγος	19.154	10
.	1091	1092	u	.	19.154	10
χειμίουσα	1189	1198	v	χειμίζω	19.154	11
ψυχομένη	1201	1209	v	ψυχόω	19.154	11
ῥιγῶσα	1212	1218	v	ῥιγόω	19.154	11
.	1218	1219	u	.	19.154	11
χελίσκιον	1316	1325	a	χελίσκιος	19.154	12
ξηρον	1326	1331	a	ξηρός	19.154	12
ὑποκοριστικῶς	1334	1347	d	ὑποκοριστικός	19.154	12
εἴρηται	1348	1355	v	ἐρῶτα	19.154	12
τὸ	1356	1358	a	ὁ	19.154	12
χελίσκιον	1359	1368	a	χελίσκιος	19.154	12
τὸ	1369	1371	l	ὁ	19.154	12
βραχὺ	1446	1451	a	βραχύς	19.154	13
βηχίου	1452	1458	a	βήχιος	19.154	13
ξηρὸν	1460	1465	a	ξηρός	19.154	13
δέ	1466	1468	-	δέ	19.154	13
ἐστιν	1469	1474	v	εἰμί	19.154	13
ὅταν	1476	1480	a	ὅταν	19.154	13
μηδὲν	1481	1486	p	μηδείς	19.154	13
ὑγρότητος	1487	1496	n	ὑγρότης	19.154	13
ἀναχρεμπτομένη	1497	1511	v	ἀναχρέμπτω	19.154	13
εἰς	1586	1589	v	εἰς	19.154	14
τὸ	1590	1592	l	ὁ	19.154	14
στόμα	1593	1598	n	στόμα	19.154	14
παραγίνεται	1599	1610	v	παραγίγνομαι	19.154	14
.	1610	1611	u	.	19.154	14
χαραδεὡς	1802	1810	n	χαραδεύς	19.154	15
ἀθρόως	1812	1818	d	ἀθρόος	19.154	15
.	1818	1819	u	.	19.154	15
γέγονε	1820	1826	v	γίγνομαι	19.154	15
δὲ	1827	1829	d	δέ	19.154	15
ἀπὸ	1830	1833	r	ἀπό	19.154	15
χαράδρας	1834	1842	n	χαράδρα	19.154	15
.	1842	1843	u	.	19.154	15
χῆς	1974	1977	n	χῆ	19.155	1
καταχέας	1979	1987	a	καταχέω	19.155	1
.	1987	1988	u	.	19.155	1
χηλήν	2083	2088	n	χηλή	19.155	2
μήλην	2090	2095	n	μήλη	19.155	2
δίκρουν	2096	2103	n	δικρόος	19.155	2
κατὰ	2104	2108	n	κατά	19.155	2
τὸ	2109	2111	n	ὁ	19.155	2
ἄκρον	2112	2117	n	ἄκρον	19.155	2
ἐκτετμημένην	2118	2130	v	ἐκτεύμων	19.155	2
ἐμφερῶς	2131	2138	a	ἐμφερός	19.155	2
χηλή	2211	2215	n	χηλή	19.155	3
χήλωμα	2311	2317	n	χήλωμα	19.155	4
τὴν	2319	2322	n	ὁ	19.155	4
δισχηλῆ	2323	2330	a	δισχηλής	19.155	4
γλυφίδα	2331	2338	n	γλυφίς	19.155	4
τοῦ	2339	2342	l	ὁ	19.155	4
βέλους	2343	2349	n	βέλος	19.155	4
ῇ	2351	2352	p	ᾗ	19.155	4
προστιθέασιν	2353	2365	v	προστίθημι	19.155	4
ἐν	2438	2440	d	ἐν	19.155	5
τῷ	2441	2443	l	ὁ	19.155	5
τοξεύειν	2444	2452	v	τοξεύω	19.155	5
τῇ	2453	2455	l	ὁ	19.155	5
νευρὰ	2456	2461	n	νευρά	19.155	5
τὸ	2462	2464	l	ὁ	19.155	5
βέλος	2465	2470	n	βέλος	19.155	5
.	2470	2471	u	.	19.155	5
χήμην	2566	2571	n	χήμη	19.155	6
χηραμίδα	2572	2580	n	χηραμίς	19.155	6
τὴν	2583	2586	l	ὁ	19.155	6
κοιλοτέραν	2587	2597	a	κοῖλος	19.155	6
κόγχην	2598	2604	n	κόγχη	19.155	6
καὶ	2605	2608	d	καί	19.155	6
μείζονα	2609	2616	a	μέγας	19.155	6
.	2616	2617	u	.	19.155	6
χλοηροῖσι	2712	2721	a	χλοηρός	19.155	7
λαχάνοις	2722	2730	n	λάχανον	19.155	7
τοῖς	2733	2737	l	ὁ	19.155	7
κηπαίοις	2738	2746	a	κηπαῖος	19.155	7
ἡδύσμασι	2747	2755	n	ἥδυσμα	19.155	7
.	2755	2756	u	.	19.155	7
χλοιοῦνται	2851	2861	v	χλοιόω	19.155	8
ώσεὶ	2863	2867	v	ὥσειμι	19.155	8
καὶ	2868	2871	c	καί	19.155	8
χλωραίνσνται	2872	2884	v	χλωραίνω	19.155	8
ἔλεγε	2885	2890	v	λέγω	19.155	8
.	2890	2891	u	.	19.155	8
χλοῦς	2986	2991	n	χλώς	19.155	9
ἡ	2994	2995	l	ὁ	19.155	9
χλωροτης	2996	3004	n	χλωρότης	19.155	9
.	3004	3005	u	.	19.155	9
χλοῶδες	3102	3109	a	χλοώδης	19.155	10
χλωρόν	3112	3118	a	χλωρός	19.155	10
.	3118	3119	u	.	19.155	10
χλώρασμα	3216	3224	n	χλώρασμα	19.155	11
χλωρότης	3226	3234	n	χλωρότης	19.155	11
λαμπρὸν	3235	3242	a	λαμπρός	19.155	11
διαυγουμένη	3243	3254	v	διαυγέω	19.155	11
καὶ	3255	3258	d	καί	19.155	11
ἐπὶ	3259	3262	r	ἐπί	19.155	11
τὸ	3263	3265	l	ὁ	19.155	11
ὑδαρῶδες	3266	3274	a	ὑδαρώδης	19.155	11
ῥέπουσα	3349	3356	v	ῥέπω	19.155	12
.	3356	3357	u	.	19.155	12
χολήὶὅν	3454	3461	n	χολήιος	19.155	13
χολῆς	3464	3469	n	χολή	19.155	13
ἀγωγον	3470	3476	n	ἀγώγος	19.155	13
.	3476	3477	u	.	19.155	13
χυτλάζηται	3574	3584	v	χυτλάζω	19.155	14
ὡσεὶ	3587	3591	d	ὡσεί	19.155	14
καὶ	3592	3595	c	καί	19.155	14
κλύζηται	3596	3604	v	κλύζω	19.155	14
ἔλεγε	3605	3610	v	λέγω	19.155	14
.	3610	3611	u	.	19.155	14
χντριδέαν	3708	3717	a	χντριδέα	19.155	15
χύτραν	3719	3725	n	χύτρα	19.155	15
.	3725	3726	u	.	19.155	15
χντρίδεαν	3823	3832	n	χντρίδες	19.155	16
χύτραν	3834	3840	n	χύτρα	19.155	16
.	3840	3841	u	.	19.155	16
χύτρινον	3938	3946	a	χύτρινος	19.155	17
χύτραν	3949	3955	n	χύτρα	19.155	17
.	3955	3956	u	.	19.155	17
χολιύσειεν	4053	4063	v	χολίζω	19.155	18
ἀνάπηρον	4066	4074	a	ἀνάπηρος	19.155	18
κατά	4075	4079	r	κατά	19.155	18
τι	4080	4082	a	τις	19.155	18
τῷν	4083	4086	p	ὁ	19.155	18
ἄρθρων	4087	4093	v	ἄρθρον	19.155	18
ποιήσειεν	4094	4103	v	ποιέω	19.155	18
.	4103	4104	u	.	19.155	18
