orth	charde	charad	cat	lem	pag	linea
Ψάγδας	451	457	n	Ψάγδα	19.156	1
εἶδός	459	464	n	εἶδος	19.156	1
τι	465	467	p	τις	19.156	1
μύρου	468	473	n	μύρον	19.156	1
.	473	474	u	.	19.156	1
ψαίρειν	569	576	v	ψαίρω	19.156	2
ἐννήχεσθαι	578	588	v	ἐννήχομαι	19.156	2
προσψαυειν	590	600	v	προσψαύω	19.156	2
.	600	601	u	.	19.156	2
ψαιστὴν	696	703	n	ψαιστής	19.156	3
μᾶζαν	704	709	n	μᾶζα	19.156	3
τὴν	711	714	l	ὁ	19.156	3
ἐν	715	717	d	ἐν	19.156	3
μέλιτι	718	724	n	μέλι	19.156	3
καὶ	725	728	c	καί	19.156	3
ἐλαίῳ	729	734	n	ἔλαιον	19.156	3
πεφυραμένην	735	746	v	φύρα	19.156	3
ὅτι	748	751	d	ὅτι	19.156	3
καὶ	824	827	d	καί	19.156	4
τὰ	828	830	l	ὁ	19.156	4
ψαιστα	831	837	a	ψαίστης	19.156	4
οὕτως	838	843	d	οὕτως	19.156	4
δευεται	844	851	a	δεύω	19.156	4
.	851	852	u	.	19.156	4
ψαφὰρον	948	955	n	ψαφάρος	19.156	5
ψαθυρον	957	964	n	ψαθυρός	19.156	5
.	964	965	u	.	19.156	5
ψἒξαρα	1060	1066	a	ψέξαρος	19.156	6
ψοφοειδῆ	1068	1076	a	ψοφοειδής	19.156	6
μελανειδοῦντα	1077	1090	v	μελανειδέων	19.156	6
ψέφος	1092	1097	n	ψέφος	19.156	6
γὰρ	1098	1101	d	γάρ	19.156	6
τὸ	1102	1104	l	ὁ	19.156	6
σκότος	1105	1111	n	σκότος	19.156	6
.	1111	1112	u	.	19.156	6
ψόφου	1185	1190	n	ψόφος	19.156	7
καθαπτομενοι	1191	1203	v	καθάπτω	19.156	7
ψόφου	1205	1210	v	ψόφος	19.156	7
ῥαδίως	1211	1217	d	ῥᾴδιος	19.156	7
αἰσθανομενοι	1218	1230	v	αἰσθάνομαι	19.156	7
καὶ	1231	1234	c	καί	19.156	7
μέντοι	1235	1241	d	μέντοι	19.156	7
καὶ	1314	1317	c	καί	19.156	8
πτοούμενοι	1318	1328	v	πτοέω	19.156	8
ώσεὶ	1329	1333	v	ὥση	19.156	8
καὶ	1334	1337	c	καί	19.156	8
ψοφώδεις	1338	1346	v	ψοφώδης	19.156	8
ἔλεγεν	1347	1353	v	λέγω	19.156	8
.	1353	1354	u	.	19.156	8
