orth	charde	charad	cat	lem	pag	linea
Ἄδει	451	455	n	Ἄδει	19.156	9
ἐπὶ	456	459	r	ἐπί	19.156	9
τοῦ	460	463	l	ὁ	19.156	9
κακοῦ	464	469	a	κακός	19.156	9
Ἀρκεσιλάῳ	471	480	n	Ἀρκεσίλαος	19.156	9
δὲ	481	483	d	δέ	19.156	9
καὶ	484	487	d	καί	19.156	9
κακὸν	488	493	a	κακός	19.156	9
ῷδει	494	498	d	ωδείδω	19.156	9
δηλονότι	500	508	d	δηλονότι	19.156	9
χωρὶς	583	588	d	χωρίς	19.156	10
τοῦ	589	592	l	ὁ	19.156	10
ι	593	594	d	ἴ	19.156	10
γράφεται	595	603	d	γράφω	19.156	10
οὐχ	604	607	d	οὐ	19.156	10
ὡς	609	611	d	ὡς	19.156	10
τὸ	612	614	l	ὁ	19.156	10
μετ	615	618	r	μετά	19.156	10
αὐτὸ	787	791	p	αὐτός	19.156	11
σὺν	792	795	r	σύν	19.156	11
τῷ	796	798	l	ὁ	19.156	11
ι	799	800	p	ἴ	19.156	11
.	800	801	u	.	19.156	11
ῷδεῖ	898	902	v	ὠδέω	19.156	12
οἰδαίνει	904	912	v	οἰδαίνω	19.156	12
δῆλον	914	919	a	δῆλος	19.156	12
δἐ	920	922	v	δέω	19.156	12
ως	923	925	d	ὡς	19.156	12
συν	926	929	p	ὗς	19.156	12
τῳ	930	932	p	τις	19.156	12
ι	933	934	p	ἴ	19.156	12
τοῦτο	935	940	p	οὗτος	19.156	12
γράφεται	941	949	v	γράφω	19.156	12
ὅτι	951	954	p	ὅτι	19.156	12
καὶ	1029	1032	c	καί	19.156	13
τὸ	1033	1035	l	ὁ	19.156	13
οἰδεῖν	1036	1042	v	οἶδα	19.156	13
.	1042	1043	u	.	19.156	13
ὠμήλυσιν	1140	1148	n	ὠμήλυσις	19.156	14
τα	1151	1153	n	ὁ	19.156	14
απο	1154	1157	a	ἀπό	19.156	14
των	1158	1161	a	ὁ	19.156	14
αφρυκτων	1162	1170	n	ἄφρυκτος	19.156	14
κριθῶν	1171	1177	n	κριθή	19.156	14
ἄλφιτά	1178	1184	n	ἄλφιτον	19.156	14
τε	1185	1187	d	τε	19.156	14
καὶ	1188	1191	d	καί	19.156	14
ἄλευρα	1266	1272	n	ἄλευρος	19.156	15
τὸ	1275	1277	a	ὁ	19.156	15
γάρ	1278	1281	a	γάρ	19.156	15
οἶον	1282	1286	a	οἶος	19.156	15
ὠμὸν	1287	1291	a	ὠμός	19.156	15
ἄλευρον	1292	1299	a	ἄλευρος	19.156	15
κυρίως	1300	1306	a	κυρίως	19.156	15
φασὶν	1307	1312	v	φημί	19.156	15
ὠμήλυσιν	1313	1321	n	ὠμήλυσις	19.156	15
ὸνομάζεσθαι	1452	1463	v	ὀνομάζω	19.157	1
καταχρηστικώτερον	1465	1482	a	καταχρηστικός	19.157	1
δὲ	1483	1485	d	δέ	19.157	1
καὶ	1486	1489	d	καί	19.157	1
τὸ	1490	1492	a	ὁ	19.157	1
ἄλλο	1493	1497	a	ἄλλος	19.157	1
πᾶν	1570	1573	a	πᾶς	19.157	2
ἄλευρον	1574	1581	a	ἄλευρος	19.157	2
.	1581	1582	u	.	19.157	2
ὠρεόντων	1677	1685	v	ὠρέω	19.157	3
φροντιζόντων	1687	1699	v	φροντίζω	19.157	3
ὅτι	1701	1704	c	ὅτι	19.157	3
καὶ	1705	1708	c	καί	19.157	3
ἡ	1709	1710	l	ὁ	19.157	3
φροντὶς	1711	1718	n	φροντίς	19.157	3
ὥρα	1719	1722	n	ὥρα	19.157	3
.	1722	1723	u	.	19.157	3
ὥρου	1818	1822	n	ὧρος	19.157	4
ἐνιαυτῶ	1825	1832	v	ἐνιαυτός	19.157	4
.	1832	1833	u	.	19.157	4
τε	1928	1930	d	τε	19.157	5
τι	1931	1933	p	τις	19.157	5
ωρουσοἰν	2028	2036	v	ὁρόω	19.157	6
ωρμησενα	2038	2046	a	ὁμησενής	19.157	6
ὠτειλάς	2141	2148	n	ὠτειλή	19.157	7
οὐ	2150	2152	d	οὐ	19.157	7
μόνον	2153	2158	a	μόνος	19.157	7
τὰς	2159	2162	p	ὁ	19.157	7
ουλας	2163	2168	a	οὐλαί	19.157	7
αλλα	2170	2174	d	ἀλλά	19.157	7
καὶ	2175	2178	d	καί	19.157	7
τα	2179	2181	n	ἄτη	19.157	7
ἕλκη	2182	2186	n	ἕλκος	19.157	7
.	2186	2187	u	.	19.157	7
ὠχέτευται	2282	2291	v	ὀχετεύω	19.157	8
ἐκρύσεις	2294	2302	v	ἔκρυσις	19.157	8
καὶ	2303	2306	c	καί	19.157	8
διεξόδους	2307	2316	n	διέξοδος	19.157	8
κέκτηται	2317	2325	v	κτάομαι	19.157	8
.	2325	2326	u	.	19.157	8
