orth	charde	charad	cat	lem	pag	linea
ὡς	555	557	c	ὡς	19.165	17
μὲν	558	561	d	μέν	19.165	17
οὖν	562	565	d	οὖν	19.165	17
ἀπεικότως	566	575	d	ἀπεικότως	19.165	17
τινὲς	576	581	p	τις	19.165	17
εἶπον	582	587	v	εἶπον	19.165	17
οὐ	662	664	d	οὐ	19.165	18
ζῶον	665	669	v	ζῷον	19.165	18
τὸ	670	672	l	ὁ	19.165	18
καιὰ	673	677	d	καιός	19.165	18
γαστρὸς	678	685	n	γαστήρ	19.165	18
ἐκ	686	688	r	ἐκ	19.165	18
τῶν	689	692	l	ὁ	19.165	18
εἰρημένων	693	702	v	ἐρῶ	19.165	18
τεκμαίρεσθαι	703	715	v	τεκμαίρομαι	19.165	18
.	715	716	u	.	19.165	18
ὅσα	846	849	a	ὅσος	19.166	1
δὲ	850	852	d	δέ	19.166	1
καὶ	853	856	d	καί	19.166	1
ποῖα	857	861	a	ποῖος	19.166	1
ζῶον	862	866	v	ζῷον	19.166	1
ποιεῖ	867	872	v	ποιέω	19.166	1
νῦν	873	876	d	νῦν	19.166	1
φράσω	877	882	v	φράζω	19.166	1
.	882	883	u	.	19.166	1
τοῦ	884	887	l	ὁ	19.166	1
γοῦν	888	892	n	γοῦν	19.166	1
ζώου	965	969	n	ζώον	19.166	2
διοικουμένου	970	982	v	διοικέω	19.166	2
ὑπὸ	983	986	d	ὑπό	19.166	2
ψυχῆς	987	992	n	ψυχή	19.166	2
καὶ	993	996	d	καί	19.166	2
φύσεως	997	1003	n	φύσις	19.166	2
καὶ	1004	1007	d	καί	19.166	2
τροφῆς	1008	1014	n	τροφή	19.166	2
καὶ	1015	1018	d	καί	19.166	2
πνευματος	1091	1100	n	πνεῦμα	19.166	3
τρέφεται	1102	1110	v	τρέφω	19.166	3
μὲν	1111	1114	d	μέν	19.166	3
γὰρ	1115	1118	d	γάρ	19.166	3
ψυχὴ	1119	1123	n	ψυχή	19.166	3
πνεύματι	1124	1132	n	πνεῦμα	19.166	3
τροφαῖς	1134	1141	n	τροφή	19.166	3
δὲ	1142	1144	d	δέ	19.166	3
ὑγραῖς	1217	1223	a	ὑγρός	19.166	4
καὶ	1224	1227	d	καί	19.166	4
ξηραῖς	1228	1234	a	ξηρός	19.166	4
η	1235	1236	d	ᾗ	19.166	4
φυσις	1237	1242	n	φυσίς	19.166	4
εὑρεθήσεται	1244	1255	v	εὑρίσκομαι	19.166	4
δὲ	1256	1258	d	δέ	19.166	4
καὶ	1259	1262	d	καί	19.166	4
τὸ	1263	1265	l	ὁ	19.166	4
ἐν	1266	1268	d	ἐν	19.166	4
τῆ	1269	1271	d	τῆ	19.166	4
μητρα	1344	1349	n	μήτηρ	19.166	5
πάσαις	1350	1356	a	πᾶς	19.166	5
ταῖς	1357	1361	p	ὁ	19.166	5
οἰκονομίαις	1362	1373	n	οἰκονομία	19.166	5
χρώμενον	1374	1382	v	χράομαι	19.166	5
.	1382	1383	u	.	19.166	5
καὶ	1384	1387	d	καί	19.166	5
ταῖς	1388	1392	l	ὁ	19.166	5
πρὸς	1393	1397	d	πρός	19.166	5
τὴν	1470	1473	l	ὁ	19.166	6
τῆς	1474	1477	l	ὁ	19.166	6
ψυχῆς	1478	1483	n	ψυχή	19.166	6
κινήσεσι	1484	1492	n	κίνησις	19.166	6
καὶ	1493	1496	d	καί	19.166	6
