orth	charde	charad	cat	lem	pag	linea
δυσεντερία	455	465	n	δυσεντερία	19.421	18
ἐστὶν	466	471	v	εἰμί	19.421	18
ἕλκωσις	472	479	n	ἕλκωσις	19.421	18
ἐντέρων	480	487	n	ἔντερον	19.421	18
μετὰ	488	492	n	μετά	19.421	18
φλεγμονῆς	493	502	n	φλεγμονή	19.421	18
καὶ	633	636	d	καί	19.422	1
ἀποκρίσεως	637	647	n	ἀπόκρισις	19.422	1
αἱματωδῶν	648	657	n	αἱματωδόδης	19.422	1
ἢ	658	659	d	ἤ	19.422	1
τρυγῳδῶν	660	668	n	τρυγῳδός	19.422	1
.	668	669	u	.	19.422	1
ἦ	670	671	d	ἦ	19.422	1
γε	672	674	d	γε	19.422	1
καὶ	675	678	d	καί	19.422	1
ἀπολυμάτων	679	689	n	ἀπόλυμα	19.422	1
μετὰ	762	766	d	μετά	19.422	2
τοῦ	767	770	l	ὁ	19.422	2
δάκνεσθαι	771	780	v	δάκνω	19.422	2
καὶ	781	784	d	καί	19.422	2
ἀλγεῖν	785	791	v	ἀλγέω	19.422	2
τὴν	792	795	l	ὁ	19.422	2
κοιλίαν	796	803	n	κοιλία	19.422	2
καὶ	804	807	d	καί	19.422	2
τὰ	808	810	l	ὁ	19.422	2
ἔντερα	883	889	n	ἔντερον	19.422	3
.	889	890	u	.	19.422	3
